R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-96.559611,2.429830,94.910051,-94.962008,-22.098906,99.117681,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-38.562086,-29.961701,62.622467,-33.393558,-32.648731,64.188168,-13.352377,-24.875906,35.533332,-3.116150,-18.358587,35.570462,1.154895,-38.928358,-10.048552,1.338629,-37.893832,-10.097823,-7.473203,2.950372,9.350293,0.305418,-44.485123,8.236637,-5.236719,-21.682801,5.926281,9.896393,-28.404548,-0.041524,-1.083221,-36.648527,-2.798932,-2.016094,-57.890637,-2.174379,2.503295,-13.305410,-2.243125,1.559140,-35.525954,-2.564873,4.025766,-17.154963,-2.013725,5.240893,-69.186429,-13.693517,-0.456007,-39.274562,-1.388720,-1.500967,-100.870078,-0.364452,-1.982866,-19.889686,-6.631825,-8.474448,-70.795440,-6.992024,11.501787,-17.730570,-9.190339,-3.294376,-84.370113,-16.549261,-2.685339,-42.566759,-3.922312,-5.055988,-87.956928,-1.754208,-3.697680,-26.203559,-0.925069,-4.553319,-71.579566,-1.126645,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.629561,-16.642816,5.111244,7.805803,-91.228974,-1.468878,0.969825,-35.003249,-7.913555,-4.805189,-73.751315,-8.400398,-5.436388,-19.501018,1.086115,-3.837224,-64.716203,2.765260,5
0.023128,-0.000631,-0.013946,-0.003771,0.015952,0.002362,-0.129221,0.004906,-0.026686,-0.117383,0.100536,-0.051123,-38.533799,-29.978258,62.632747,-33.394971,-32.648071,64.187813,-13.358147,-24.886335,35.547345,-3.114570,-18.357213,35.569621,1.155961,-38.922394,-10.048846,1.338484,-37.894740,-10.097791,-7.490973,3.059132,9.345283,0.303717,-44.473356,8.237714,-5.275140,-21.674693,5.937343,9.888997,-28.421355,-0.040385,-1.075246,-36.485384,-2.802321,-2.020427,-58.004942,-2.170127,2.507146,-13.206881,-2.240901,1.556571,-35.583453,-2.565234,4.011352,-17.150440,-2.009651,5.239161,-69.202298,-13.699514,-0.454252,-39.202655,-1.389153,-1.500937,-100.867227,-0.364548,-1.976892,-19.838176,-6.628546,-8.474448,-70.795440,-6.992024,11.489395,-17.732667,-9.187823,-3.291681,-84.360653,-16.549201,-2.682702,-42.528389,-3.923260,-5.055694,-87.946902,-1.754880,-3.697343,-26.182500,-0.924805,-4.553684,-71.598424,-1.126588,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.590653,-16.643559,5.123720,7.806652,-91.195979,-1.460620,0.967265,-35.021665,-7.914696,-4.809942,-73.783555,-8.399149,-5.436029,-19.520297,1.087052,-3.834408,-64.774847,2.766489,5
0.024761,-0.000456,-0.017770,-0.002611,0.015185,0.002856,-0.117337,0.005817,-0.028757,-0.099888,0.091510,-0.048858,-38.506825,-29.994097,62.642567,-33.401027,-32.645227,64.186269,-13.363564,-24.896230,35.560671,-3.113617,-18.355798,35.567012,1.156978,-38.916527,-10.049129,1.336175,-37.907704,-10.097180,-7.508599,3.167369,9.340271,0.310231,-44.518475,8.233654,-5.314881,-21.660154,5.947813,9.873533,-28.378204,-0.026929,-1.066303,-36.302799,-2.806113,-2.026934,-58.177012,-2.163703,2.511064,-13.106698,-2.238639,1.550946,-35.709216,-2.565968,3.998241,-17.142124,-2.005631,5.241576,-69.204166,-13.705894,-0.452257,-39.120301,-1.389621,-1.501046,-100.883238,-0.364148,-1.970328,-19.781617,-6.624954,-8.474448,-70.795440,-6.992024,11.478948,-17.731983,-9.185139,-3.290918,-84.359169,-16.551295,-2.679590,-42.482961,-3.924358,-5.055651,-87.945638,-1.754948,-3.696939,-26.157773,-0.924545,-4.553961,-71.612873,-1.126551,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.551388,-16.644798,5.136175,7.807482,-91.163075,-1.455090,0.965262,-35.036050,-7.915609,-4.812972,-73.804066,-8.398367,-5.435698,-19.538029,1.087933,-3.832283,-64.818762,2.767414,5
0.027144,0.018007,-0.011734,0.009038,0.017381,0.003370,-0.239586,-0.010281,0.054334,-0.077856,0.094633,-0.006311,-38.480113,-30.009767,62.652280,-33.407818,-32.642125,64.184599,-13.368842,-24.905996,35.573870,-3.112443,-18.354235,35.564083,1.158056,-38.910563,-10.049428,1.333608,-37.922011,-10.096523,-7.527026,3.280345,9.334996,0.318179,-44.573393,8.228701,-5.357568,-21.639258,5.958194,9.855639,-28.318410,-0.010022,-1.056080,-36.094208,-2.810400,-2.033935,-58.362616,-2.156749,2.515216,-13.000380,-2.236211,1.544733,-35.847284,-2.566795,3.985963,-17.129740,-2.001540,5.244905,-69.203721,-13.712864,-0.449916,-39.023935,-1.390190,-1.501170,-100.903016,-0.363681,-1.962892,-19.717595,-6.620871,-8.474448,-70.795440,-6.992024,11.470154,-17.728342,-9.182182,-3.290271,-84.358210,-16.553740,-2.675809,-42.427933,-3.925710,-5.055641,-87.945046,-1.755008,-3.696457,-26.127967,-0.924175,-4.554208,-71.626205,-1.126491,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.510261,-16.646630,5.149041,7.808363,-91.127876,-1.450439,0.963770,-35.046788,-7.916270,-4.815704,-73.822731,-8.397647,-5.435371,-19.554721,1.088750,-3.830231,-64.861093,2.768318,5
0.026943,0.018102,-0.012622,0.011128,0.018792,0.004185,-0.233725,-0.008505,0.047716,-0.069421,0.086727,-0.012480,-38.502408,-29.996713,62.644187,-33.413017,-32.639809,64.183354,-13.398459,-24.922870,35.572253,-3.109943,-18.351894,35.561566,1.156877,-38.917107,-10.049101,1.329247,-37.946552,-10.095388,-7.533896,3.322543,9.333012,0.323738,-44.611788,8.225256,-5.386994,-21.563516,5.955606,9.837307,-28.240545,0.009556,-1.046290,-35.895050,-2.814439,-2.038886,-58.494627,-2.151792,2.518941,-12.904843,-2.234047,1.539896,-35.955456,-2.567398,3.982976,-17.107298,-1.999133,5.249053,-69.196223,-13.717278,-0.447517,-38.924930,-1.390748,-1.501264,-100.916791,-0.363337,-1.956296,-19.660780,-6.617257,-8.474448,-70.795440,-6.992024,11.473199,-17.709377,-9.178578,-3.288417,-84.353356,-16.556741,-2.671272,-42.361625,-3.927329,-5.055419,-87.938061,-1.755465,-3.695989,-26.097834,-0.923831,-4.554526,-71.641603,-1.126440,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.495363,-16.607972,5.165576,7.808799,-91.109000,-1.455565,0.967967,-35.016560,-7.914382,-4.816487,-73.828052,-8.397440,-5.435447,-19.551165,1.088570,-3.828146,-64.904557,2.769235,5
0.025191,0.017185,-0.012820,0.011826,0.018976,0.004457,-0.214204,-0.006430,0.038942,-0.062715,0.080055,-0.016362,-38.541160,-29.974075,62.630153,-33.418109,-32.637342,64.182008,-13.442090,-24.946453,35.567324,-3.107185,-18.349285,35.559109,1.154724,-38.929339,-10.048492,1.324265,-37.974574,-10.094098,-7.539000,3.353692,9.331551,0.329354,-44.650682,8.221725,-5.422373,-21.408824,5.942330,9.817610,-28.148017,0.031769,-1.033708,-35.639470,-2.819619,-2.043590,-58.619999,-2.147073,2.523389,-12.790536,-2.231414,1.535138,-36.061308,-2.567995,3.984212,-17.071040,-1.996806,5.253789,-69.186159,-13.721389,-0.444382,-38.796111,-1.391494,-1.501351,-100.931038,-0.362996,-1.948310,-19.591817,-6.612836,-8.474448,-70.795440,-6.992024,11.483270,-17.677065,-9.173626,-3.286338,-84.347876,-16.560057,-2.664979,-42.269771,-3.929549,-5.055170,-87.929816,-1.756003,-3.695332,-26.058252,-0.923366,-4.554823,-71.656850,-1.126416,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.486116,-16.541282,5.188702,7.809168,-91.092842,-1.463758,0.975321,-34.963719,-7.911092,-4.816771,-73.830003,-8.397353,-5.435682,-19.538488,1.087939,-3.826093,-64.947177,2.770121,5
0.021677,-0.010861,0.007027,0.009296,0.006938,0.003941,-0.304975,-0.059353,-0.089638,-0.031854,-0.015929,0.036572,-38.589292,-29.945665,62.612517,-33.423199,-32.635070,64.180789,-13.490829,-24.971545,35.559674,-3.103923,-18.346393,35.556547,1.152107,-38.944080,-10.047777,1.318698,-38.005873,-10.092650,-7.542838,3.377365,9.330434,0.335050,-44.690142,8.218168,-5.459559,-21.212116,5.922810,9.796625,-28.042394,0.056316,-1.021294,-35.387344,-2.824624,-2.048122,-58.740583,-2.142518,2.527742,-12.678712,-2.228879,1.530480,-36.165567,-2.568591,3.987289,-17.028160,-1.994466,5.259233,-69.173084,-13.725209,-0.441186,-38.664231,-1.392225,-1.501448,-100.945755,-0.362651,-1.940294,-19.522671,-6.608416,-8.474448,-70.795440,-6.992024,11.496086,-17.638174,-9.167813,-3.284037,-84.341833,-16.563669,-2.658271,-42.172139,-3.931904,-5.054877,-87.920359,-1.756625,-3.694679,-26.016711,-0.922880,-4.555124,-71.672010,-1.126344,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.479430,-16.462867,5.214518,7.809455,-91.078981,-1.474831,0.984792,-34.895507,-7.906809,-4.816632,-73.829134,-8.397404,-5.435968,-19.523187,1.087187,-3.824060,-64.989220,2.771012,5
0.019617,-0.008563,0.005962,0.008924,0.008080,0.003695,-0.265404,-0.047952,-0.075769,-0.031755,-0.002191,0.023305,-38.623851,-29.925312,62.599871,-33.422112,-32.635620,64.181092,-13.510152,-24.978177,35.549877,-3.100633,-18.344175,35.556505,1.148218,-38.966055,-10.046692,1.315768,-38.022289,-10.091881,-7.536776,3.340126,9.332192,0.341867,-44.737328,8.213886,-5.499728,-21.060214,5.911153,9.779640,-27.920374,0.081153,-1.019472,-35.350650,-2.825366,-2.049250,-58.771083,-2.141371,2.527777,-12.677721,-2.228832,1.528387,-36.212078,-2.568853,3.981991,-16.974924,-1.989214,5.268874,-69.148210,-13.730835,-0.439906,-38.611572,-1.392528,-1.501598,-100.970417,-0.362041,-1.938378,-19.506098,-6.607345,-8.474448,-70.795440,-6.992024,11.510970,-17.555067,-9.152376,-3.280038,-84.331390,-16.570084,-2.655139,-42.126449,-3.932995,-5.054384,-87.904085,-1.757697,-3.694476,-26.004496,-0.922738,-4.555187,-71.675337,-1.126331,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.489118,-16.377976,5.236996,7.809798,-91.063938,-1.490281,0.990054,-34.857714,-7.904440,-4.815447,-73.820845,-8.397713,-5.436258,-19.508641,1.086480,-3.822504,-65.021498,2.771675,5
0.008604,-0.002865,0.002906,0.006809,0.000370,0.003267,-0.131836,0.115528,-0.020125,-0.012216,-0.012065,0.030251,-38.663104,-29.902142,62.585470,-33.419938,-32.636519,64.181566,-13.529051,-24.983348,35.537872,-3.097230,-18.341952,35.556907,1.143782,-38.991045,-10.045450,1.313053,-38.037664,-10.091177,-7.530313,3.300489,9.334043,0.348912,-44.786223,8.209464,-5.539884,-20.900769,5.898133,9.762682,-27.788953,0.107186,-1.018038,-35.321764,-2.825935,-2.050027,-58.791630,-2.140607,2.527602,-12.682235,-2.228958,1.526659,-36.251053,-2.569071,3.977058,-16.915984,-1.983651,5.279926,-69.118469,-13.736557,-0.438769,-38.564670,-1.392781,-1.501766,-100.997386,-0.361394,-1.936955,-19.493800,-6.606562,-8.474448,-70.795440,-6.992024,11.528649,-17.458515,-9.134496,-3.275575,-84.319692,-16.577238,-2.652197,-42.083681,-3.934017,-5.053814,-87.885587,-1.758912,-3.694326,-25.994312,-0.922613,-4.555224,-71.676821,-1.126330,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.500657,-16.286248,5.260991,7.810079,-91.049959,-1.508508,0.995707,-34.816842,-7.901869,-4.813851,-73.810204,-8.398127,-5.436576,-19.491199,1.085626,-3.821029,-65.051908,2.772316,5
0.008103,-0.002342,0.002677,0.005932,0.001000,0.002806,-0.121676,0.086280,-0.019809,-0.015292,-0.003228,0.021860,-38.738929,-29.857292,62.557539,-33.413873,-32.639368,64.183113,-13.553156,-24.984267,35.511195,-3.080879,-18.330961,35.557017,1.134975,-39.040868,-10.042991,1.308968,-38.060515,-10.090104,-7.509569,3.173206,9.339992,0.348504,-44.783414,8.209711,-5.566914,-20.731417,5.879377,9.748864,-27.720871,0.122935,-1.022981,-35.421513,-2.823951,-2.051362,-58.827793,-2.139249,2.525327,-12.741031,-2.230306,1.524849,-36.291141,-2.569263,3.977851,-16.874062,-1.980815,5.289421,-69.100133,-13.745858,-0.440443,-38.633498,-1.392405,-1.501929,-101.025388,-0.360709,-1.943176,-19.547524,-6.609997,-8.474448,-70.795440,-6.992024,11.542301,-17.367637,-9.116967,-3.269516,-84.303718,-16.586762,-2.654905,-42.123170,-3.933079,-5.053636,-87.879794,-1.759309,-3.694734,-26.020027,-0.922915,-4.555392,-71.686571,-1.126300,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,16.503976,-16.083328,5.321202,7.811093,-91.009330,-1.519131,0.999306,-34.790856,-7.900229,-4.814566,-73.815021,-8.397941,-5.436576,-19.491199,1.085626,-3.818363,-65.107113,2.773470,5
