R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-116.940659,-6.578498,93.184351,-131.723844,-15.333812,101.508846,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-48.660831,-22.051673,57.129817,-38.785742,-29.829507,62.540212,6.885856,-11.310689,28.242388,8.650882,-10.163980,32.495186,4.085975,-22.796369,-10.432726,5.052104,-17.522062,-10.377797,-6.793792,-1.169286,9.514930,-6.733096,-1.533672,9.527111,1.103911,-16.401036,3.689761,6.122228,-47.936546,0.537549,-0.196777,-19.364228,-3.028664,-1.186074,-38.770192,-2.752630,2.795998,-5.494249,-2.046796,2.548280,-12.148963,-2.216604,4.641643,-25.771991,-2.956806,2.627475,-61.372392,-5.769540,-0.008588,-21.205927,-1.424664,-0.591745,-44.952142,-1.348606,-0.317329,-4.182519,-5.400541,-2.064225,-20.587414,-6.675594,7.232170,-22.039226,-8.822727,0.494241,-61.595884,-11.839009,-1.023389,-19.349429,-4.158393,-2.835875,-44.780933,-3.865073,-3.465698,-9.926379,-0.700200,-3.764309,-30.239114,-0.969915,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,1.726066,-12.476307,9.858096,6.744127,-54.305999,4.929362,2.567755,-22.818781,-6.980010,-0.477305,-45.063172,-8.416422,-5.616497,-5.210561,0.357196,-5.324314,-24.808916,1.342067,0
0.521743,0.398261,-0.749545,-0.195839,0.357956,0.225173,-2.836529,3.123345,2.012034,0.675925,1.535190,-2.413553,-48.834689,-21.869188,56.992740,-38.520686,-29.986024,62.637564,6.613107,-11.458730,28.172005,8.551977,-10.224005,32.606488,3.938845,-23.597351,-10.433239,5.054616,-17.508242,-10.377532,-6.719428,-1.615798,9.529808,-6.709478,-1.675360,9.531772,1.262048,-16.344457,3.651510,6.108564,-49.330734,0.458546,-0.183804,-19.119127,-3.029976,-1.178726,-38.617406,-2.756084,2.796669,-5.475535,-2.046279,2.550627,-12.088143,-2.215191,4.771367,-25.861109,-3.021067,2.523357,-61.647330,-5.654279,0.011801,-20.385313,-1.422921,-0.585061,-44.668219,-1.350938,-0.290205,-3.894777,-5.373908,-2.045173,-20.424490,-6.665452,7.305293,-22.220532,-8.877961,0.480311,-61.227484,-11.694754,-0.992637,-18.926380,-4.156383,-2.817822,-44.513639,-3.872288,-3.464324,-9.814684,-0.698445,-3.759791,-29.971331,-0.967098,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,1.954360,-12.738583,9.797701,6.617979,-53.796763,5.123028,2.515478,-23.244981,-7.018244,-0.452863,-44.897967,-8.410224,-5.616120,-5.269240,0.360259,-5.324544,-24.798841,1.341583,0
0.555374,0.242836,-0.633633,-0.263681,0.291186,0.333399,-2.677102,3.087470,1.777467,0.394152,0.996938,-1.395664,-49.029475,-21.662220,56.836869,-38.217070,-30.162669,62.746694,6.287991,-11.633978,28.094594,8.432886,-10.297202,32.733932,3.796467,-24.372378,-10.431798,5.058057,-17.489374,-10.377207,-6.640248,-2.090211,9.544982,-6.682304,-1.838241,9.537022,1.455011,-16.302103,3.605799,6.090704,-50.723183,0.383883,-0.168189,-18.824281,-3.031486,-1.172754,-38.493150,-2.758890,2.797098,-5.463164,-2.045931,2.552840,-12.031186,-2.213857,4.931839,-25.994427,-3.103596,2.406816,-62.100658,-5.550835,0.030916,-19.615345,-1.421034,-0.578771,-44.401435,-1.353092,-0.264834,-3.624579,-5.348783,-2.030470,-20.298618,-6.657595,7.389772,-22.474873,-8.950273,0.425794,-61.057957,-11.553862,-0.962049,-18.505070,-4.154162,-2.804789,-44.320970,-3.877446,-3.463024,-9.707819,-0.696754,-3.756537,-29.777660,-0.965038,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,2.188793,-13.014020,9.733214,6.513223,-53.500994,5.274613,2.461694,-23.681014,-7.056969,-0.439552,-44.807906,-8.406825,-5.615682,-5.339488,0.363932,-5.323644,-24.837889,1.343423,0
-0.797788,-0.281735,-1.217232,0.252259,0.870833,-0.173175,-11.392172,4.449096,9.480105,2.777970,2.942691,-6.957603,-49.236353,-21.439410,56.668555,-37.886314,-30.352141,62.862861,5.932188,-11.824289,28.013672,8.262795,-10.404168,32.872952,3.658657,-25.122608,-10.428543,5.062432,-17.465418,-10.376728,-6.559136,-2.575435,9.559818,-6.652758,-2.015294,9.542615,1.674593,-16.269004,3.554324,6.062861,-52.110204,0.320956,-0.151139,-18.502201,-3.033026,-1.167772,-38.389780,-2.761204,2.797352,-5.456503,-2.045753,2.554931,-11.977226,-2.212592,5.115259,-26.170142,-3.201539,2.285076,-62.658681,-5.454640,0.048425,-18.909154,-1.419074,-0.569862,-44.024888,-1.356081,-0.241368,-3.373513,-5.325318,-2.018664,-20.197262,-6.651239,7.511046,-22.799031,-9.048691,0.351832,-60.988559,-11.415561,-0.932781,-18.102264,-4.151819,-2.795444,-44.183030,-3.881097,-3.461815,-9.606845,-0.695160,-3.754088,-29.632049,-0.963483,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,2.541601,-13.472448,9.629554,6.420941,-53.320114,5.402963,2.407104,-24.121240,-7.095651,-0.432301,-44.758830,-8.404957,-5.615175,-5.419841,0.368142,-5.322061,-24.905633,1.346632,0
-0.014454,-0.010408,-0.003431,0.000985,0.000166,-0.000851,-0.025133,0.000564,0.022151,0.010389,0.000032,-0.006153,-49.542721,-21.103624,56.413958,-37.164952,-30.755103,63.106781,5.090037,-12.270983,27.911115,7.668989,-10.788980,33.179371,3.511837,-25.922081,-10.423104,5.027579,-17.656455,-10.380325,-6.513168,-2.850062,9.567901,-6.689599,-1.794572,9.535622,2.145946,-17.250011,3.453310,5.997978,-52.768450,0.352289,-0.135400,-18.205367,-3.034377,-1.146692,-37.953895,-2.770901,2.795752,-5.501130,-2.046983,2.564656,-11.724427,-2.206640,5.562444,-27.039416,-3.498163,2.226335,-62.552312,-5.332629,0.064551,-18.258031,-1.417082,-0.541843,-42.845396,-1.365065,-0.229154,-3.242342,-5.313020,-1.971289,-19.789998,-6.625495,7.884563,-23.799254,-9.363790,0.335786,-60.497985,-11.238972,-0.904241,-17.708787,-4.149340,-2.768870,-43.791448,-3.891366,-3.462050,-9.626602,-0.695469,-3.749182,-29.339600,-0.960335,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.455363,-14.738746,9.329854,6.295461,-52.111527,5.607066,2.369561,-24.422589,-7.121898,-0.423956,-44.702433,-8.402819,-5.614072,-5.588857,0.376980,-5.325543,-24.756062,1.339564,0
-2.212336,-1.615277,-0.888905,0.221272,0.130944,-0.203741,-5.320680,0.133794,4.533906,2.555963,0.473869,-1.915688,-49.543742,-21.102478,56.413086,-37.164544,-30.755358,63.106937,5.089089,-12.271464,27.910690,7.668155,-10.789531,33.179527,3.511978,-25.921295,-10.423111,5.027233,-17.658381,-10.380357,-6.513335,-2.849036,9.567874,-6.689514,-1.795089,9.535645,2.146672,-17.255890,3.453188,5.997809,-52.767171,0.352591,-0.135399,-18.205240,-3.034369,-1.146692,-37.953653,-2.770900,2.795752,-5.501130,-2.046983,2.564656,-11.724427,-2.206640,5.562995,-27.041310,-3.498627,2.226704,-62.549732,-5.332749,0.064545,-18.257672,-1.417071,-0.541808,-42.843688,-1.365072,-0.229154,-3.242342,-5.313020,-1.971247,-19.789642,-6.625468,7.885354,-23.800138,-9.364243,0.335919,-60.497633,-11.239065,-0.904187,-17.708081,-4.149333,-2.768864,-43.791271,-3.891374,-3.462052,-9.626765,-0.695475,-3.749173,-29.338983,-0.960335,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.456701,-14.739966,9.329434,6.295080,-52.109224,5.607649,2.369591,-24.422326,-7.121873,-0.423684,-44.700498,-8.402733,-5.614074,-5.589192,0.376989,-5.325571,-24.755122,1.339524,0
-0.971391,-0.737092,-0.680408,0.124647,0.193058,-0.085691,-4.762738,0.349001,3.891700,2.383092,0.938661,-2.160899,-49.851856,-20.757601,56.150430,-37.060624,-30.812062,63.140897,4.840618,-12.399129,27.780203,7.431964,-10.945086,33.226420,3.538421,-25.777256,-10.424258,4.888584,-18.417575,-10.393415,-6.551213,-2.622750,9.561222,-6.656778,-1.991206,9.541892,2.349740,-19.139853,3.414084,5.940269,-52.640954,0.428442,-0.134396,-18.186290,-3.034456,-1.143916,-37.896067,-2.772162,2.794822,-5.527101,-2.047703,2.563354,-11.758468,-2.207446,5.703433,-27.620113,-3.632977,2.325815,-61.895817,-5.374575,0.067093,-18.154962,-1.416748,-0.531223,-42.400078,-1.368314,-0.230666,-3.258503,-5.314527,-1.960182,-19.694238,-6.619387,8.119816,-24.041615,-9.496122,0.374777,-60.418479,-11.274855,-0.891062,-17.527019,-4.148121,-2.766990,-43.763650,-3.892083,-3.462674,-9.679051,-0.696292,-3.745724,-29.132452,-0.958098,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.825953,-15.062056,9.210633,6.176392,-51.454053,5.776840,2.378123,-24.353811,-7.115916,-0.271762,-43.669548,-8.362009,-5.613377,-5.694531,0.382496,-5.335224,-24.337516,1.319767,0
-2.584960,-2.559632,-0.310677,0.102137,-0.198144,-0.248921,-1.770366,-2.348069,1.380119,1.463316,-0.223858,0.685026,-50.158797,-20.406491,55.881853,-36.963869,-30.864826,63.172426,4.610381,-12.515704,27.649051,7.210033,-11.091940,33.270698,3.556767,-25.677418,-10.424974,4.731631,-19.275844,-10.405969,-6.591575,-2.381512,9.553958,-6.617207,-2.228082,9.549258,2.536201,-20.937622,3.369456,5.877876,-52.636136,0.501927,-0.134047,-18.180038,-3.034486,-1.141882,-37.854015,-2.773088,2.793690,-5.558997,-2.048590,2.561749,-11.800076,-2.208437,5.832064,-28.202546,-3.766322,2.468415,-60.790317,-5.397338,0.069588,-18.054277,-1.416423,-0.521745,-42.003879,-1.371113,-0.232853,-3.282004,-5.316736,-1.950437,-19.610179,-6.614026,8.352830,-24.272680,-9.627602,0.416083,-60.338143,-11.313788,-0.879004,-17.360582,-4.146969,-2.766522,-43.756706,-3.892264,-3.463376,-9.737084,-0.697225,-3.742107,-28.915166,-0.955736,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.174946,-15.357025,9.094980,6.058343,-50.854310,5.938440,2.385456,-24.295007,-7.110813,-0.084406,-42.390696,-8.307692,-5.612647,-5.803839,0.388206,-5.348857,-23.736665,1.291218,0
-1.411814,-1.243561,-0.455600,0.029209,-0.083345,-0.117006,-2.500447,-2.671912,1.827688,1.387479,0.337371,-0.056954,-50.044674,-20.537964,55.982561,-36.814090,-30.945910,63.220726,4.518504,-12.565985,27.707647,7.029927,-11.211498,33.336364,3.577960,-25.562073,-10.425815,4.679808,-19.558887,-10.409586,-6.680640,-1.848298,9.537332,-6.618435,-2.220750,9.549051,2.534827,-21.479812,3.373249,5.803519,-52.658413,0.587842,-0.131697,-18.135460,-3.034672,-1.139533,-37.805709,-2.774149,2.793906,-5.552688,-2.048415,2.561711,-11.800880,-2.208449,5.813391,-28.542052,-3.800690,2.520021,-60.287380,-5.384833,0.072207,-17.948249,-1.416062,-0.519283,-41.900981,-1.371845,-0.233954,-3.293763,-5.317836,-1.942965,-19.545757,-6.609893,8.299112,-24.534150,-9.659542,0.445857,-60.095217,-11.285495,-0.877590,-17.341238,-4.146835,-2.772777,-43.848952,-3.889879,-3.464171,-9.802020,-0.698247,-3.741875,-28.901193,-0.955570,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.211955,-15.831299,9.047944,5.941748,-50.209542,6.094817,2.398119,-24.193328,-7.101951,-0.068540,-42.282053,-8.302888,-5.611818,-5.923464,0.394464,-5.352121,-23.590797,1.284265,0
-1.709199,-1.391080,0.032611,-0.061658,0.010526,0.013282,1.670319,-4.763072,-3.086908,1.538098,0.162292,1.197889,-49.933253,-20.665137,56.079814,-36.661831,-31.027607,63.269190,4.439837,-12.609485,27.764210,6.863939,-11.322133,33.403016,3.595247,-25.467878,-10.426450,4.634572,-19.805967,-10.412531,-6.793348,-1.171989,9.515023,-6.621580,-2.201935,9.548457,2.523201,-21.991222,3.380689,5.724958,-52.722445,0.676543,-0.129444,-18.092915,-3.034857,-1.137596,-37.765696,-2.775027,2.794277,-5.542623,-2.048140,2.561694,-11.801692,-2.208458,5.781598,-28.856585,-3.825434,2.562545,-59.859196,-5.371672,0.074829,-17.842123,-1.415710,-0.517615,-41.831178,-1.372322,-0.235265,-3.307927,-5.319167,-1.936894,-19.493194,-6.606520,8.225371,-24.795613,-9.683599,0.479770,-59.811237,-11.251495,-0.877084,-17.334291,-4.146786,-2.782684,-43.995034,-3.886066,-3.465128,-9.880424,-0.699472,-3.742071,-28.912446,-0.955684,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.228536,-16.300227,9.007163,5.828163,-49.617341,6.241803,2.409151,-24.104719,-7.094206,-0.058286,-42.211744,-8.299763,-5.610988,-6.046138,0.400861,-5.354517,-23.482774,1.279110,0
