WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-62.809143,162.990614,123.772776,-32.164840,13.436027,13.884091,1.698919,30.296932,129.001207,-1.049700,-2.006900,-1.155400,9.548399,41.151242,152.998294,-3.194543,-3.260154,-1.229096,5.361126,49.102452,144.456129,-5.608767,-5.370021,-1.768423,1.530731,26.255219,153.034159,-7.811550,-7.913203,-2.084162,-1.693356,88.249098,93.191368,-2.355067,-9.599621,-0.731645,2.068009,89.088148,90.213553,-2.470900,-13.388921,-0.619569,-0.520155,92.146098,88.381780,-2.509551,-15.817393,-0.707270,1.592830,100.679741,89.460819,-0.172591,-9.564658,-0.254315,5.834717,101.044190,88.169013,0.622621,-13.781369,-0.373638,1.773373,101.579813,83.605167,1.147643,-16.471294,-0.653704,5.642148,106.518252,84.806854,1.746524,-8.869377,-0.652931,9.974399,106.165833,80.810755,2.849892,-12.589931,-1.036320,12.035265,102.314941,79.416113,3.578561,-15.103620,-1.496593,5.368738,105.384589,66.581601,2.299857,-3.407354,-0.941983,18.836561,117.799732,78.165631,3.505404,-7.789581,-1.369117,27.644793,120.526137,74.096089,4.861416,-10.361516,-2.360985,25.775461,114.567696,71.498399,5.775317,-11.911396,-3.303409,1.530731,26.255219,153.034159,-10.045732,-8.947066,-2.043571,-0.520155,92.146098,88.381780,-2.393422,-18.049932,-0.585341,1.773373,101.579812,83.605167,1.691669,-18.910420,-0.621429,12.035265,102.314941,79.416113,4.146443,-17.447548,-1.853853,25.775461,114.567697,71.498399,6.632195,-13.749173,-4.145799,0
-62.903809,162.973737,123.892524,-32.163914,13.421317,13.878971,1.640661,30.261442,129.000979,-1.049700,-2.006900,-1.155400,9.446828,41.135793,152.959777,-3.195383,-3.258862,-1.226571,5.326325,49.173515,144.419186,-5.610892,-5.368704,-1.760212,1.484379,26.329191,153.013759,-7.810643,-7.914760,-2.073907,-1.668509,88.289406,93.194406,-2.355067,-9.599621,-0.731645,2.096542,89.128709,90.216970,-2.468235,-13.389050,-0.621213,-0.508022,92.186948,88.386364,-2.505167,-15.817505,-0.710124,1.574856,100.672631,89.460387,-0.172591,-9.564658,-0.254315,5.780720,101.038190,88.168650,0.622105,-13.781504,-0.372292,1.675448,101.578740,83.608752,1.146895,-16.471742,-0.649775,5.547687,106.498960,84.804917,1.746524,-8.869377,-0.652931,9.848570,106.151649,80.810983,2.848817,-12.590903,-1.029922,11.867430,102.310633,79.429929,3.577143,-15.105737,-1.484446,5.368742,105.384596,66.581599,2.299857,-3.407354,-0.941983,18.734875,117.763213,78.167619,3.505405,-7.789581,-1.369117,27.545872,120.486550,74.092209,4.860595,-10.363933,-2.355823,25.669101,114.536027,71.507588,5.774249,-11.915844,-3.295139,1.484379,26.329191,153.013759,-10.043442,-8.951526,-2.031304,-0.508022,92.186948,88.386364,-2.387453,-18.049986,-0.588665,1.675448,101.578740,83.608752,1.690857,-18.910822,-0.613226,11.867430,102.310633,79.429929,4.145034,-17.450732,-1.834628,25.669101,114.536025,71.507587,6.630741,-13.755523,-4.133762,0
-62.996355,162.933112,124.039587,-32.159906,13.397497,13.876298,1.583067,30.226238,129.000766,-1.049700,-2.006900,-1.155400,9.344857,41.121666,152.921802,-3.196212,-3.257579,-1.224073,5.297134,49.254098,144.383973,-5.612953,-5.367446,-1.752006,1.443858,26.412497,152.992791,-7.809226,-7.916715,-2.063987,-1.642915,88.327141,93.197314,-2.355067,-9.599621,-0.731645,2.130441,89.166671,90.220276,-2.465741,-13.389172,-0.622907,-0.488532,92.225129,88.391162,-2.501063,-15.817598,-0.713254,1.551947,100.665060,89.459911,-0.172591,-9.564658,-0.254315,5.722250,101.031716,88.168209,0.621556,-13.781655,-0.370576,1.573284,101.577170,83.612201,1.146097,-16.472229,-0.645262,5.444179,106.480693,84.802997,1.746524,-8.869377,-0.652931,9.715218,106.138239,80.811178,2.847822,-12.591901,-1.022909,11.693294,102.306911,79.444023,3.575852,-15.107915,-1.471339,5.368749,105.384594,66.581601,2.299857,-3.407354,-0.941983,18.626702,117.732071,78.171028,3.505405,-7.789581,-1.369118,27.439441,120.452741,74.089716,4.860060,-10.366313,-2.350330,25.555850,114.510264,71.518871,5.773681,-11.920265,-3.286299,1.443858,26.412497,152.992791,-10.040470,-8.956747,-2.019621,-0.488532,92.225129,88.391162,-2.381868,-18.050042,-0.592553,1.573284,101.577171,83.612201,1.689972,-18.911258,-0.604256,11.693293,102.306911,79.444023,4.143778,-17.453986,-1.814175,25.555849,114.510264,71.518871,6.630010,-13.761845,-4.120906,0
-62.964422,162.862810,124.033514,-32.134339,13.360327,13.877459,1.580353,30.224865,129.000803,-1.049700,-2.006900,-1.155400,9.317558,41.132522,152.919666,-3.196245,-3.257529,-1.223956,5.338468,49.360159,144.394799,-5.612775,-5.368020,-1.750360,1.486151,26.517399,152.986667,-7.804178,-7.921178,-2.064768,-1.613253,88.334037,93.198509,-2.355067,-9.599621,-0.731645,2.176154,89.173725,90.221941,-2.465287,-13.389241,-0.624869,-0.445877,92.232169,88.395201,-2.500308,-15.817599,-0.717155,1.505134,100.658359,89.459339,-0.172591,-9.564658,-0.254315,5.641790,101.026017,88.167516,0.621080,-13.781840,-0.367070,1.453594,101.575904,83.614696,1.145426,-16.472842,-0.637906,5.331563,106.478083,84.802084,1.746524,-8.869377,-0.652931,9.554065,106.143637,80.813360,2.847856,-12.592641,-1.015279,11.486467,102.323373,79.462540,3.576471,-15.109788,-1.456339,5.368737,105.384591,66.581597,2.299857,-3.407354,-0.941983,18.520470,117.754230,78.183482,3.505405,-7.789581,-1.369117,27.306515,120.482864,74.102400,4.861901,-10.367395,-2.344929,25.403004,114.554505,71.551040,5.777438,-11.922733,-3.276714,1.486150,26.517397,152.986667,-10.033538,-8.965318,-2.022212,-0.445877,92.232169,88.395201,-2.380843,-18.050118,-0.598116,1.453594,101.575904,83.614696,1.689224,-18.911794,-0.591678,11.486467,102.323373,79.462540,4.145285,-17.456904,-1.790444,25.403004,114.554506,71.551040,6.636049,-13.765702,-4.105893,0
-62.945657,162.821490,124.022057,-32.112204,13.329484,13.875862,1.583542,30.226896,129.000833,-1.049700,-2.006900,-1.155400,9.299159,41.145828,152.921476,-3.196198,-3.257603,-1.224094,5.391011,49.472730,144.411584,-5.612365,-5.368766,-1.749468,1.541051,26.628280,152.981670,-7.798559,-7.926005,-2.066962,-1.582635,88.335958,93.199431,-2.355067,-9.599621,-0.731645,2.225778,89.175791,90.223358,-2.465161,-13.389301,-0.626895,-0.396708,92.234173,88.399255,-2.500094,-15.817580,-0.721284,1.444933,100.651579,89.458690,-0.172591,-9.564658,-0.254315,5.548238,101.020245,88.166653,0.620603,-13.782048,-0.362561,1.321461,101.574476,83.616829,1.144762,-16.473533,-0.628920,5.212664,106.478438,84.801323,1.746524,-8.869377,-0.652931,9.384333,106.152381,80.815801,2.848090,-12.593348,-1.007220,11.270795,102.343272,79.481857,3.577449,-15.111627,-1.440516,5.368741,105.384584,66.581601,2.299857,-3.407354,-0.941983,18.410832,117.784452,78.197543,3.505404,-7.789581,-1.369117,27.161989,120.523814,74.118162,4.864128,-10.368327,-2.339354,25.236140,114.610948,71.588003,5.781967,-11.925030,-3.266583,1.541051,26.628280,152.981670,-10.025925,-8.974484,-2.026759,-0.396708,92.234174,88.399255,-2.380554,-18.050196,-0.604161,1.321461,101.574476,83.616829,1.688472,-18.912389,-0.576929,11.270795,102.343271,79.481857,4.147294,-17.459771,-1.765513,25.236140,114.610948,71.588003,6.643325,-13.769376,-4.089828,0
-62.871726,162.919493,123.851832,-32.097524,13.311604,13.871483,1.596863,30.235006,129.000865,-1.049700,-2.006900,-1.155400,9.281137,41.170922,152.929871,-3.196007,-3.257899,-1.224672,5.429897,49.578319,144.431648,-5.611373,-5.370228,-1.749036,1.584640,26.732060,152.984982,-7.792710,-7.931327,-2.068813,-1.545789,88.339725,93.200633,-2.355067,-9.599621,-0.731645,2.303513,89.179826,90.225178,-2.464914,-13.389375,-0.629333,-0.313890,92.237954,88.405338,-2.499674,-15.817526,-0.727017,1.396036,100.655050,89.458576,-0.172591,-9.564658,-0.254315,5.487957,101.024030,88.166282,0.620875,-13.782089,-0.358899,1.225921,101.582236,83.619417,1.145265,-16.473813,-0.622373,5.121001,106.493256,84.801721,1.746524,-8.869377,-0.652931,9.246900,106.174813,80.818978,2.849213,-12.593601,-1.001007,11.081423,102.377528,79.500336,3.579845,-15.112586,-1.428013,5.368752,105.384591,66.581601,2.299857,-3.407354,-0.941983,18.321045,117.833012,78.213160,3.505405,-7.789581,-1.369118,27.004278,120.594296,74.142881,4.867021,-10.368515,-2.334786,25.042807,114.702272,71.638005,5.788071,-11.926279,-3.257037,1.584641,26.732062,152.984982,-10.018204,-8.983847,-2.030486,-0.313890,92.237954,88.405338,-2.379991,-18.050301,-0.613122,1.225921,101.582235,83.619417,1.689283,-18.912508,-0.566214,11.081423,102.377528,79.500336,4.151273,-17.461440,-1.745006,25.042808,114.702273,71.638006,6.653428,-13.771814,-4.073398,0
-62.795882,163.035656,123.637515,-32.082868,13.294063,13.864924,1.614182,30.245478,129.000914,-1.049700,-2.006900,-1.155400,9.266372,41.198509,152.940609,-3.195760,-3.258281,-1.225422,5.470212,49.684342,144.454188,-5.610210,-5.371862,-1.748960,1.630504,26.836086,152.990005,-7.786659,-7.936820,-2.071104,-1.507109,88.341341,93.201756,-2.355067,-9.599621,-0.731645,2.394340,89.181736,90.226984,-2.464809,-13.389447,-0.631893,-0.215756,92.239547,88.412145,-2.499486,-15.817440,-0.733426,1.343515,100.660456,89.458527,-0.172591,-9.564658,-0.254315,5.427774,101.029634,88.165934,0.621290,-13.782106,-0.354965,1.131332,101.591703,83.621932,1.145996,-16.474050,-0.615559,5.031951,106.511659,84.802381,1.746524,-8.869377,-0.652931,9.111802,106.200879,80.822371,2.850562,-12.593761,-0.994970,10.892906,102.415621,79.518969,3.582619,-15.113373,-1.415790,5.368737,105.384593,66.581600,2.299857,-3.407354,-0.941983,18.233437,117.885813,78.229287,3.505405,-7.789581,-1.369117,26.832612,120.674206,74.171200,4.870087,-10.368561,-2.330324,24.830570,114.805319,71.694024,5.794713,-11.927409,-3.247149,1.630504,26.836084,152.990005,-10.010268,-8.993384,-2.034752,-0.215756,92.239547,88.412145,-2.379745,-18.050404,-0.623357,1.131332,101.591703,83.621932,1.690393,-18.912562,-0.555274,10.892906,102.415621,79.518968,4.155782,-17.462866,-1.724813,24.830570,114.805318,71.694024,6.664544,-13.774172,-4.055941,0
-62.749862,163.332961,123.124405,-32.068639,13.277056,13.846689,1.635711,30.258476,129.000967,-1.049700,-2.006900,-1.155400,9.286956,41.212838,152.954599,-3.195453,-3.258754,-1.226356,5.568626,49.810778,144.491223,-5.609233,-5.372815,-1.751046,1.737749,26.963197,152.985471,-7.779656,-7.942143,-2.078968,-1.470008,88.346735,93.203061,-2.355067,-9.599621,-0.731645,2.494444,89.187503,90.228967,-2.464454,-13.389521,-0.634348,-0.102780,92.244846,88.419740,-2.498884,-15.817337,-0.740123,1.298284,100.671339,89.458771,-0.172591,-9.564658,-0.254315,5.387500,101.040354,88.165855,0.622106,-13.782032,-0.351577,1.064173,101.605437,83.624155,1.147350,-16.474057,-0.610243,4.972418,106.535960,84.803647,1.746524,-8.869377,-0.652931,9.009172,106.232386,80.826074,2.852242,-12.593631,-0.990934,10.737592,102.458520,79.535567,3.585894,-15.113560,-1.407053,5.368744,105.384591,66.581597,2.299857,-3.407354,-0.941983,18.182827,117.944631,78.243506,3.505405,-7.789581,-1.369118,26.683312,120.765241,74.202144,4.873131,-10.367908,-2.327747,24.637806,114.919222,71.750489,5.801452,-11.927332,-3.239846,1.737748,26.963195,152.985471,-10.000969,-9.003674,-2.047218,-0.102780,92.244846,88.419740,-2.378942,-18.050503,-0.634459,1.064173,101.605438,83.624155,1.692313,-18.912368,-0.547028,10.737591,102.458521,79.535567,4.160952,-17.463445,-1.709505,24.637806,114.919221,71.750489,6.675987,-13.774877,-4.041752,0
-62.704450,163.620447,122.605825,-32.052756,13.258833,13.826237,1.660615,30.273810,129.001088,-1.049700,-2.006900,-1.155400,9.317137,41.226381,152.971034,-3.195091,-3.259313,-1.227436,5.681247,49.943793,144.533707,-5.608163,-5.373761,-1.753816,1.864554,27.104869,152.979901,-7.772196,-7.947623,-2.088348,-1.432558,88.351938,93.204364,-2.355067,-9.599621,-0.731645,2.604186,89.193097,90.230984,-2.464112,-13.389593,-0.636826,0.022774,92.249895,88.427945,-2.498302,-15.817206,-0.747252,1.253822,100.685270,89.459159,-0.172591,-9.564658,-0.254315,5.352076,101.054001,88.165916,0.623145,-13.781912,-0.348246,1.003964,101.621830,83.626337,1.149061,-16.473967,-0.605217,4.920538,106.564168,84.805250,1.746524,-8.869377,-0.652931,8.914721,106.267695,80.829999,2.854162,-12.593378,-0.987416,10.589926,102.505201,79.551849,3.589558,-15.113510,-1.399208,5.368743,105.384592,66.581607,2.299857,-3.407354,-0.941983,18.142915,118.015545,78.258954,3.505405,-7.789581,-1.369118,26.532787,120.872454,74.237057,4.876634,-10.366802,-2.325714,24.440759,115.050232,71.811462,5.809098,-11.926538,-3.233042,1.864553,27.104868,152.979901,-9.990931,-9.014682,-2.062040,0.022774,92.249895,88.427945,-2.378169,-18.050588,-0.646483,1.003964,101.621830,83.626337,1.694704,-18.912057,-0.539375,10.589926,102.505201,79.551849,4.166655,-17.463690,-1.695410,24.440760,115.050233,71.811463,6.688902,-13.774627,-4.027899,0
-62.671665,163.887442,122.127202,-32.034716,13.240527,13.812482,1.691517,30.292455,129.001186,-1.049700,-2.006900,-1.155400,9.357301,41.241551,152.991309,-3.194650,-3.259991,-1.228776,5.807012,50.084106,144.582842,-5.606884,-5.374835,-1.757405,2.010296,27.261442,152.974889,-7.764131,-7.953419,-2.099318,-1.394825,88.356958,93.205657,-2.355068,-9.599621,-0.731645,2.721946,89.198584,90.233017,-2.463782,-13.389664,-0.639323,0.159638,92.254773,88.436659,-2.497736,-15.817048,-0.754739,1.210228,100.702038,89.459675,-0.172591,-9.564658,-0.254315,5.320637,101.070390,88.166086,0.624392,-13.781748,-0.344981,0.949445,101.640772,83.628506,1.151105,-16.473791,-0.600446,4.874753,106.597562,84.807234,1.746523,-8.869377,-0.652931,8.826802,106.308155,80.834252,2.856408,-12.592987,-0.984311,10.448360,102.556999,79.568027,3.593760,-15.113202,-1.392075,5.368738,105.384593,66.581602,2.299857,-3.407354,-0.941983,18.111722,118.097930,78.275718,3.505405,-7.789581,-1.369117,26.381674,120.994278,74.275382,4.880583,-10.365287,-2.324124,24.240578,115.196523,71.876188,5.817590,-11.925083,-3.226656,2.010294,27.261441,152.974889,-9.979989,-9.026572,-2.079264,0.159638,92.254773,88.436659,-2.377419,-18.050655,-0.659307,0.949445,101.640772,83.628506,1.697536,-18.911638,-0.532226,10.448360,102.556999,79.568027,4.173097,-17.463579,-1.682283,24.240579,115.196524,71.876188,6.703164,-13.773486,-4.014343,0
