WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-82.381262,-78.674326,-33.700390,23.787124,-3.672986,-17.373553,28.828101,19.304976,-56.350982,1.310490,-1.052391,1.907761,11.620152,28.097863,6.032410,0.344025,-1.810906,1.666943,-8.925680,1.003489,21.916305,0.959880,-1.896974,2.459880,-2.494751,7.756841,-8.622239,1.484974,-0.847937,2.914716,0.000000,-0.000000,-0.000000,1.183269,-0.830058,1.993230,-26.787717,-0.378035,-0.104674,2.339604,-1.228544,9.552555,-35.553574,-12.974052,0.981686,2.438666,0.451995,2.869387,-14.562770,-2.366696,0.449806,2.349412,-0.209830,0.585577,0.000000,-0.000000,0.000000,2.227258,-0.217494,0.067841,-26.990886,-6.502792,3.271135,2.378904,0.980140,9.217228,-26.800012,-9.503599,-2.619166,2.814911,0.459704,3.208145,-5.969838,-4.601502,4.003707,2.541977,-0.219516,1.039206,-0.000000,0.000000,0.000000,2.356721,-0.243030,0.795702,-24.680525,-12.151229,8.706229,3.036731,2.623998,8.126217,-21.936378,-13.325904,-1.767347,2.507146,0.539721,2.937661,-8.305947,-7.913345,-3.322763,2.342415,-0.237714,1.232082,0.000000,0.000000,-0.000000,2.204936,-0.490411,0.917541,0.451701,-20.603248,20.502159,2.193269,2.385788,2.698949,-14.187649,2.768038,-9.829305,1.677687,1.596951,3.933804,-20.772464,-16.384316,0.291825,1.752919,0.687338,2.427397,0.466321,-6.088997,-4.000834,1.714608,-0.019743,1.088686,0.000001,-0.000001,-0.000000,1.770739,-0.230577,1.277733,0
-82.426869,-79.398963,-33.065144,23.781858,-3.656205,-17.383879,28.856960,19.165760,-56.402405,1.311912,-1.056308,1.904617,11.648825,28.114818,5.974875,0.345685,-1.812044,1.665362,-8.938940,1.044323,21.879062,0.963713,-1.899410,2.456499,-2.512320,7.777720,-8.590878,1.489589,-0.852921,2.910905,0.000001,-0.000000,-0.000000,1.187537,-0.831189,1.990219,-26.481752,-0.294780,-0.101539,2.354765,-1.239787,9.547375,-35.623863,-12.976314,0.912717,2.430812,0.451046,2.876192,-14.624501,-2.387118,0.423319,2.348212,-0.212440,0.589437,-0.000000,0.000000,-0.000000,2.226886,-0.220796,0.069352,-26.817620,-6.419711,3.245960,2.397833,0.969045,9.213495,-26.951965,-9.539304,-2.671759,2.812211,0.456957,3.210904,-6.033560,-4.619385,3.993151,2.542929,-0.224744,1.035754,0.000000,0.000000,-0.000000,2.357806,-0.248766,0.790700,-24.567065,-12.064791,8.683652,3.056911,2.612348,8.122404,-22.049940,-13.371849,-1.809508,2.506538,0.537219,2.938638,-8.326784,-7.924936,-3.332008,2.343510,-0.242806,1.229003,-0.000000,-0.000000,0.000000,2.205376,-0.495567,0.913705,0.397974,-20.573421,20.542902,2.202974,2.379564,2.696537,-14.071452,2.821167,-9.793698,1.688105,1.590898,3.931800,-20.831109,-16.435934,0.267895,1.753299,0.687170,2.427170,0.469687,-6.095375,-3.994195,1.715632,-0.022366,1.087022,0.000000,0.000000,-0.000000,1.771657,-0.233341,1.275957,0
-82.474247,-79.857155,-32.707320,23.778198,-3.641512,-17.395120,28.892061,19.035204,-56.445243,1.312954,-1.060482,1.901576,11.679845,28.130827,5.921937,0.347081,-1.813362,1.663636,-8.946123,1.078289,21.836504,0.967302,-1.902193,2.452933,-2.522770,7.796552,-8.564438,1.494140,-0.857921,2.907100,-0.000000,-0.000000,-0.000000,1.191888,-0.832150,1.987213,-26.211655,-0.215018,-0.102508,2.368145,-1.252251,9.542438,-35.677751,-12.965888,0.839982,2.420524,0.450188,2.884990,-14.684593,-2.404740,0.395872,2.346527,-0.214793,0.595264,0.000000,-0.000000,0.000000,2.226475,-0.223917,0.072467,-26.632874,-6.331553,3.227743,2.415093,0.956761,9.210271,-27.102057,-9.572756,-2.726616,2.807905,0.454201,3.215060,-6.116440,-4.648510,3.979469,2.543690,-0.230237,1.032675,-0.000000,0.000000,0.000000,2.358853,-0.254969,0.785585,-24.449526,-11.974415,8.661853,3.075654,2.599622,8.119411,-22.164273,-13.414499,-1.855357,2.505201,0.534499,2.940274,-8.365378,-7.943147,-3.347011,2.344578,-0.248409,1.225843,-0.000000,-0.000000,0.000000,2.205787,-0.501245,0.909606,0.341299,-20.547326,20.580246,2.212229,2.372952,2.694787,-13.968618,2.870581,-9.762879,1.697832,1.584319,3.930268,-20.858322,-16.458605,0.247348,1.753616,0.686476,2.427138,0.467763,-6.103123,-3.992705,1.716630,-0.025389,1.085378,0.000000,0.000000,-0.000000,1.772539,-0.236582,1.274135,0
-82.536430,-80.214350,-32.452566,23.774181,-3.625374,-17.404134,28.931442,18.910604,-56.481990,1.313730,-1.064843,1.898601,11.711643,28.146781,5.868706,0.348294,-1.814816,1.661796,-8.953014,1.112598,21.795391,0.970639,-1.905184,2.449290,-2.537001,7.820804,-8.531628,1.498049,-0.863604,2.903404,-0.000000,0.000000,-0.000000,1.195582,-0.833945,1.984240,-25.941372,-0.133111,-0.104542,2.380302,-1.265594,9.537652,-35.728069,-12.947936,0.762493,2.411730,0.448520,2.892605,-14.747231,-2.421688,0.367310,2.344925,-0.217349,0.600625,0.000000,0.000000,-0.000000,2.226056,-0.227159,0.075215,-26.439962,-6.239289,3.211058,2.431215,0.943615,9.207385,-27.257779,-9.604726,-2.784734,2.802522,0.451920,3.220075,-6.211690,-4.683704,3.963740,2.544094,-0.235406,1.030512,-0.000000,0.000000,0.000000,2.359845,-0.261332,0.780499,-24.330430,-11.881737,8.640090,3.093422,2.586112,8.116974,-22.284576,-13.456903,-1.904529,2.503225,0.531817,2.942442,-8.414356,-7.964981,-3.365232,2.345375,-0.253947,1.223179,0.000000,0.000000,-0.000000,2.206184,-0.507289,0.905283,0.282449,-20.523763,20.615247,2.221183,2.366051,2.693489,-13.870326,2.920017,-9.733215,1.707093,1.577355,3.929057,-20.879894,-16.473483,0.225915,1.754348,0.685132,2.426988,0.463569,-6.111707,-3.992992,1.717174,-0.027760,1.084458,-0.000000,0.000000,-0.000000,1.773032,-0.239290,1.272942,0
-82.581586,-80.468371,-32.476615,23.750370,-3.619171,-17.412862,29.101323,18.761101,-56.453474,1.310950,-1.072626,1.896141,11.727335,28.164945,5.854152,0.344254,-1.817246,1.659981,-9.010809,1.131054,21.736083,0.968295,-1.910846,2.445805,-2.532936,7.850761,-8.497623,1.498688,-0.873235,2.900192,-0.000000,0.000000,0.000000,1.196643,-0.838538,1.981663,-25.673008,-0.034280,-0.175968,2.384856,-1.285649,9.533831,-35.777689,-12.887405,0.573153,2.402684,0.440580,2.901340,-14.812651,-2.432768,0.299203,2.342424,-0.225755,0.607247,0.000000,-0.000000,0.000000,2.225007,-0.235953,0.079070,-26.250053,-6.128200,3.123863,2.445408,0.923628,9.205653,-27.409661,-9.613954,-2.923603,2.796266,0.442749,3.226781,-6.326986,-4.724559,3.928978,2.543350,-0.246915,1.029654,-0.000000,0.000000,0.000000,2.359873,-0.273841,0.776114,-24.231812,-11.776752,8.552130,3.113861,2.564175,8.116119,-22.404344,-13.484131,-2.020479,2.501075,0.522828,2.945879,-8.464484,-7.987152,-3.410571,2.344991,-0.265477,1.221468,0.000000,0.000000,-0.000000,2.204988,-0.519196,0.901437,0.171547,-20.518645,20.641579,2.234776,2.353351,2.693372,-13.750814,2.975310,-9.738099,1.718457,1.565784,3.928731,-20.898310,-16.469908,0.143215,1.755916,0.679107,2.427547,0.466917,-6.120145,-3.996015,1.717110,-0.034362,1.084371,0.000000,0.000000,-0.000000,1.772339,-0.246439,1.272543,0
-82.513342,-79.983046,-32.997478,23.735910,-3.598234,-17.411032,29.055298,18.813795,-56.447467,1.310946,-1.072635,1.896138,11.731708,28.196707,5.782766,0.346655,-1.816496,1.660302,-8.974979,1.153801,21.735181,0.972116,-1.909806,2.445101,-2.662386,7.972655,-8.332517,1.500326,-0.873274,2.899333,-0.000000,0.000000,-0.000000,1.199640,-0.835545,1.981115,-25.276305,0.030790,-0.092261,2.384862,-1.285674,9.533826,-35.852365,-12.933687,0.559295,2.388576,0.446248,2.912103,-14.910172,-2.482827,0.295794,2.340226,-0.222967,0.616679,0.000000,-0.000000,0.000000,2.224908,-0.234625,0.085550,-25.935168,-6.046472,3.177091,2.445426,0.923603,9.205650,-27.644661,-9.699997,-2.944897,2.784172,0.449602,3.236278,-6.455601,-4.795480,3.913158,2.542539,-0.245848,1.031910,-0.000000,-0.000000,0.000000,2.360342,-0.275093,0.774243,-24.025287,-11.699960,8.570667,3.113888,2.564148,8.116117,-22.592822,-13.575344,-2.058312,2.493257,0.528144,2.951553,-8.560088,-8.030541,-3.435488,2.344482,-0.265229,1.222498,0.000000,0.000000,-0.000000,2.205239,-0.520494,0.900074,0.171408,-20.518637,20.641613,2.234793,2.353335,2.693372,-13.652176,3.029775,-9.693595,1.718472,1.565770,3.928730,-20.973949,-16.537434,0.123299,1.751945,0.683317,2.429235,0.426050,-6.149194,-4.018011,1.715983,-0.032017,1.086226,-0.000001,0.000001,0.000000,1.771375,-0.244266,1.274303,0
-82.454190,-80.824566,-32.088582,23.757471,-3.610131,-17.404437,28.931043,18.754352,-56.553002,1.315844,-1.068801,1.894909,11.720406,28.207862,5.711623,0.354873,-1.813276,1.662085,-8.956749,1.188268,21.738237,0.984430,-1.904987,2.443933,-2.682318,7.955709,-8.343541,1.510549,-0.867259,2.895828,-0.000000,0.000000,-0.000000,1.212550,-0.821813,1.978999,-25.275851,-0.007788,-0.050700,2.404256,-1.271765,9.530820,-35.834335,-13.012657,0.654023,2.372432,0.460658,2.923035,-14.906959,-2.503436,0.322116,2.338532,-0.215542,0.625678,-0.000000,0.000000,-0.000000,2.225195,-0.230102,0.090230,-25.923322,-6.084799,3.229184,2.461388,0.937212,9.200019,-27.636277,-9.758671,-2.876144,2.771361,0.466513,3.244868,-6.445126,-4.796822,3.929724,2.543511,-0.240061,1.030878,-0.000000,-0.000000,0.000000,2.362664,-0.273008,0.767873,-23.999826,-11.726505,8.624197,3.125724,2.577364,8.107376,-22.577402,-13.622406,-1.995750,2.487043,0.541373,2.954397,-8.554596,-8.049729,-3.408413,2.346714,-0.261477,1.219019,-0.000000,-0.000000,0.000000,2.208215,-0.519629,0.893252,0.219935,-20.475934,20.674764,2.236799,2.359250,2.686522,-13.669152,2.995848,-9.675633,1.723786,1.572436,3.923737,-20.950859,-16.578022,0.185495,1.750543,0.691916,2.427811,0.428281,-6.155920,-4.007541,1.717557,-0.028573,1.083831,-0.000001,0.000001,0.000000,1.774213,-0.242005,1.270781,0
-82.401201,-81.322525,-31.554781,23.768112,-3.611105,-17.399883,28.859986,18.670416,-56.640757,1.319680,-1.066512,1.893531,11.704763,28.213166,5.646513,0.358834,-1.811809,1.662834,-8.966973,1.234970,21.749910,0.989736,-1.902518,2.443714,-2.758619,8.006086,-8.267858,1.515892,-0.864100,2.893980,-0.000000,-0.000000,0.000000,1.216357,-0.819531,1.977608,-25.088029,-0.000699,0.015578,2.420771,-1.263109,9.527790,-35.851660,-13.088985,0.711199,2.376916,0.464420,2.918794,-14.960319,-2.545025,0.336223,2.339703,-0.213496,0.621993,0.000000,-0.000000,0.000000,2.225496,-0.228527,0.086743,-25.812101,-6.080979,3.279141,2.475859,0.945661,9.195270,-27.787666,-9.854345,-2.842465,2.776369,0.470783,3.239966,-6.515425,-4.827856,3.936361,2.545363,-0.237577,1.026874,-0.000000,-0.000000,0.000000,2.364107,-0.270840,0.764190,-23.934231,-11.722147,8.662874,3.137285,2.585458,8.100331,-22.697766,-13.716832,-1.970436,2.491524,0.545236,2.949908,-8.614353,-8.095741,-3.397077,2.348890,-0.258987,1.215353,-0.000000,-0.000000,0.000000,2.210032,-0.517474,0.890004,0.248286,-20.439876,20.704989,2.239606,2.362746,2.681107,-13.614947,3.003790,-9.644687,1.729161,1.576496,3.919741,-20.994410,-16.653961,0.214584,1.754059,0.694892,2.424421,0.399958,-6.184248,-4.012827,1.719354,-0.026609,1.081029,-0.000000,0.000000,-0.000000,1.776462,-0.239865,1.268042,0
-82.372953,-81.796943,-31.051991,23.779231,-3.612022,-17.397034,28.818793,18.569956,-56.719870,1.322958,-1.065183,1.891992,11.691284,28.213175,5.593944,0.361238,-1.811110,1.663075,-8.990453,1.281533,21.760786,0.994021,-1.901876,2.442474,-2.828724,8.056985,-8.193738,1.521655,-0.862166,2.891531,-0.000001,0.000000,-0.000000,1.223180,-0.813261,1.975987,-24.912754,0.013675,0.067617,2.436042,-1.257678,9.524616,-35.869526,-13.148512,0.749306,2.371334,0.470645,2.922335,-15.013679,-2.581579,0.343891,2.339205,-0.210538,0.624866,-0.000000,0.000000,-0.000000,2.225624,-0.227081,0.087261,-25.717989,-6.071547,3.313890,2.489950,0.950944,9.190920,-27.940068,-9.939239,-2.821963,2.775218,0.476479,3.240120,-6.587384,-4.855544,3.940946,2.547901,-0.237433,1.020595,-0.000000,0.000000,0.000000,2.366784,-0.272464,0.755272,-23.886252,-11.714351,8.688562,3.149173,2.590396,8.094138,-22.822320,-13.803724,-1.954921,2.493264,0.549045,2.947730,-8.677535,-8.140799,-3.389107,2.352290,-0.260219,1.208496,0.000000,0.000000,-0.000000,2.212994,-0.520224,0.880995,0.264051,-20.406816,20.734542,2.243089,2.364738,2.676434,-13.555992,3.015661,-9.622202,1.734816,1.578949,3.916253,-21.047170,-16.724927,0.232486,1.754404,0.698555,2.423118,0.367767,-6.215602,-4.019549,1.720884,-0.026064,1.078605,-0.000000,-0.000000,0.000000,1.778813,-0.240336,1.264652,0
-82.255162,-81.387388,-31.394377,23.790652,-3.614204,-17.396584,28.782083,18.644726,-56.705595,1.322888,-1.061004,1.894387,11.635650,28.222109,5.586739,0.360837,-1.808458,1.666045,-9.000315,1.276001,21.789477,0.993811,-1.898141,2.445463,-2.911733,8.120159,-8.104002,1.521736,-0.856189,2.893264,-0.000001,-0.000000,-0.000001,1.226173,-0.804201,1.977840,-24.745107,-0.005836,0.139212,2.432221,-1.240222,9.527881,-35.873118,-13.242113,0.791182,2.360095,0.481209,2.929704,-15.063647,-2.635600,0.356887,2.337609,-0.205692,0.632407,0.000000,-0.000000,0.000000,2.225694,-0.224387,0.092290,-25.625545,-6.100108,3.357608,2.484433,0.967902,9.190642,-28.084938,-10.044586,-2.803182,2.767926,0.486864,3.244811,-6.651255,-4.896568,3.940764,2.548665,-0.235035,1.019240,0.000000,-0.000000,-0.000000,2.368161,-0.272164,0.751055,-23.829752,-11.748792,8.712751,3.142833,2.606137,8.091549,-22.937568,-13.903917,-1.954471,2.489202,0.557110,2.949649,-8.736869,-8.187702,-3.393959,2.353541,-0.259125,1.206293,0.000000,0.000000,-0.000000,2.214546,-0.521119,0.876554,0.313551,-20.413677,20.718218,2.239717,2.370957,2.673755,-13.502682,3.030550,-9.591974,1.731473,1.586743,3.914582,-21.091032,-16.810831,0.226316,1.749345,0.705737,2.424694,0.336208,-6.241127,-4.040965,1.720254,-0.023594,1.079665,-0.000002,-0.000002,-0.000002,1.778796,-0.238797,1.264969,0
