R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-114.693932,-5.414610,100.161938,-89.707006,-20.981445,98.311525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.716346,-33.390079,64.577537,-42.870424,-27.126402,60.773680,-1.429272,-17.319322,36.026646,19.419523,-3.571704,31.299469,0.287848,-43.889705,-9.766696,3.106862,-28.129772,-10.397411,-1.701473,-31.444388,9.186830,-4.799862,-12.960533,9.710164,3.774107,-19.432739,3.000465,12.346148,-12.275600,1.745647,-2.190694,-62.695368,-1.988248,-1.572985,-47.138203,-2.533864,1.643555,-33.636235,-2.552032,1.940221,-26.894239,-2.483752,5.255642,-55.583908,-8.194298,10.054371,-40.165318,-8.678801,-1.527383,-105.849638,-0.243168,-0.891903,-58.373626,-1.202103,-8.447211,-70.571197,-7.003233,-3.345194,-31.088068,-7.211210,-0.986040,-72.782541,-13.871235,7.153871,-47.851074,-15.098486,-5.310579,-98.408380,-1.040100,-3.503493,-55.108658,-3.523397,-4.484133,-68.067263,-1.136048,-3.822555,-33.627061,-1.003876,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.333219,-79.317032,3.420992,6.264809,-53.174124,5.611887,-6.635869,-86.709416,-7.692900,-0.269374,-43.653272,-8.361335,-3.968786,-61.955797,2.703534,-5.061172,-34.488574,1.777798,3
-0.002829,-0.006515,0.001290,-0.028444,-0.014633,0.012051,0.084159,0.004737,-0.107584,-0.346156,0.088768,0.072091,-31.693893,-33.399620,64.582410,-42.867493,-27.128492,60.775099,-1.386135,-17.290101,36.030356,19.367625,-3.604716,31.294945,0.308317,-43.770757,-9.774319,3.115204,-28.084232,-10.398102,-1.733189,-31.248188,9.197573,-4.812799,-12.884637,9.710242,3.739957,-19.476467,3.009653,12.290862,-12.313286,1.748261,-2.192601,-62.750072,-1.986021,-1.564335,-46.943466,-2.539605,1.642547,-33.658561,-2.552225,1.949133,-26.688407,-2.481112,5.236901,-55.642787,-8.185999,10.042072,-40.267445,-8.698342,-1.527361,-105.848615,-0.243201,-0.888480,-58.210754,-1.204294,-8.447828,-70.576207,-7.002965,-3.328368,-30.954818,-7.205900,-0.995109,-72.789084,-13.851369,7.135930,-48.023757,-15.144672,-5.310579,-98.408380,-1.040100,-3.498085,-55.020780,-3.526799,-4.484296,-68.075571,-1.136036,-3.821635,-33.573734,-1.003375,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.329813,-79.284385,3.433809,6.317552,-53.321542,5.538430,-6.642011,-86.755214,-7.689677,-0.255094,-43.556148,-8.357347,-3.968397,-61.964182,2.703723,-5.063653,-34.408255,1.774359,3
-0.001893,-0.005929,0.001340,-0.023063,-0.013638,0.009305,0.077522,0.004550,-0.103307,-0.278817,0.071291,0.079733,-31.690744,-33.400914,64.583066,-42.846823,-27.143755,60.785479,-1.344526,-17.260112,36.026472,19.307287,-3.640852,31.297543,0.327262,-43.660903,-9.781324,3.120269,-28.056612,-10.398510,-1.766932,-31.040006,9.208878,-4.824666,-12.815094,9.710293,3.706546,-19.517227,3.018720,12.232940,-12.359098,1.749968,-2.194351,-62.800890,-1.983985,-1.555726,-46.749244,-2.545274,1.642063,-33.669766,-2.552297,1.956109,-26.527143,-2.479037,5.223469,-55.690243,-8.181433,10.027333,-40.372732,-8.716962,-1.527380,-105.849953,-0.243171,-0.885133,-58.051544,-1.206425,-8.449330,-70.588499,-7.002362,-3.317281,-30.866999,-7.202378,-0.999673,-72.781273,-13.834420,7.111953,-48.185896,-15.181593,-5.310717,-98.416298,-1.039542,-3.489786,-54.885868,-3.532002,-4.484509,-68.086441,-1.135998,-3.820665,-33.518381,-1.002849,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.327107,-79.224023,3.440117,6.354034,-53.480494,5.485388,-6.651126,-86.823282,-7.684864,-0.237246,-43.434537,-8.352332,-3.967471,-61.983660,2.704186,-5.066313,-34.321823,1.770674,3
-0.000797,-0.008522,0.002492,-0.032863,-0.022349,0.012013,0.115655,0.007187,-0.164754,-0.396885,0.100956,0.155181,-31.691639,-33.400567,64.582890,-42.818416,-27.164724,60.799734,-1.303522,-17.230225,36.021039,19.238691,-3.681256,31.302732,0.346210,-43.550963,-9.788299,3.124673,-28.032555,-10.398868,-1.800508,-30.832919,9.219993,-4.836537,-12.745426,9.710305,3.675818,-19.562551,3.026977,12.174553,-12.407639,1.751365,-2.196334,-62.858202,-1.981671,-1.547067,-46.554646,-2.550936,1.641546,-33.681251,-2.552375,1.962663,-26.375551,-2.477051,5.211414,-55.737003,-8.178450,10.012522,-40.477774,-8.735473,-1.527373,-105.851571,-0.243122,-0.881830,-57.895089,-1.208526,-8.451126,-70.603354,-7.001625,-3.307485,-30.789309,-7.199250,-1.003197,-72.770565,-13.818449,7.086184,-48.345864,-15.216183,-5.310875,-98.425484,-1.038887,-3.480177,-54.730052,-3.538013,-4.484740,-68.097911,-1.135983,-3.819701,-33.463458,-1.002326,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.324216,-79.150999,3.445815,6.386789,-53.642326,5.436715,-6.661049,-86.897296,-7.679650,-0.218480,-43.306705,-8.347009,-3.966415,-62.006047,2.704714,-5.068950,-34.236376,1.767012,3
0.000034,-0.000011,0.000014,-0.000054,0.000020,0.000031,-0.000089,0.000006,-0.000235,-0.001040,-0.000794,-0.000128,-31.704434,-33.395119,64.580109,-42.739660,-27.222323,60.838837,-1.226370,-17.172924,36.006353,19.089782,-3.766816,31.321955,0.382079,-43.343224,-9.801377,3.131573,-27.994917,-10.399416,-1.863921,-30.442339,9.240626,-4.859077,-12.613279,9.710332,3.622558,-19.661499,3.041084,12.061612,-12.507598,1.753295,-2.200602,-62.981888,-1.976678,-1.530723,-46.188204,-2.561508,1.640437,-33.705912,-2.552561,1.974351,-26.105150,-2.473488,5.191768,-55.824934,-8.176712,9.984240,-40.677213,-8.770485,-1.527397,-105.855764,-0.243019,-0.875689,-57.604009,-1.212379,-8.455643,-70.640461,-6.999773,-3.291335,-30.661290,-7.194069,-1.006624,-72.739164,-13.789932,7.031888,-48.649816,-15.277160,-5.311276,-98.447500,-1.037347,-3.459296,-54.392502,-3.550922,-4.485225,-68.122378,-1.135921,-3.817882,-33.358607,-1.001305,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.318616,-78.978114,3.453542,6.441202,-53.961963,5.353139,-6.682106,-87.054656,-7.668474,-0.180757,-43.049492,-8.336194,-3.963950,-62.058173,2.705936,-5.073975,-34.072815,1.760018,3
0.015713,-0.003309,0.006691,-0.026900,0.001811,0.008447,-0.029530,0.002866,-0.091478,-0.384290,-0.246000,-0.012721,-31.704434,-33.395119,64.580109,-42.739552,-27.222421,60.838904,-1.226370,-17.172924,36.006353,19.089679,-3.766857,31.321984,0.382079,-43.343224,-9.801377,3.131573,-27.994917,-10.399416,-1.863921,-30.442339,9.240626,-4.859075,-12.613118,9.710325,3.622558,-19.661499,3.041084,12.061612,-12.507598,1.753295,-2.200616,-62.982121,-1.976637,-1.530747,-46.187904,-2.561471,1.640437,-33.705912,-2.552561,1.974365,-26.104915,-2.473488,5.191768,-55.824934,-8.176712,9.984240,-40.677439,-8.770543,-1.527397,-105.855764,-0.243019,-0.875689,-57.604009,-1.212379,-8.455640,-70.640566,-6.999773,-3.291330,-30.661119,-7.194045,-1.006602,-72.739051,-13.789913,7.031853,-48.650064,-15.277222,-5.311276,-98.447500,-1.037347,-3.459282,-54.392297,-3.550935,-4.485225,-68.122378,-1.135921,-3.817882,-33.358607,-1.001305,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.318606,-78.977786,3.453556,6.441264,-53.962177,5.353052,-6.682149,-87.054833,-7.668460,-0.180734,-43.049291,-8.336196,-3.963957,-62.058286,2.705932,-5.073975,-34.072815,1.760018,3
0.014641,0.016418,0.000372,-0.008509,0.011948,-0.008035,-0.005677,-0.024434,0.038626,0.038493,-0.140467,-0.207125,-31.697260,-33.398189,64.581681,-42.697190,-27.253379,60.859895,-1.214541,-17.164996,36.007812,19.042535,-3.791727,31.335959,0.386284,-43.318863,-9.802921,3.138774,-27.955560,-10.400013,-1.860618,-30.462739,9.239568,-4.862963,-12.590518,9.710329,3.611729,-19.679590,3.044009,12.043276,-12.527092,1.753078,-2.203555,-63.067370,-1.973225,-1.524190,-46.042239,-2.565709,1.639284,-33.732234,-2.552759,1.978887,-26.000383,-2.472088,5.188912,-55.831853,-8.174868,9.981756,-40.767809,-8.794234,-1.527493,-105.877051,-0.242495,-0.875002,-57.572060,-1.212807,-8.458207,-70.661688,-6.998724,-3.287581,-30.631363,-7.192842,-0.995528,-72.682341,-13.783920,7.019491,-48.751007,-15.302930,-5.311565,-98.464272,-1.036158,-3.453986,-54.306669,-3.554189,-4.485962,-68.159730,-1.135838,-3.817676,-33.347598,-1.001200,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.314651,-78.828929,3.456359,6.464785,-54.053172,5.318212,-6.693181,-87.137534,-7.662555,-0.168143,-42.963293,-8.332531,-3.961869,-62.102710,2.706984,-5.075110,-34.035231,1.758410,3
0.015708,0.016511,0.000008,-0.016456,0.005190,-0.013420,-0.002394,-0.018587,0.025200,-0.008998,-0.094762,-0.128799,-31.721852,-33.387732,64.576347,-42.681003,-27.265126,60.867855,-1.201876,-17.153438,35.996250,19.029447,-3.797973,31.341819,0.387487,-43.311892,-9.803349,3.139140,-27.953592,-10.400031,-1.858239,-30.477337,9.238788,-4.858612,-12.616022,9.710339,3.592251,-19.722222,3.049128,12.047099,-12.503463,1.756506,-2.207139,-63.171564,-1.968993,-1.518472,-45.914596,-2.569344,1.636962,-33.784195,-2.553143,1.980882,-25.954093,-2.471467,5.184463,-55.836706,-8.170372,9.981536,-40.809221,-8.805793,-1.527445,-105.865543,-0.242782,-0.875097,-57.575607,-1.212743,-8.460432,-70.680040,-6.997805,-3.287289,-30.629180,-7.192772,-0.982327,-72.619340,-13.779701,7.030093,-48.740449,-15.309098,-5.311623,-98.466387,-1.036018,-3.449609,-54.236183,-3.556846,-4.486783,-68.200835,-1.135759,-3.817498,-33.337008,-1.001104,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.312450,-78.685522,3.451750,6.460004,-53.975666,5.327419,-6.701163,-87.197191,-7.658308,-0.157492,-42.890597,-8.329422,-3.959540,-62.151837,2.708116,-5.075492,-34.022518,1.757871,3
0.016683,0.016919,-0.000360,-0.021804,0.001299,-0.017202,-0.000455,-0.015018,0.017150,-0.036936,-0.070410,-0.086316,-31.755807,-33.373232,64.568930,-42.668885,-27.273971,60.873851,-1.190981,-17.142272,35.981145,19.023370,-3.800361,31.346646,0.387832,-43.309921,-9.803471,3.138276,-27.958277,-10.399973,-1.856004,-30.491121,9.238070,-4.853044,-12.648632,9.710319,3.572402,-19.769302,3.054330,12.055876,-12.473128,1.760247,-2.210885,-63.281032,-1.964563,-1.513011,-45.793047,-2.572808,1.634192,-33.846186,-2.553609,1.982450,-25.917635,-2.470974,5.180385,-55.839252,-8.165712,9.982205,-40.841463,-8.815443,-1.527368,-105.849192,-0.243184,-0.875284,-57.584840,-1.212629,-8.462357,-70.695806,-6.997004,-3.287763,-30.632925,-7.192914,-0.967098,-72.549799,-13.776689,7.041687,-48.718874,-15.312091,-5.311612,-98.466159,-1.036023,-3.445531,-54.170372,-3.559335,-4.487656,-68.244830,-1.135661,-3.817342,-33.328445,-1.001025,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.311136,-78.540244,3.443451,6.451839,-53.892912,5.341330,-6.708563,-87.252659,-7.654335,-0.147402,-42.821695,-8.326465,-3.957087,-62.203973,2.709347,-5.075741,-34.014723,1.757541,3
0.018034,0.017429,-0.003567,-0.137616,-0.012073,-0.044302,0.012999,-0.061778,0.056804,0.146904,0.034629,-0.167005,-31.800269,-33.354271,64.559236,-42.659978,-27.280424,60.878218,-1.181707,-17.131261,35.961950,19.022640,-3.799622,31.350577,0.387522,-43.311753,-9.803361,3.136472,-27.968195,-10.399819,-1.853844,-30.504444,9.237377,-4.846706,-12.685802,9.710343,3.552121,-19.820639,3.059636,12.068425,-12.436392,1.764464,-2.214792,-63.394907,-1.959927,-1.507689,-45.674907,-2.576170,1.631020,-33.917450,-2.554127,1.983725,-25.888049,-2.470572,5.176585,-55.839914,-8.160921,9.983450,-40.866920,-8.823614,-1.527285,-105.827082,-0.243727,-0.875553,-57.598159,-1.212459,-8.463992,-70.709359,-6.996342,-3.288795,-30.641061,-7.193232,-0.950156,-72.474482,-13.774715,7.053592,-48.689998,-15.312665,-5.311568,-98.463850,-1.036199,-3.441622,-54.107561,-3.561719,-4.488566,-68.291519,-1.135572,-3.817227,-33.321468,-1.000956,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.310665,-78.393479,3.431651,6.441447,-53.811330,5.358147,-6.715567,-87.305061,-7.650570,-0.137664,-42.755163,-8.323594,-3.954498,-62.258843,2.710617,-5.075871,-34.010620,1.757365,3
