WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-52.374900,178.798573,29.379047,-21.115154,-3.858200,16.199275,26.533632,51.631061,134.625438,-1.049700,-2.006900,-1.155400,40.587471,65.623134,177.389384,-2.429817,-3.750204,-2.265624,32.873549,102.579689,-169.579930,-3.448894,-5.999161,-4.380940,35.579281,115.949898,-152.800458,-2.830746,-8.769208,-6.215184,10.483944,91.460374,93.774902,-2.355067,-9.599621,-0.731645,23.534096,92.540721,91.063966,-2.260020,-13.327820,-1.421770,19.786752,95.763930,90.386792,-2.161244,-15.553841,-2.392201,58.533053,99.346656,89.399604,-0.172591,-9.564658,-0.254315,26.404721,-78.358974,-89.429292,0.191335,-11.775725,-3.915734,-35.332965,-69.925030,-101.981228,-0.306565,-9.358934,-5.140888,68.649446,90.790082,76.260387,1.746524,-8.869377,-0.652931,15.174957,-69.571571,-84.681183,1.766101,-10.288984,-4.284908,-48.591310,-70.135159,-88.363869,0.870933,-7.885600,-4.980512,5.368750,105.384600,66.581602,2.299857,-3.407354,-0.941983,67.506340,69.306282,47.483746,3.505405,-7.789581,-1.369118,17.264948,-58.343169,-79.668954,3.090085,-8.889058,-4.207441,-43.997445,-65.436509,-77.442649,2.072115,-7.238043,-4.810262,35.579281,115.949898,-152.800458,-2.062035,-10.627568,-7.635630,19.786752,95.763930,90.386792,-1.917695,-17.679196,-3.052605,-35.332965,-69.925030,-101.981228,-0.975922,-7.370605,-3.782635,-48.591310,-70.135159,-88.363869,0.302965,-6.251238,-3.262840,-43.997445,-65.436509,-77.442649,1.337885,-5.753121,-3.369013,1
-52.255625,179.006336,29.009797,-21.094533,-3.864426,16.225490,26.507331,51.597326,134.610525,-1.049700,-2.006900,-1.155400,40.541939,65.576616,177.345328,-2.431159,-3.749790,-2.264603,32.843019,102.619688,-169.588602,-3.452757,-5.999449,-4.377957,35.529383,116.036786,-152.791435,-2.832462,-8.770017,-6.210688,10.441417,91.456642,93.773004,-2.355067,-9.599621,-0.731645,23.574886,92.537871,91.061901,-2.260250,-13.328337,-1.419001,19.865595,95.762329,90.388110,-2.161616,-15.553672,-2.391019,58.514352,99.379431,89.402460,-0.172591,-9.564658,-0.254315,26.324922,-78.330090,-89.430811,0.192794,-11.776695,-3.915003,-35.516321,-69.858876,-102.023515,-0.306669,-9.358487,-5.136719,68.608945,90.851785,76.290696,1.746524,-8.869377,-0.652931,15.170447,-69.541715,-84.680081,1.767668,-10.291528,-4.283904,-48.657046,-70.109495,-88.364877,0.871229,-7.888560,-4.979306,5.368752,105.384593,66.581610,2.299857,-3.407354,-0.941983,67.470883,69.464306,47.586576,3.505405,-7.789581,-1.369118,17.361820,-58.270482,-79.660255,3.092503,-8.891844,-4.206713,-43.934360,-65.373358,-77.442103,2.072976,-7.242991,-4.812813,35.529383,116.036786,-152.791435,-2.060397,-10.628311,-7.629401,19.865595,95.762329,90.388110,-1.918220,-17.678128,-3.054365,-35.516321,-69.858876,-102.023515,-0.976740,-7.375018,-3.771728,-48.657046,-70.109498,-88.364875,0.303202,-6.256307,-3.259649,-43.934360,-65.373358,-77.442103,1.336448,-5.757438,-3.373388,1
-52.258064,179.198659,28.870186,-21.058771,-3.863377,16.267227,26.492920,51.578697,134.602301,-1.049700,-2.006900,-1.155400,40.506226,65.551394,177.320318,-2.431899,-3.749559,-2.264044,32.817064,102.644782,-169.597598,-3.455032,-5.999967,-4.375857,35.491849,116.090735,-152.790978,-2.833342,-8.771073,-6.207301,10.438854,91.471155,93.773719,-2.355067,-9.599621,-0.731645,23.659301,92.554292,91.063501,-2.259305,-13.328344,-1.418835,19.987885,95.780632,90.395614,-2.160096,-15.552218,-2.394133,58.529046,99.414300,89.405129,-0.172591,-9.564658,-0.254315,26.186830,-78.299855,-89.433879,0.193987,-11.775546,-3.915578,-35.776339,-69.778158,-102.083283,-0.307348,-9.354725,-5.131339,68.614128,90.871577,76.291092,1.746524,-8.869377,-0.652931,15.129687,-69.526268,-84.683739,1.768154,-10.291193,-4.284032,-48.754718,-70.091969,-88.372121,0.870895,-7.888004,-4.977610,5.368741,105.384594,66.581598,2.299857,-3.407354,-0.941983,67.480003,69.499192,47.583056,3.505405,-7.789581,-1.369117,17.387287,-58.228204,-79.663643,3.093332,-8.891672,-4.206899,-43.937509,-65.332615,-77.446237,2.072731,-7.243801,-4.813861,35.491849,116.090735,-152.790978,-2.059120,-10.629473,-7.624700,19.987885,95.780632,90.395614,-1.916178,-17.675185,-3.062038,-35.776339,-69.778158,-102.083283,-0.977950,-7.378029,-3.756819,-48.754718,-70.091969,-88.372121,0.303388,-6.258677,-3.255008,-43.937509,-65.332615,-77.446237,1.335187,-5.758839,-3.374347,1
-52.213658,179.363927,28.707444,-21.017846,-3.861190,16.313769,26.480782,51.562637,134.595239,-1.049700,-2.006900,-1.155400,40.468732,65.530505,177.298824,-2.432534,-3.749356,-2.263573,32.788925,102.667328,-169.608527,-3.457059,-6.000648,-4.373767,35.455169,116.135567,-152.796190,-2.834081,-8.772386,-6.203817,10.443406,91.485416,93.774718,-2.355067,-9.599621,-0.731645,23.749670,92.570580,91.065536,-2.258378,-13.328265,-1.419131,20.117727,95.798941,90.403948,-2.158607,-15.550571,-2.397939,58.549260,99.448375,89.407706,-0.172591,-9.564658,-0.254315,26.040483,-78.270408,-89.437147,0.195089,-11.774053,-3.916368,-36.047996,-69.695649,-102.146216,-0.308119,-9.350458,-5.125811,68.623225,90.887643,76.288964,1.746524,-8.869377,-0.652931,15.086541,-69.512152,-84.687768,1.768544,-10.290610,-4.284258,-48.856950,-70.075393,-88.379978,0.870510,-7.887153,-4.975904,5.368739,105.384591,66.581594,2.299857,-3.407354,-0.941983,67.491994,69.528129,47.573310,3.505405,-7.789581,-1.369117,17.409255,-58.186359,-79.667867,3.094096,-8.891324,-4.207145,-43.947287,-65.292644,-77.450357,2.072415,-7.244396,-4.814850,35.455169,116.135567,-152.796190,-2.058002,-10.630999,-7.619919,20.117727,95.798941,90.403948,-1.914178,-17.671952,-3.070681,-36.047996,-69.695649,-102.146216,-0.979178,-7.380856,-3.741365,-48.856950,-70.075393,-88.379978,0.303602,-6.260878,-3.250224,-43.947287,-65.292644,-77.450357,1.333944,-5.760167,-3.375056,1
-52.227303,179.548698,28.567901,-20.981082,-3.855503,16.353905,26.476967,51.557834,134.593118,-1.049700,-2.006900,-1.155400,40.438702,65.525126,177.291302,-2.432726,-3.749298,-2.263425,32.768684,102.650656,-169.636450,-3.457921,-6.001500,-4.372322,35.463482,116.060504,-152.857136,-2.835607,-8.774050,-6.201369,10.507954,91.512001,93.778802,-2.355067,-9.599621,-0.731645,23.923304,92.600974,91.072394,-2.256669,-13.327443,-1.423333,20.339388,95.832856,90.422212,-2.155853,-15.546723,-2.408877,58.555601,99.470530,89.409468,-0.172591,-9.564658,-0.254315,25.932005,-78.251434,-89.439154,0.195877,-11.773511,-3.916616,-36.248049,-69.637826,-102.192428,-0.308599,-9.347845,-5.121370,68.602437,90.911461,76.303308,1.746524,-8.869377,-0.652931,15.070110,-69.504769,-84.687435,1.769156,-10.291918,-4.283742,-48.932711,-70.071217,-88.381852,0.870742,-7.888391,-4.974652,5.368751,105.384589,66.581602,2.299857,-3.407354,-0.941983,67.478548,69.610299,47.619076,3.505404,-7.789581,-1.369118,17.451482,-58.142651,-79.665890,3.095444,-8.892537,-4.206870,-43.945544,-65.258783,-77.448236,2.072743,-7.246770,-4.816003,35.463482,116.060504,-152.857136,-2.062009,-10.633555,-7.617657,20.339388,95.832856,90.422212,-1.910468,-17.665360,-3.089866,-36.248049,-69.637826,-102.192428,-0.979871,-7.383460,-3.729634,-48.932711,-70.071217,-88.381852,0.304499,-6.264303,-3.246696,-43.945544,-65.258783,-77.448236,1.333374,-5.762940,-3.376258,1
-52.228509,179.680590,28.447602,-20.941154,-3.849401,16.392083,26.475338,51.555590,134.592137,-1.049700,-2.006900,-1.155400,40.409899,65.523681,177.287197,-2.432814,-3.749268,-2.263361,32.749137,102.629044,-169.666102,-3.458504,-6.002409,-4.371015,35.474075,115.977218,-152.921299,-2.837101,-8.775802,-6.199092,10.581648,91.539783,93.783308,-2.355067,-9.599621,-0.731645,24.105210,92.632735,91.079897,-2.254885,-13.326503,-1.428128,20.570237,95.868336,90.441663,-2.152984,-15.542589,-2.420721,58.561464,99.489626,89.410964,-0.172591,-9.564658,-0.254315,25.831236,-78.235134,-89.440916,0.196551,-11.773019,-3.916845,-36.431964,-69.585753,-102.235040,-0.309046,-9.345425,-5.117240,68.576655,90.935592,76.320130,1.746524,-8.869377,-0.652931,15.060000,-69.499045,-84.686225,1.769782,-10.293542,-4.283102,-49.000829,-70.069758,-88.382468,0.871085,-7.889991,-4.973559,5.368754,105.384593,66.581599,2.299857,-3.407354,-0.941983,67.460784,69.699686,47.673542,3.505405,-7.789581,-1.369118,17.496079,-58.099882,-79.662801,3.096861,-8.894000,-4.206506,-43.943607,-65.227639,-77.444695,2.073182,-7.249400,-4.817147,35.474075,115.977218,-152.921299,-2.066273,-10.636260,-7.615640,20.570237,95.868336,90.441663,-1.906603,-17.658334,-3.110288,-36.431964,-69.585753,-102.235040,-0.980460,-7.385844,-3.718818,-49.000829,-70.069760,-88.382466,0.305503,-6.267848,-3.243559,-43.943606,-65.227641,-77.444694,1.332981,-5.765933,-3.377455,1
-52.204892,179.747649,28.371230,-20.894199,-3.842023,16.432649,26.475415,51.555827,134.592234,-1.049700,-2.006900,-1.155400,40.381479,65.526025,177.286385,-2.432805,-3.749273,-2.263364,32.729624,102.602317,-169.698009,-3.458837,-6.003407,-4.369790,35.491523,115.873196,-152.995534,-2.838591,-8.777697,-6.196898,10.686727,91.571170,93.789294,-2.355067,-9.599621,-0.731645,24.322640,92.668900,91.089728,-2.252879,-13.325164,-1.434965,20.839103,95.908940,90.465620,-2.149755,-15.537407,-2.435969,58.566999,99.506380,89.412260,-0.172591,-9.564658,-0.254315,25.732419,-78.220938,-89.442556,0.197139,-11.772562,-3.917061,-36.610217,-69.536883,-102.276444,-0.309482,-9.343071,-5.113178,68.544526,90.961176,76.340386,1.746524,-8.869377,-0.652931,15.056131,-69.494831,-84.684059,1.770452,-10.295566,-4.282302,-49.063470,-70.071084,-88.381787,0.871562,-7.892038,-4.972586,5.368747,105.384584,66.581606,2.299857,-3.407354,-0.941983,67.436549,69.803078,47.742149,3.505404,-7.789581,-1.369118,17.546534,-58.056072,-79.658106,3.098439,-8.895862,-4.206007,-43.939324,-65.197800,-77.439467,2.073789,-7.252502,-4.818353,35.491520,115.873194,-152.995535,-2.071276,-10.639238,-7.613930,20.839103,95.908940,90.465620,-1.902252,-17.649744,-3.135511,-36.610217,-69.536883,-102.276444,-0.980963,-7.388143,-3.708289,-49.063470,-70.071084,-88.381787,0.306661,-6.271662,-3.240710,-43.939324,-65.197800,-77.439467,1.332761,-5.769330,-3.378783,1
-52.197456,179.725814,28.280381,-20.831996,-3.846528,16.487238,26.485122,51.568686,134.597884,-1.049700,-2.006900,-1.155400,40.346331,65.546820,177.300578,-2.432298,-3.749436,-2.263741,32.697147,102.592330,-169.721036,-3.458046,-6.005118,-4.368647,35.515037,115.734380,-153.089597,-2.838058,-8.780527,-6.194144,10.774089,91.616120,93.795352,-2.355067,-9.599621,-0.731645,24.534256,92.718807,91.099444,-2.249986,-13.324006,-1.440647,21.128092,95.963500,90.489806,-2.145112,-15.532451,-2.449824,58.591393,99.528144,89.413810,-0.172591,-9.564658,-0.254315,25.694395,-78.201496,-89.444620,0.197719,-11.770883,-3.918014,-36.695309,-69.497952,-102.298397,-0.309888,-9.340787,-5.112483,68.544482,90.973179,76.342277,1.746524,-8.869377,-0.652931,15.034688,-69.486853,-84.685741,1.770751,-10.295564,-4.282301,-49.131363,-70.063054,-88.385979,0.871436,-7.891919,-4.971625,5.368751,105.384592,66.581602,2.299857,-3.407354,-0.941983,67.429592,69.860924,47.770366,3.505405,-7.789581,-1.369118,17.576071,-58.021454,-79.657601,3.099439,-8.896595,-4.205864,-43.954725,-65.174123,-77.436374,2.073963,-7.254123,-4.819209,35.515037,115.734380,-153.089597,-2.075437,-10.643493,-7.611838,21.128092,95.963500,90.489806,-1.896010,-17.641023,-3.160072,-36.695309,-69.497952,-102.298397,-0.981924,-7.388271,-3.704510,-49.131363,-70.063052,-88.385981,0.307019,-6.273550,-3.237715,-43.954726,-65.174121,-77.436376,1.332480,-5.771613,-3.379191,1
-52.223233,179.744438,28.176373,-20.763781,-3.848198,16.536642,26.497275,51.584032,134.604676,-1.049700,-2.006900,-1.155400,40.309046,65.571498,177.317907,-2.431685,-3.749622,-2.264213,32.662020,102.581089,-169.745391,-3.457028,-6.006992,-4.367506,35.549694,115.560484,-153.202583,-2.837340,-8.783614,-6.191259,10.872037,91.665876,93.802122,-2.355067,-9.599621,-0.731645,24.760524,92.773943,91.110235,-2.246787,-13.322697,-1.447015,21.438731,96.023743,90.516158,-2.139981,-15.527041,-2.464915,58.619874,99.549475,89.415273,-0.172591,-9.564658,-0.254315,25.660776,-78.182379,-89.446753,0.198238,-11.768949,-3.919126,-36.770149,-69.461271,-102.318121,-0.310323,-9.338337,-5.112138,68.547326,90.983079,76.342400,1.746524,-8.869377,-0.652931,15.012620,-69.479200,-84.687687,1.770994,-10.295380,-4.282372,-49.198004,-70.054908,-88.390453,0.871265,-7.891606,-4.970707,5.368743,105.384596,66.581607,2.299857,-3.407354,-0.941983,67.423156,69.915925,47.796898,3.505405,-7.789581,-1.369117,17.603771,-57.988326,-79.657201,3.100392,-8.897284,-4.205731,-43.973455,-65.152463,-77.432878,2.074124,-7.255656,-4.820012,35.549694,115.560484,-153.202583,-2.080664,-10.648227,-7.609972,21.438731,96.023744,90.516158,-1.889116,-17.631500,-3.186651,-36.770149,-69.461271,-102.318121,-0.982926,-7.387973,-3.701455,-49.198004,-70.054908,-88.390453,0.307319,-6.275211,-3.234805,-43.973456,-65.152461,-77.432880,1.332273,-5.773859,-3.379450,1
-52.354936,179.703811,27.968222,-20.676786,-3.865527,16.554109,26.518618,51.611898,134.616959,-1.049700,-2.006900,-1.155400,40.288823,65.612913,177.351163,-2.430580,-3.749970,-2.265042,32.632592,102.593086,-169.743608,-3.454598,-6.008757,-4.367459,35.576245,115.432425,-153.277293,-2.834125,-8.786163,-6.189751,10.928791,91.714067,93.807146,-2.355067,-9.599621,-0.731645,24.929607,92.826381,91.118112,-2.243677,-13.321894,-1.450704,21.691096,96.080326,90.536236,-2.135002,-15.523130,-2.475113,58.642076,99.558815,89.415819,-0.172591,-9.564658,-0.254315,25.685302,-78.173561,-89.447716,0.198362,-11.767488,-3.919992,-36.728596,-69.458855,-102.310048,-0.310469,-9.337454,-5.114067,68.541299,90.989792,76.346452,1.746524,-8.869377,-0.652931,15.029544,-69.475050,-84.686538,1.771168,-10.295759,-4.282222,-49.197587,-70.052847,-88.389757,0.871336,-7.892241,-4.971315,5.368748,105.384586,66.581596,2.299857,-3.407354,-0.941983,67.399741,69.998407,47.857662,3.505404,-7.789581,-1.369118,17.651654,-57.957734,-79.651305,3.101590,-8.898955,-4.205249,-43.964623,-65.135483,-77.426814,2.074718,-7.258311,-4.821148,35.576245,115.432425,-153.277293,-2.081844,-10.651944,-7.609265,21.691096,96.080326,90.536236,-1.882434,-17.624166,-3.206166,-36.728596,-69.458855,-102.310048,-0.983528,-7.386162,-3.704886,-49.197587,-70.052847,-88.389757,0.307325,-6.275854,-3.235425,-43.964619,-65.135482,-77.426815,1.332326,-5.776541,-3.380837,1
