R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-103.249167,-14.035879,95.370941,-109.541574,-24.889846,94.151704,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-38.615951,-29.929997,62.602785,-36.310812,-31.214093,63.379115,7.475888,-10.919581,32.580411,-6.086757,-20.088982,34.848030,4.420936,-20.971447,-10.423829,0.821075,-40.821749,-9.949839,-6.301419,-4.111717,9.602226,-0.000291,-42.396925,8.418985,6.963019,-71.429432,-3.692034,8.248566,-61.156743,-3.848607,-2.791976,-86.201964,-0.903778,-2.929083,-103.597373,0.006389,1.106112,-45.574534,-2.586031,0.182834,-66.648373,-2.374765,1.468643,-69.771229,-5.363482,2.314812,-64.773691,-5.961654,-1.206570,-75.186807,-0.927251,-1.388257,-88.273573,-0.656992,-5.343448,-46.460258,-7.554924,-7.778914,-65.172177,-7.240491,2.257878,-54.326510,-12.041193,0.044707,-62.403946,-11.372593,-4.611121,-75.980335,-2.499929,-5.010299,-86.499137,-1.849734,-4.094622,-48.332213,-1.109304,-4.455550,-66.622256,-1.138674,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.822517,-38.728199,8.272124,2.085793,-58.453024,11.973433,-6.498656,-85.691703,-7.763278,-6.246174,-83.843040,-7.884854,-4.440159,-51.403711,2.411212,-3.342053,-74.659816,2.933450,1
-0.027921,0.003657,0.057930,-0.034285,-0.005084,0.018575,-0.444029,0.234831,0.087554,-0.093213,-0.015037,0.004887,-38.687643,-29.887641,62.576442,-36.345200,-31.195972,63.368479,7.456856,-10.932010,32.550897,-6.101928,-20.094732,34.836385,4.457187,-20.773812,-10.422212,0.849644,-40.659027,-9.958723,-6.360041,-3.762983,9.593205,-0.011367,-42.322179,8.425282,7.033034,-70.936705,-3.741268,8.251093,-61.049531,-3.829259,-2.795798,-86.446373,-0.891372,-2.929066,-103.687505,0.011173,1.100216,-45.704912,-2.585781,0.180469,-66.705168,-2.373729,1.532257,-69.365139,-5.414317,2.327234,-64.812682,-5.994060,-1.210948,-75.457533,-0.922101,-1.388998,-88.338611,-0.655556,-5.351726,-46.522957,-7.555218,-7.786433,-65.231964,-7.238212,2.377721,-53.882274,-12.057363,0.044973,-62.517778,-11.410346,-4.607399,-75.894721,-2.504906,-5.011537,-86.537297,-1.847250,-4.092006,-48.196990,-1.108659,-4.456064,-66.648459,-1.138630,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.803719,-38.540385,8.287125,2.169448,-58.642396,11.891218,-6.483341,-85.578682,-7.770951,-6.255567,-83.911262,-7.880522,-4.443139,-51.332612,2.408965,-3.342280,-74.654964,2.933383,1
-0.112972,0.033510,0.109734,0.052396,-0.056760,0.116521,1.494563,-0.235502,-2.071749,-0.117368,0.551869,0.436482,-38.764731,-29.841968,62.547987,-36.382882,-31.176104,63.356810,7.435510,-10.945951,32.519194,-6.120374,-20.102324,34.823982,4.492242,-20.582596,-10.420543,0.880354,-40.484250,-9.968227,-6.417897,-3.418309,9.583945,-0.024865,-42.231072,8.432983,7.104602,-70.435989,-3.788353,8.253016,-60.937100,-3.807918,-2.800155,-86.729356,-0.876985,-2.929049,-103.780395,0.016102,1.092789,-45.869825,-2.585454,0.178037,-66.764247,-2.372675,1.598120,-68.961595,-5.468451,2.340482,-64.853295,-6.028489,-1.215335,-75.731830,-0.916854,-1.389697,-88.399712,-0.654205,-5.361289,-46.595316,-7.555540,-7.794293,-65.294461,-7.235830,2.498814,-53.445845,-12.075686,0.044603,-62.639249,-11.449868,-4.603867,-75.813837,-2.509607,-5.012700,-86.573552,-1.844895,-4.089473,-48.066047,-1.108032,-4.456646,-66.678462,-1.138581,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.786823,-38.360793,8.300593,2.256363,-58.836681,11.803899,-6.468473,-85.469099,-7.778343,-6.264839,-83.978743,-7.876215,-4.446235,-51.259029,2.406618,-3.342545,-74.650120,2.933326,1
-0.141612,-0.007794,0.273310,0.038453,-0.054848,0.116017,0.470685,-0.011002,-0.918820,-0.061789,0.278053,0.217742,-38.764179,-29.842319,62.548206,-36.280240,-31.230183,63.388554,7.456644,-10.932392,32.519022,-6.023359,-20.048946,34.849417,4.827773,-18.750279,-10.398547,1.052590,-39.506632,-10.019553,-6.395383,-3.552573,9.587593,0.031915,-42.614760,8.400469,6.938200,-70.798671,-3.478455,7.648852,-61.247571,-2.910785,-2.795793,-86.446281,-0.891384,-2.929073,-103.333525,-0.007622,1.091090,-45.907178,-2.585370,0.079372,-69.168052,-2.327206,1.704301,-69.081077,-5.739818,2.453117,-64.836706,-6.236671,-1.216637,-75.813304,-0.915309,-1.390640,-88.481814,-0.652384,-5.405124,-46.927269,-7.556875,-7.959509,-66.612829,-7.183413,2.386717,-53.860968,-12.061974,0.036767,-62.373132,-11.349344,-4.494140,-73.370730,-2.649056,-5.019387,-86.782591,-1.831262,-4.094248,-48.312797,-1.109216,-4.483130,-68.016480,-1.136158,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,3.904311,-38.388487,8.210262,2.071661,-57.938349,11.876519,-6.444164,-85.290136,-7.790380,-6.329715,-84.451362,-7.845754,-4.328298,-54.023591,2.491840,-3.279916,-75.871470,2.947977,1
-0.074053,-0.021744,0.114557,-0.007530,-0.023197,0.028072,-0.527898,0.458621,0.200138,0.072032,0.063135,-0.032742,-38.758599,-29.845532,62.550205,-36.125681,-31.311093,63.435886,7.482625,-10.915619,32.520853,-5.893142,-19.979324,34.890670,5.181982,-16.809505,-10.363535,1.249180,-38.396889,-10.074286,-6.377314,-3.660104,9.590464,0.121425,-43.222840,8.348200,6.665674,-71.023356,-2.866402,6.845330,-61.854712,-1.705407,-2.788823,-86.002885,-0.913884,-2.928703,-102.556682,-0.048893,1.089608,-45.940121,-2.585304,0.004784,-71.018490,-2.289406,1.832742,-69.186274,-6.061159,2.591293,-64.819651,-6.492226,-1.217802,-75.886164,-0.913911,-1.391564,-88.564428,-0.650540,-5.458919,-47.334539,-7.558184,-8.140230,-68.067365,-7.121155,2.303661,-54.132458,-12.040536,0.035431,-61.891039,-11.192937,-4.365774,-70.664487,-2.797917,-5.027134,-87.027314,-1.815276,-4.099905,-48.606463,-1.110595,-4.516873,-69.725258,-1.132132,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.051879,-38.411932,8.096553,1.723981,-56.290959,12.010806,-6.418943,-85.104744,-7.802772,-6.406207,-85.011401,-7.808968,-4.168190,-57.636756,2.594448,-3.219713,-77.039766,2.960762,1
-0.065709,-0.008698,0.082122,-0.005297,-0.020658,0.025353,-0.324232,0.263548,-0.003348,0.071026,0.071414,-0.030633,-38.748689,-29.851530,62.553953,-36.186669,-31.279202,63.417253,7.469973,-10.923776,32.525215,-5.837851,-19.932140,34.855468,5.164637,-16.904765,-10.365556,1.255609,-38.360655,-10.075997,-6.398155,-3.536103,9.587151,0.151804,-43.430102,8.330155,6.642403,-70.973514,-2.799378,6.811561,-61.951133,-1.662951,-2.790349,-86.098668,-0.909034,-2.928580,-102.431762,-0.055541,1.074130,-46.283272,-2.584523,-0.040894,-72.167084,-2.264735,1.893015,-69.127336,-6.182996,2.623897,-64.847750,-6.560647,-1.223715,-76.257676,-0.906780,-1.392217,-88.621386,-0.649275,-5.514981,-47.759002,-7.559126,-8.160695,-68.232921,-7.113784,2.276829,-54.282833,-12.051538,0.018988,-61.884773,-11.164134,-4.396693,-71.303162,-2.763341,-5.028706,-87.076898,-1.812029,-4.105366,-48.888656,-1.111893,-4.518023,-69.783438,-1.131987,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.089295,-38.608088,8.065720,1.767716,-56.405230,11.974688,-6.428198,-85.172712,-7.798238,-6.418864,-85.104217,-7.802795,-4.168559,-57.629052,2.594238,-3.212959,-77.170540,2.962104,1
-0.034000,0.006049,0.031457,0.016474,0.009968,-0.013518,0.217875,-0.485747,0.091397,0.181009,0.082859,-0.258543,-38.736043,-29.858956,62.558575,-36.262639,-31.239417,63.393968,7.452085,-10.935220,32.530840,-5.783811,-19.883816,34.814293,5.156846,-16.947509,-10.366443,1.259102,-38.340970,-10.076924,-6.422619,-3.390234,9.583177,0.179355,-43.618390,8.313670,6.633199,-70.891329,-2.760385,6.791306,-62.015807,-1.638184,-2.792061,-86.208337,-0.903464,-2.928505,-102.340941,-0.060351,1.055009,-46.706427,-2.583420,-0.067173,-72.833754,-2.250017,1.948674,-69.057796,-6.290591,2.648713,-64.881934,-6.616123,-1.230199,-76.669446,-0.898798,-1.392817,-88.674990,-0.648098,-5.573110,-48.198985,-7.559667,-8.176793,-68.363321,-7.107908,2.242377,-54.481025,-12.067135,0.002542,-61.903998,-11.143309,-4.417063,-71.728128,-2.740123,-5.029814,-87.112189,-1.809728,-4.111676,-49.214196,-1.113360,-4.518886,-69.827832,-1.131866,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.141125,-38.975558,8.021588,1.815709,-56.535484,11.935741,-6.438314,-85.247090,-7.793263,-6.428110,-85.172186,-7.798262,-4.164620,-57.715906,2.596579,-3.209361,-77.240133,2.962828,1
-0.018345,-0.004679,0.032470,0.017783,0.011495,-0.014922,-0.020443,-0.125129,-0.026761,0.190258,0.099474,-0.273698,-38.729387,-29.862923,62.561049,-36.317551,-31.210549,63.377037,7.400166,-10.968599,32.534618,-5.692302,-19.812334,34.775369,5.150819,-16.980532,-10.367113,1.252144,-38.380183,-10.075071,-6.437677,-3.300396,9.580680,0.221170,-43.905033,8.288410,6.631156,-70.821658,-2.741479,6.779961,-61.993052,-1.616386,-2.794373,-86.355428,-0.896000,-2.928477,-102.324445,-0.061219,1.036956,-47.106818,-2.582260,-0.082247,-73.217962,-2.241376,1.992171,-69.039584,-6.384371,2.664031,-64.899570,-6.649547,-1.235250,-76.992929,-0.892515,-1.394115,-88.790601,-0.645521,-5.620560,-48.558255,-7.559770,-8.191375,-68.481510,-7.102578,2.188366,-54.777591,-12.087515,-0.010742,-61.916059,-11.125358,-4.432760,-72.058457,-2.722004,-5.030965,-87.149340,-1.807275,-4.119096,-49.596223,-1.115030,-4.519143,-69.840371,-1.131822,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.226673,-39.582540,7.947511,1.867473,-56.662071,11.890293,-6.446914,-85.310366,-7.789033,-6.436273,-85.232191,-7.794267,-4.160608,-57.804555,2.598965,-3.208395,-77.258819,2.963022,1
0.002330,0.020114,-0.010184,0.009231,0.007352,-0.028037,0.503123,-0.412955,0.055890,0.129843,0.108606,-0.332303,-38.722245,-29.867152,62.563684,-36.382780,-31.176160,63.356848,7.333320,-11.011621,32.538957,-5.594124,-19.734984,34.731114,5.147655,-16.997860,-10.367473,1.244433,-38.423548,-10.073011,-6.453170,-3.208053,9.578127,0.263532,-44.196247,8.262524,6.635938,-70.734737,-2.735709,6.773538,-61.952305,-1.600370,-2.797484,-86.555707,-0.885817,-2.928485,-102.327679,-0.061055,1.018323,-47.520067,-2.580930,-0.091083,-73.443886,-2.236257,2.031901,-69.022404,-6.469702,2.674761,-64.916825,-6.674251,-1.240215,-77.312998,-0.886269,-1.395555,-88.918265,-0.642673,-5.666011,-48.902412,-7.559589,-8.204414,-68.587218,-7.097784,2.128942,-55.108069,-12.111127,-0.022999,-61.938000,-11.112156,-4.443309,-72.281024,-2.709719,-5.031951,-87.180236,-1.805245,-4.126770,-49.991300,-1.116724,-4.519300,-69.848553,-1.131818,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.322307,-40.299800,7.862440,1.918260,-56.777066,11.843298,-6.455755,-85.375454,-7.784658,-6.442967,-85.281424,-7.790966,-4.155294,-57.922326,2.602121,-3.208592,-77.255205,2.962982,1
0.004569,0.009677,0.001597,0.008152,0.005468,-0.023811,0.147661,-0.152836,-0.027496,0.109182,0.102927,-0.279140,-38.714383,-29.871760,62.566552,-36.420564,-31.156167,63.345086,7.270940,-11.051706,32.543516,-5.499194,-19.663807,34.699001,5.150038,-16.984827,-10.367200,1.238484,-38.457140,-10.071399,-6.466330,-3.129571,9.575910,0.289789,-44.377229,8.246357,6.636328,-70.707631,-2.731256,6.763465,-61.883222,-1.574663,-2.801855,-86.840552,-0.871331,-2.928498,-102.351819,-0.059769,1.001196,-47.900406,-2.579590,-0.096433,-73.580980,-2.233116,2.063666,-69.035145,-6.545489,2.688674,-64.898960,-6.695799,-1.245076,-77.626902,-0.880120,-1.397015,-89.047661,-0.639798,-5.704503,-49.194034,-7.559237,-8.215729,-68.679079,-7.093601,2.062767,-55.479733,-12.138554,-0.022685,-61.924416,-11.108463,-4.458972,-72.614287,-2.691283,-5.032223,-87.189029,-1.804676,-4.133813,-50.353153,-1.118211,-4.518851,-69.825930,-1.131875,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,4.413533,-41.032149,7.778934,1.968721,-56.865410,11.790678,-6.472858,-85.501411,-7.776177,-6.444195,-85.290362,-7.790378,-4.150219,-58.033807,2.605102,-3.210909,-77.209974,2.962506,1
