WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
5.634134,172.657772,38.924443,14.416322,11.702804,-20.002764,23.587233,-58.732276,-46.346426,1.452467,-2.044035,-0.420385,18.801281,-9.602071,-31.676512,1.161574,-2.187433,0.205704,-9.254780,26.797410,-22.435575,1.399208,-2.847143,-0.711955,-10.074525,17.273439,-39.510531,2.124984,-1.692617,-2.009777,0.000000,-0.000001,0.000001,1.228702,0.245289,-2.119484,-42.861737,-36.158335,5.874480,8.670129,-4.766134,-0.589239,-46.972135,-116.887535,76.375672,1.173955,-2.200059,-2.857681,-44.368742,-56.827336,27.254782,-2.425683,-0.119031,0.092512,0.000000,0.000000,-0.000000,-0.968890,1.228163,1.601702,-48.193565,-52.123319,22.683843,8.941917,-2.901226,-1.789456,-42.525064,-95.585172,58.962260,0.470097,-2.821189,-3.201117,-47.926301,-57.306710,23.953635,-2.734616,-0.292797,0.161028,0.000000,0.000000,-0.000000,-1.059600,1.146057,1.951959,-49.303281,-63.382320,36.806305,8.290809,-1.613069,-3.286792,-35.959736,-88.214127,59.599366,-0.022412,-2.765577,-2.749184,-36.695259,-58.117763,37.168700,-2.555838,-0.466480,0.558151,0.000000,0.000000,-0.000000,-0.959051,1.191760,1.898435,-20.356653,11.476263,15.470160,3.076827,0.082502,-2.883238,-19.278706,-72.003657,34.170652,4.086687,-0.622681,-1.936740,-29.292975,-78.211237,51.084186,-0.298593,-2.535857,-1.708122,-29.224070,-49.224014,39.507203,-1.865833,-0.518893,0.612313,-0.000000,0.000000,-0.000000,-0.964658,0.916156,1.746819,4
5.676231,172.778906,38.747365,14.381230,11.638014,-19.980503,23.595167,-58.672026,-46.442078,1.457217,-2.041744,-0.415048,18.676930,-9.756809,-31.806299,1.167444,-2.183915,0.209818,-9.249022,27.063700,-22.974196,1.400952,-2.846779,-0.709980,-10.165416,17.382610,-39.745483,2.123223,-1.676251,-2.025295,0.000000,-0.000001,0.000001,1.216290,0.267343,-2.123971,-42.945829,-36.880777,6.328088,8.681522,-4.746317,-0.581398,-46.719010,-116.777286,76.089982,1.155823,-2.212797,-2.855236,-44.160788,-56.963606,27.295864,-2.425442,-0.113108,0.105372,0.000000,0.000000,-0.000000,-0.957708,1.236283,1.602181,-48.111188,-52.990618,23.277843,8.947605,-2.884623,-1.787867,-42.240124,-95.523866,58.772796,0.450662,-2.835042,-3.191659,-47.666746,-57.486963,23.974760,-2.734409,-0.287021,0.174390,-0.000000,0.000000,-0.000000,-1.049685,1.155688,1.951637,-49.065871,-64.147442,37.330474,8.291981,-1.602943,-3.288788,-35.690815,-88.152159,59.438595,-0.036680,-2.777217,-2.737270,-36.480580,-58.180870,37.154763,-2.554076,-0.460997,0.570630,-0.000000,0.000000,-0.000000,-0.950788,1.200519,1.897072,-20.355916,11.422781,15.514374,3.074122,0.080879,-2.886169,-18.899457,-72.338755,34.276252,4.086560,-0.618714,-1.938279,-28.994954,-78.432227,51.037937,-0.305006,-2.543648,-1.695358,-29.075487,-49.297357,39.418150,-1.864606,-0.508373,0.624747,0.000002,0.000002,-0.000002,-0.954339,0.928950,1.745730,4
5.680165,172.994614,38.708923,14.339671,11.563840,-19.961827,23.427069,-58.602538,-46.533045,1.465096,-2.036502,-0.413058,18.482491,-9.956074,-31.977511,1.176271,-2.179189,0.209648,-9.197398,27.385827,-23.518278,1.403921,-2.843816,-0.715962,-10.248353,17.568052,-39.990015,2.122191,-1.646294,-2.050789,-0.000000,-0.000000,0.000000,1.201036,0.303718,-2.127758,-43.100608,-37.545194,6.828625,8.699871,-4.713040,-0.577803,-46.527459,-116.691026,76.010969,1.136568,-2.219545,-2.857728,-44.033114,-57.050108,27.405517,-2.425048,-0.107782,0.119127,0.000000,0.000000,0.000000,-0.945899,1.240988,1.605555,-48.112220,-53.852716,23.975888,8.958456,-2.851668,-1.786397,-42.032746,-95.459828,58.735490,0.426397,-2.843267,-3.187673,-47.489750,-57.619894,24.068858,-2.734043,-0.280618,0.189860,0.000000,0.000000,-0.000000,-1.036754,1.162291,1.954626,-48.896325,-64.929274,37.980037,8.297548,-1.574230,-3.288616,-35.501998,-88.070327,59.386360,-0.054077,-2.784600,-2.729470,-36.337513,-58.209141,37.200929,-2.552149,-0.456017,0.583120,0.000001,-0.000000,0.000002,-0.941026,1.206647,1.898051,-20.308761,11.397434,15.593682,3.073233,0.089661,-2.886856,-18.589205,-72.709286,34.464341,4.088575,-0.604919,-1.938384,-28.782938,-78.632690,51.047189,-0.311692,-2.549134,-1.685875,-28.983744,-49.349083,39.358436,-1.863784,-0.499051,0.634639,0.000000,0.000000,0.000000,-0.944456,0.939912,1.745237,4
5.812661,173.090398,38.440121,14.332004,11.545127,-19.935572,23.545783,-58.572991,-46.594330,1.468032,-2.035595,-0.407058,18.354019,-10.193494,-32.117887,1.181557,-2.175857,0.214474,-9.182085,27.622709,-24.181664,1.398309,-2.846586,-0.715942,-10.342824,17.606866,-40.304522,2.111175,-1.626358,-2.077887,0.000000,0.000000,0.000000,1.179087,0.332776,-2.135674,-43.095416,-38.406108,7.362830,8.707704,-4.698407,-0.578994,-46.141099,-116.499280,75.576374,1.104756,-2.239745,-2.854441,-43.718167,-57.253892,27.474733,-2.424398,-0.096925,0.139870,0.000000,0.000000,-0.000000,-0.927004,1.253899,1.606543,-47.924074,-54.888686,24.667361,8.959109,-2.842574,-1.797579,-41.605007,-95.371831,58.483218,0.385252,-2.864987,-3.173433,-47.111287,-57.895763,24.129650,-2.733567,-0.266774,0.215004,0.000000,0.000000,-0.000000,-1.014569,1.179156,1.956165,-48.526175,-65.839355,38.564672,8.291377,-1.573976,-3.304266,-35.119521,-87.981517,59.163286,-0.087001,-2.802871,-2.709847,-36.034551,-58.311452,37.194106,-2.549466,-0.442162,0.605111,0.000000,0.000000,-0.000000,-0.922235,1.222951,1.896840,-20.336896,11.348949,15.597504,3.064869,0.081417,-2.895978,-18.030594,-73.101357,34.591452,4.084290,-0.606383,-1.946942,-28.382211,-78.836601,50.919659,-0.329806,-2.560833,-1.664564,-28.780735,-49.462391,39.259959,-1.862466,-0.482125,0.651371,0.000000,0.000000,0.000000,-0.927296,0.960788,1.743070,4
5.895376,173.249670,38.283914,14.344327,11.524572,-19.916473,23.511911,-58.527030,-46.662641,1.474065,-2.031864,-0.403891,18.186896,-10.386387,-32.261468,1.189410,-2.171469,0.215542,-9.172796,27.833723,-24.678134,1.396195,-2.846194,-0.721601,-10.446092,17.700822,-40.553884,2.103482,-1.598272,-2.107274,0.000000,0.000000,0.000000,1.158244,0.369654,-2.141008,-43.187546,-39.212565,7.933979,8.722188,-4.671268,-0.580559,-45.845277,-116.350296,75.355960,1.078865,-2.252266,-2.854491,-43.504915,-57.411479,27.604383,-2.423616,-0.089222,0.157453,0.000000,0.000000,-0.000000,-0.911415,1.262127,1.609018,-47.805416,-55.812535,25.366266,8.965446,-2.817991,-1.804675,-41.287769,-95.286895,58.357829,0.350109,-2.879207,-3.164622,-46.847744,-58.124788,24.247885,-2.732781,-0.256079,0.236884,-0.000000,0.000000,-0.000000,-0.995221,1.190713,1.959102,-48.222804,-66.607613,39.133813,8.291033,-1.555769,-3.313738,-34.838414,-87.898672,59.029493,-0.114656,-2.815374,-2.695821,-35.818584,-58.410410,37.240517,-2.546823,-0.431874,0.623395,0.000000,0.000000,0.000000,-0.906386,1.234426,1.897046,-20.318768,11.320697,15.642647,3.059775,0.083514,-2.901300,-17.581240,-73.380560,34.666680,4.083033,-0.598298,-1.952072,-28.087650,-79.015104,50.830782,-0.343887,-2.569342,-1.648525,-28.619560,-49.613700,39.230640,-1.861436,-0.467934,0.664531,0.000001,-0.000000,0.000001,-0.913000,0.977439,1.741358,4
5.903462,173.039365,38.355079,14.321068,11.485043,-19.882158,23.542375,-58.571985,-46.601487,1.467411,-2.036393,-0.405309,18.201807,-10.626398,-32.307238,1.182058,-2.175856,0.211709,-8.896188,28.082785,-25.138917,1.378135,-2.852084,-0.732975,-10.199707,17.823624,-40.819255,2.091447,-1.581719,-2.131603,-0.000000,0.000000,-0.000000,1.147928,0.399858,-2.141136,-43.501341,-39.662290,8.034545,8.706608,-4.700313,-0.580000,-46.221897,-116.612308,75.366992,1.042294,-2.260794,-2.861329,-43.709521,-57.345293,27.369605,-2.423535,-0.065014,0.170051,0.000000,0.000000,-0.000000,-0.889407,1.270361,1.614844,-48.078074,-56.416470,25.607975,8.957072,-2.846391,-1.801684,-41.609973,-95.370404,58.228739,0.305022,-2.882821,-3.165999,-46.988686,-58.056495,23.933652,-2.734057,-0.228590,0.249933,0.000000,0.000000,-0.000000,-0.972777,1.201015,1.964080,-48.412758,-67.186935,39.350949,8.288059,-1.580041,-3.309692,-35.184390,-88.002118,58.878814,-0.151200,-2.816070,-2.693292,-36.068360,-58.452685,37.055855,-2.548739,-0.407864,0.631678,-0.000001,0.000000,-0.000002,-0.887707,1.244495,1.899299,-20.357005,11.336527,15.582359,3.062131,0.076592,-2.899004,-17.635078,-73.723899,34.668740,4.082372,-0.609863,-1.949874,-28.381527,-79.326941,50.675482,-0.365270,-2.568567,-1.645130,-28.891527,-49.777068,39.017179,-1.865449,-0.447071,0.667634,0.000000,0.000000,0.000000,-0.899159,0.992161,1.740234,4
5.888900,172.925147,38.377767,14.294998,11.448671,-19.850893,23.525727,-58.586512,-46.577957,1.465548,-2.037479,-0.406586,18.153972,-10.803695,-32.366966,1.179939,-2.177347,0.208172,-8.722301,28.241249,-25.431444,1.366699,-2.854739,-0.743969,-10.055402,17.948513,-41.040838,2.082852,-1.560971,-2.155183,-0.000000,0.000000,-0.000000,1.136691,0.431609,-2.140966,-43.808317,-40.187481,8.289117,8.702116,-4.708610,-0.580121,-46.437411,-116.766339,75.412521,1.010528,-2.267043,-2.867773,-43.837897,-57.330020,27.282347,-2.423011,-0.046652,0.183040,0.000000,0.000000,-0.000000,-0.870062,1.276554,1.620490,-48.281147,-57.049529,25.984967,8.955121,-2.853713,-1.799799,-41.788863,-95.388838,58.162211,0.266626,-2.885886,-3.166673,-47.058125,-58.045013,23.781233,-2.734468,-0.207751,0.263271,-0.000000,0.000000,-0.000000,-0.952864,1.209123,1.968861,-48.503619,-67.776718,39.682712,8.288203,-1.585160,-3.306883,-35.389954,-88.051958,58.783649,-0.181069,-2.817438,-2.690016,-36.222506,-58.518700,36.978032,-2.549494,-0.389807,0.639981,0.000001,-0.000000,0.000002,-0.871841,1.252760,1.901214,-20.360806,11.348229,15.568235,3.063750,0.076392,-2.897298,-17.609775,-74.033532,34.719228,4.082785,-0.612062,-1.948320,-28.550902,-79.553880,50.566176,-0.380266,-2.568898,-1.641210,-29.062211,-49.948049,38.910699,-1.868299,-0.430661,0.670446,-0.000000,-0.000000,-0.000000,-0.887897,1.004870,1.738723,4
5.845636,172.911136,38.407279,14.260520,11.411396,-19.824867,23.472207,-58.585405,-46.573861,1.466099,-2.036838,-0.407808,18.071865,-10.962604,-32.440227,1.180270,-2.177328,0.206489,-8.586715,28.389646,-25.695678,1.359718,-2.856053,-0.751676,-9.960767,18.077790,-41.243837,2.077371,-1.546781,-2.170648,-0.000000,0.000001,-0.000001,1.128386,0.455180,-2.140478,-44.098015,-40.736966,8.612409,8.703229,-4.706497,-0.580574,-46.575535,-116.867832,75.470906,0.979961,-2.271771,-2.874631,-43.931098,-57.344087,27.267105,-2.422148,-0.031268,0.197199,-0.000000,0.000000,-0.000000,-0.851063,1.281582,1.626599,-48.443520,-57.694349,26.425600,8.956441,-2.850431,-1.798431,-41.899519,-95.380140,58.125053,0.232835,-2.888087,-3.167332,-47.096649,-58.069633,23.710872,-2.734359,-0.191704,0.276255,-0.000000,0.000000,-0.000001,-0.935239,1.215274,1.973519,-48.540596,-68.363408,40.062555,8.289964,-1.580611,-3.304643,-35.528799,-88.075171,58.710132,-0.206935,-2.818841,-2.686679,-36.331462,-58.604696,36.954951,-2.549528,-0.375264,0.648479,0.000001,-0.000000,0.000002,-0.856699,1.260116,1.903234,-20.347192,11.357947,15.577449,3.065028,0.079615,-2.895860,-17.541066,-74.323702,34.783646,4.083764,-0.609527,-1.947062,-28.660825,-79.750756,50.477458,-0.392027,-2.569521,-1.637463,-29.185101,-50.140837,38.862386,-1.870229,-0.417871,0.673154,-0.000001,0.000000,-0.000001,-0.877353,1.016075,1.737564,4
5.874458,172.718744,38.578265,14.237045,11.376234,-19.789251,23.451108,-58.688233,-46.415714,1.459414,-2.040072,-0.415552,18.058780,-11.209134,-32.459992,1.173439,-2.181753,0.198554,-8.301407,28.510885,-25.981443,1.342687,-2.859981,-0.767196,-9.706625,18.144947,-41.471066,2.064925,-1.535205,-2.190650,-0.000000,-0.000000,0.000000,1.120220,0.478719,-2.139632,-44.497918,-41.130933,8.788328,8.687941,-4.732072,-0.601284,-46.986892,-117.132325,75.733377,0.939377,-2.272031,-2.887944,-44.216128,-57.256370,27.171901,-2.420954,-0.008680,0.213478,-0.000000,0.000000,-0.000000,-0.826133,1.285058,1.636677,-48.791163,-58.195489,26.741820,8.946414,-2.872660,-1.812915,-42.280747,-95.420727,58.188879,0.187286,-2.882595,-3.175345,-47.314915,-57.971148,23.536756,-2.734402,-0.167860,0.290958,0.000000,0.000000,-0.000000,-0.911921,1.219174,1.982008,-48.810775,-68.858362,40.371987,8.283191,-1.595582,-3.314419,-35.948405,-88.145694,58.734808,-0.244060,-2.812492,-2.690214,-36.665253,-58.648326,36.915393,-2.550075,-0.354155,0.658131,0.000000,0.000000,-0.000000,-0.835253,1.265530,1.909165,-20.357626,11.445068,15.494217,3.063764,0.079805,-2.897191,-17.692186,-74.607325,34.945494,4.080799,-0.615811,-1.951297,-29.035315,-79.961076,50.473586,-0.413568,-2.564546,-1.639962,-29.531998,-50.313036,38.821324,-1.872774,-0.400965,0.676353,0.000002,0.000002,-0.000002,-0.861153,1.025999,1.739835,4
5.892936,172.562975,38.740928,14.205441,11.338157,-19.751717,23.421252,-58.780295,-46.269992,1.454269,-2.042154,-0.423289,18.036667,-11.401449,-32.468976,1.168184,-2.185257,0.190863,-8.073187,28.574580,-26.150246,1.327986,-2.862761,-0.782267,-9.497528,18.160606,-41.601258,2.054010,-1.522494,-2.209700,0.000000,-0.000000,-0.000000,1.112334,0.502247,-2.138352,-44.864819,-41.457026,8.959872,8.676154,-4.751027,-0.621660,-47.347372,-117.364110,76.019221,0.900724,-2.270883,-2.901131,-44.482776,-57.183430,27.126404,-2.419460,0.011801,0.229646,0.000000,0.000000,0.000000,-0.802022,1.287500,1.646720,-49.095401,-58.503113,26.972161,8.938596,-2.888058,-1.826958,-42.615382,-95.416150,58.280487,0.144553,-2.876265,-3.183308,-47.528892,-57.880275,23.445388,-2.734064,-0.146514,0.305311,0.000000,0.000000,-0.000000,-0.889650,1.221915,1.990424,-49.068279,-69.253509,40.665832,8.277801,-1.604176,-3.323723,-36.313844,-88.196846,58.810519,-0.278504,-2.805842,-2.693811,-36.966509,-58.701368,36.939919,-2.550218,-0.335168,0.667454,0.000000,0.000000,-0.000000,-0.814431,1.270197,1.915053,-20.355566,11.530496,15.427400,3.062646,0.082415,-2.898301,-17.837812,-74.903073,35.154556,4.078414,-0.618942,-1.955289,-29.378383,-80.116128,50.486013,-0.432849,-2.559607,-1.642701,-29.851983,-50.445100,38.797394,-1.874897,-0.385768,0.679304,0.000000,0.000000,0.000000,-0.845131,1.035362,1.742143,4
