WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-26.160468,-175.316803,16.626976,16.235382,7.685388,-17.993532,28.179625,-18.505718,-66.525672,1.638253,-1.353112,1.396310,14.578933,16.799419,-30.123710,1.253750,-1.462378,1.570348,-28.559193,30.496864,-9.014526,2.100457,-2.168205,1.207417,-26.801424,29.468017,-27.139754,3.246202,-0.900804,-0.265399,0.000000,0.000000,0.000000,1.971192,0.471927,-1.397775,-20.834991,-5.504447,-3.592543,7.732759,-1.016002,6.116089,-3.915559,-6.584422,2.219129,3.757854,-0.229558,0.458923,-2.881845,1.428944,1.466909,2.391455,-0.411656,0.134701,0.000000,-0.000000,0.000000,2.228235,-0.215112,0.035758,-41.093709,-62.104894,8.079218,8.454512,0.313924,4.472118,-30.316186,-101.314270,20.632643,2.417608,-3.389464,-1.045920,-34.435729,-63.657299,3.213407,-2.504767,-0.934478,-0.665342,0.000000,0.000000,-0.000000,-1.835455,1.521184,0.750630,-40.072885,-81.474538,15.616922,8.700031,0.696600,2.442687,-25.012796,-90.139847,15.251987,1.268189,-3.564347,-0.945544,-21.852138,-65.067494,8.351099,-2.514701,-0.784112,-0.350558,0.000000,0.000000,0.000000,-1.741019,1.599497,0.595472,-12.080319,-10.210377,25.557231,4.158442,0.309693,-0.631023,-17.235819,-83.493065,-11.957618,4.460302,0.390160,0.890609,-21.760261,-76.163136,1.857773,0.477233,-3.022007,-0.277729,-14.986850,-63.919366,9.250146,-1.885165,-0.720984,-0.227696,0.000000,0.000000,-0.000000,-1.685099,1.343533,0.420290,2
-26.140196,-175.416042,16.565776,16.233098,7.682073,-17.995690,28.255614,-18.562783,-66.506277,1.637447,-1.354223,1.396178,14.592911,16.734900,-30.170343,1.252662,-1.462768,1.570853,-28.545654,30.529331,-9.117158,2.096611,-2.173938,1.203788,-26.753851,29.456736,-27.213959,3.243703,-0.908442,-0.269893,0.000001,-0.000001,0.000001,1.971108,0.467214,-1.399476,-20.890431,-5.509727,-3.593044,7.735780,-1.021616,6.111332,-3.909781,-6.582904,2.227070,3.758530,-0.232136,0.452033,-2.885111,1.428026,1.461221,2.391229,-0.414425,0.130147,-0.000001,0.000000,-0.000000,2.227996,-0.218278,0.031137,-41.052387,-62.144632,8.067323,8.458126,0.306082,4.465822,-30.226056,-101.276662,20.576826,2.413486,-3.392543,-1.045458,-34.362144,-63.679974,3.205714,-2.505938,-0.933684,-0.662039,0.000000,0.000000,-0.000000,-1.833717,1.523069,0.751054,-40.017734,-81.495422,15.578564,8.702701,0.686870,2.435922,-24.938333,-90.135848,15.219887,1.263658,-3.566451,-0.943678,-21.795758,-65.093444,8.346735,-2.515837,-0.781783,-0.347592,0.000000,0.000000,0.000000,-1.738120,1.602465,0.595963,-12.108835,-10.209034,25.546390,4.158398,0.303660,-0.634237,-17.141155,-83.516604,-11.978368,4.461456,0.384894,0.887115,-21.692856,-76.176071,1.832685,0.474078,-3.022702,-0.275568,-14.941530,-63.936704,9.240576,-1.886132,-0.719135,-0.225521,-0.000000,0.000000,-0.000000,-1.682581,1.346546,0.420735,2
-26.191771,-175.504589,16.491198,16.220676,7.681213,-17.999752,28.358297,-18.550212,-66.480249,1.635694,-1.354221,1.398233,14.595666,16.715175,-30.192783,1.250306,-1.462003,1.573439,-28.559507,30.543794,-9.186205,2.092626,-2.177003,1.205182,-26.731501,29.450164,-27.264666,3.242182,-0.913834,-0.269962,0.000000,0.000000,-0.000000,1.971497,0.463556,-1.400144,-20.947902,-5.521995,-3.592176,7.733207,-1.022207,6.114488,-3.899458,-6.581919,2.230341,3.758769,-0.234233,0.448959,-2.887839,1.426095,1.458053,2.391056,-0.415902,0.128615,0.000000,-0.000000,0.000000,2.227867,-0.219822,0.029451,-41.015451,-62.171363,8.002215,8.457340,0.302732,4.467539,-30.168243,-101.220302,20.443596,2.409593,-3.396518,-1.041525,-34.295117,-63.680329,3.138362,-2.506455,-0.933059,-0.660962,0.000000,0.000000,-0.000000,-1.833114,1.524925,0.748757,-39.977893,-81.499542,15.473976,8.702810,0.680789,2.437237,-24.888031,-90.121328,15.114239,1.259637,-3.569041,-0.939251,-21.745384,-65.112070,8.283260,-2.516603,-0.779653,-0.346830,-0.000000,0.000000,-0.000000,-1.736173,1.605310,0.593978,-12.120974,-10.234092,25.534046,4.158867,0.298562,-0.633577,-17.072108,-83.512803,-12.079657,4.461635,0.381335,0.887750,-21.643513,-76.172410,1.736083,0.470834,-3.023551,-0.271781,-14.901891,-63.952178,9.170525,-1.886874,-0.717274,-0.225237,0.000000,0.000000,0.000000,-1.680918,1.349268,0.418658,2
-26.246381,-175.584316,16.461404,16.210342,7.682138,-18.000989,28.450642,-18.538745,-66.456393,1.634264,-1.354072,1.400048,14.596272,16.716670,-30.192269,1.248185,-1.461150,1.575915,-28.589192,30.548453,-9.241338,2.089007,-2.179734,1.206523,-26.732318,29.441821,-27.305580,3.240825,-0.918541,-0.270285,-0.000000,0.000000,-0.000000,1.971623,0.460458,-1.400989,-20.992249,-5.528122,-3.589765,7.731209,-1.022062,6.117039,-3.889477,-6.581019,2.233415,3.759092,-0.235837,0.445400,-2.889705,1.424995,1.455927,2.390974,-0.416930,0.126804,0.000000,-0.000000,0.000000,2.227788,-0.220871,0.027550,-40.977434,-62.197823,7.936930,8.456790,0.300401,4.468738,-30.125517,-101.157248,20.313306,2.406002,-3.400100,-1.038134,-34.235217,-63.660312,3.065055,-2.506779,-0.932934,-0.659907,0.000000,0.000000,0.000000,-1.832913,1.526223,0.746604,-39.937572,-81.499558,15.374033,8.702956,0.675969,2.438058,-24.846773,-90.104650,15.014036,1.256024,-3.571356,-0.935280,-21.700478,-65.116578,8.219313,-2.517264,-0.777882,-0.346012,0.000000,0.000000,-0.000000,-1.734475,1.607785,0.592241,-12.130130,-10.255690,25.523895,4.159240,0.294243,-0.633154,-17.004488,-83.494446,-12.177018,4.461803,0.378459,0.888135,-21.601621,-76.179701,1.649509,0.468056,-3.024291,-0.268323,-14.865456,-63.973060,9.105775,-1.887508,-0.715689,-0.224971,-0.000000,0.000000,-0.000000,-1.679477,1.351646,0.416767,2
-26.328210,-175.700580,16.558242,16.197683,7.676192,-18.001192,28.512320,-18.553471,-66.439262,1.632216,-1.356737,1.399857,14.631129,16.715082,-30.170787,1.245265,-1.463588,1.575962,-28.564752,30.608941,-9.267505,2.085441,-2.183658,1.205596,-26.681495,29.503071,-27.325162,3.240173,-0.921013,-0.269679,0.000000,-0.000000,-0.000000,1.972544,0.461194,-1.399450,-21.049023,-5.480816,-3.596005,7.725321,-1.034081,6.122455,-3.893585,-6.570973,2.233624,3.759075,-0.237274,0.444783,-2.887467,1.430536,1.455631,2.390904,-0.417498,0.126244,-0.000000,0.000000,-0.000000,2.227754,-0.221250,0.027215,-41.074507,-62.155935,7.891177,8.453141,0.289860,4.476330,-30.254142,-101.096870,20.310789,2.403751,-3.400931,-1.040621,-34.313503,-63.573421,3.016090,-2.506294,-0.931829,-0.663302,0.000000,0.000000,0.000000,-1.834117,1.525028,0.746088,-40.055397,-81.468486,15.347996,8.701284,0.667657,2.446305,-24.973031,-90.079955,15.011477,1.254059,-3.571196,-0.938522,-21.795851,-65.088696,8.194797,-2.517419,-0.775993,-0.349113,-0.000000,0.000000,-0.000000,-1.734067,1.608082,0.592629,-12.153548,-10.263966,25.512100,4.159964,0.292381,-0.629245,-17.103118,-83.447843,-12.200452,4.461276,0.374622,0.892401,-21.718832,-76.163149,1.624016,0.466977,-3.024192,-0.271316,-14.967566,-63.976285,9.079819,-1.887741,-0.714178,-0.227796,-0.000000,0.000000,-0.000000,-1.678638,1.352716,0.416676,2
-26.389740,-175.804058,16.612944,16.183153,7.674029,-17.997930,28.562497,-18.564764,-66.425270,1.630639,-1.358761,1.399733,14.656443,16.707677,-30.160989,1.242792,-1.465350,1.576277,-28.556515,30.687021,-9.314644,2.082417,-2.186727,1.205261,-26.641600,29.554633,-27.345396,3.239664,-0.922913,-0.269304,-0.000001,0.000001,-0.000001,1.973035,0.461922,-1.398516,-21.082758,-5.450344,-3.605099,7.720775,-1.043217,6.126639,-3.888489,-6.544251,2.233724,3.759169,-0.238033,0.443575,-2.881887,1.442896,1.457385,2.390927,-0.417616,0.125415,0.000001,-0.000000,0.000000,2.227768,-0.221193,0.026599,-41.152050,-62.141931,7.854556,8.450319,0.281831,4.482168,-30.360231,-101.033300,20.296490,2.401534,-3.401884,-1.042626,-34.376575,-63.501044,2.969916,-2.505760,-0.931288,-0.666073,-0.000000,0.000000,-0.000000,-1.835633,1.523599,0.745278,-40.148868,-81.464246,15.324048,8.699985,0.661305,2.452642,-25.080021,-90.052307,14.998990,1.252349,-3.571149,-0.940980,-21.876881,-65.070852,8.169376,-2.517518,-0.774553,-0.351585,-0.000000,0.000000,-0.000000,-1.733865,1.608230,0.592818,-12.171369,-10.270547,25.503018,4.160519,0.290936,-0.626238,-17.179698,-83.420287,-12.234002,4.460865,0.371686,0.895679,-21.821308,-76.139920,1.585946,0.466441,-3.024079,-0.273487,-15.057287,-63.977900,9.045770,-1.887896,-0.713020,-0.230133,0.000000,0.000000,-0.000000,-1.677931,1.353663,0.416447,2
-26.452265,-175.890089,16.669340,16.170423,7.672328,-17.991801,28.609085,-18.574738,-66.412287,1.629264,-1.360498,1.399645,14.677526,16.701870,-30.151783,1.240631,-1.466861,1.576573,-28.556071,30.766216,-9.365767,2.079671,-2.189638,1.204716,-26.609713,29.602015,-27.365488,3.239306,-0.923828,-0.270467,0.000001,-0.000001,0.000001,1.972764,0.463381,-1.398417,-21.110921,-5.425057,-3.613534,7.716807,-1.051067,6.130295,-3.880143,-6.512584,2.234297,3.759093,-0.239322,0.443534,-2.875428,1.456905,1.459764,2.390963,-0.417326,0.125687,0.000000,-0.000000,0.000000,2.227835,-0.220450,0.027128,-41.220779,-62.139082,7.822414,8.447852,0.274917,4.487245,-30.454935,-100.968366,20.277374,2.398609,-3.403364,-1.044526,-34.430976,-63.432015,2.924656,-2.505397,-0.930419,-0.668649,0.000000,-0.000000,-0.000000,-1.836712,1.522658,0.744541,-40.230902,-81.468421,15.301613,8.698845,0.655817,2.458150,-25.176106,-90.024158,14.983510,1.249605,-3.571506,-0.943272,-21.949405,-65.054858,8.144148,-2.517797,-0.772584,-0.353915,0.000000,0.000000,0.000000,-1.733098,1.608980,0.593027,-12.186700,-10.276462,25.495114,4.161000,0.289669,-0.623622,-17.245565,-83.396386,-12.271514,4.460503,0.369145,0.898528,-21.915905,-76.117008,1.544530,0.465335,-3.024066,-0.275501,-15.139688,-63.979535,9.009374,-1.888119,-0.711734,-0.232533,-0.000001,0.000000,-0.000001,-1.677228,1.354699,0.415911,2
-26.449019,-175.907230,16.605897,16.160143,7.681231,-17.976894,28.658673,-18.584104,-66.398166,1.629041,-1.360198,1.400197,14.670417,16.689071,-30.162855,1.239764,-1.466059,1.578001,-28.597693,30.816940,-9.450061,2.077914,-2.190725,1.205772,-26.620941,29.599802,-27.405465,3.238740,-0.924994,-0.273244,-0.000001,0.000001,-0.000001,1.971144,0.462875,-1.400866,-21.126814,-5.439186,-3.612328,7.718081,-1.050019,6.128870,-3.858866,-6.478311,2.239838,3.759337,-0.240259,0.440947,-2.869907,1.470668,1.461548,2.391097,-0.416815,0.124836,-0.000001,0.000000,-0.000000,2.227932,-0.219553,0.026394,-41.188964,-62.205774,7.807175,8.449263,0.274398,4.484619,-30.413057,-100.898795,20.195060,2.394360,-3.406690,-1.043431,-34.382093,-63.412909,2.886538,-2.505705,-0.930272,-0.667701,0.000000,0.000000,0.000000,-1.837013,1.523004,0.743091,-40.189122,-81.512327,15.259213,8.699849,0.653665,2.455168,-25.142672,-90.002449,14.926136,1.245616,-3.573413,-0.941322,-21.918672,-65.062951,8.113762,-2.518456,-0.770876,-0.352947,0.000000,0.000000,-0.000000,-1.731656,1.610793,0.592317,-12.191696,-10.280996,25.491744,4.160954,0.287293,-0.625030,-17.182914,-83.402505,-12.335888,4.460929,0.367770,0.896974,-21.893679,-76.117432,1.483978,0.463708,-3.024526,-0.273193,-15.121513,-63.994415,8.964759,-1.888495,-0.710646,-0.232542,-0.000000,0.000000,-0.000000,-1.676123,1.356441,0.414685,2
-26.427347,-175.920414,16.543393,16.145113,7.692466,-17.962862,28.692654,-18.590731,-66.389486,1.628820,-1.359883,1.400760,14.666696,16.670564,-30.182557,1.238893,-1.465225,1.579459,-28.626257,30.859209,-9.522423,2.076168,-2.191740,1.206935,-26.608549,29.553853,-27.414044,3.238239,-0.925835,-0.276318,0.000000,0.000000,0.000000,1.969310,0.462655,-1.403516,-21.149903,-5.474361,-3.615370,7.719326,-1.048907,6.127493,-3.859070,-6.487258,2.241058,3.759540,-0.241300,0.438638,-2.870825,1.473501,1.458047,2.391254,-0.416075,0.124291,0.000000,-0.000000,0.000000,2.228057,-0.218328,0.025992,-41.149491,-62.241572,7.784195,8.450644,0.273946,4.482044,-30.368918,-100.852748,20.122845,2.389770,-3.410230,-1.042391,-34.335093,-63.405081,2.855044,-2.506052,-0.929970,-0.666817,0.000000,-0.000000,-0.000000,-1.837283,1.523406,0.741597,-40.142086,-81.522836,15.208883,8.700832,0.651578,2.452238,-25.104241,-89.982861,14.870897,1.241278,-3.575425,-0.939413,-21.884910,-65.078377,8.087456,-2.519161,-0.768969,-0.352078,0.000000,0.000000,-0.000000,-1.730110,1.612725,0.591579,-12.196462,-10.285657,25.488425,4.160908,0.284945,-0.626411,-17.118733,-83.399576,-12.386403,4.461346,0.366429,0.895447,-21.858243,-76.126083,1.440159,0.462044,-3.024980,-0.270969,-15.092672,-64.030604,8.936815,-1.888904,-0.709527,-0.232643,0.000000,0.000000,0.000000,-1.675031,1.358206,0.413319,2
-26.415150,-175.957255,16.518039,16.125579,7.693012,-17.945701,28.712978,-18.611807,-66.384317,1.628615,-1.360302,1.400591,14.672077,16.644034,-30.202874,1.238520,-1.465393,1.579596,-28.638571,30.917663,-9.593394,2.075002,-2.193312,1.206084,-26.578070,29.514521,-27.415434,3.237774,-0.926387,-0.279899,-0.000001,0.000001,-0.000001,1.968548,0.461963,-1.404812,-21.176266,-5.503111,-3.621731,7.720516,-1.050996,6.125635,-3.865094,-6.498095,2.241675,3.759698,-0.244007,0.435781,-2.871435,1.477243,1.453953,2.390992,-0.418146,0.122373,0.000001,-0.000000,0.000000,2.227900,-0.220133,0.024235,-41.137318,-62.261176,7.771714,8.451958,0.271224,4.479731,-30.357667,-100.812989,20.089799,2.386970,-3.412125,-1.042604,-34.317841,-63.387984,2.837610,-2.506237,-0.929696,-0.666501,0.000000,0.000000,-0.000000,-1.837546,1.523373,0.741013,-40.126228,-81.525643,15.181963,8.701764,0.648353,2.449786,-25.099178,-89.962309,14.845928,1.238918,-3.576338,-0.939052,-21.881136,-65.089342,8.077602,-2.519439,-0.768144,-0.351888,0.000000,0.000000,-0.000000,-1.729261,1.613676,0.591465,-12.206202,-10.283754,25.485111,4.160861,0.283051,-0.627579,-17.086815,-83.393896,-12.408955,4.461741,0.364704,0.894183,-21.853604,-76.131821,1.420365,0.461089,-3.025181,-0.270346,-15.092253,-64.067266,8.927187,-1.889209,-0.708705,-0.232670,0.000001,-0.000000,0.000001,-1.673671,1.359943,0.413113,2
