WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-18.128063,169.060957,50.287480,-24.730552,-0.741831,12.084450,24.896613,49.584360,133.745914,-1.049700,-2.006900,-1.155400,32.396990,63.500368,174.663183,-2.511171,-3.723258,-2.201653,27.629482,92.978007,-179.945398,-3.736078,-6.180082,-3.943637,19.377236,140.055222,-151.801221,-3.580534,-9.169986,-5.510798,48.042648,104.773641,97.756781,-2.355067,-9.599621,-0.731645,26.307125,-80.299641,-94.221698,-1.708453,-12.051522,-3.552078,-42.944916,-74.991529,-97.429974,-2.075546,-9.904018,-4.629173,62.957707,100.706607,89.471419,-0.172591,-9.564658,-0.254315,21.755620,-77.155909,-89.656334,0.189990,-11.482349,-4.077697,-48.361271,-64.842720,-106.144300,-0.378813,-8.987642,-5.098817,70.041198,89.082123,75.222321,1.746524,-8.869377,-0.652931,14.866388,-70.237136,-84.768887,1.725201,-10.200315,-4.318320,-56.164915,-70.964834,-88.820677,0.856757,-7.783204,-5.000102,5.368751,105.384592,66.581602,2.299857,-3.407354,-0.941983,68.892409,54.132679,40.483174,3.505405,-7.789581,-1.369118,18.012527,-66.190272,-78.959104,2.857210,-8.686103,-4.235040,-55.598662,-79.148469,-73.343663,2.077427,-6.918912,-4.863117,19.377236,140.055222,-151.801221,-1.877809,-10.755322,-6.316731,-42.944916,-74.991529,-97.429974,-2.475613,-8.247445,-3.177177,-48.361271,-64.842720,-106.144300,-1.060474,-7.392097,-3.299952,-56.164915,-70.964831,-88.820680,0.392537,-6.368784,-3.069289,-55.598662,-79.148469,-73.343663,1.769820,-5.624800,-3.116137,5
-18.463050,168.728691,49.549538,-24.628728,-0.831593,11.957694,24.864206,49.545422,133.729669,-1.049700,-2.006900,-1.155400,32.370731,63.452048,174.617921,-2.512721,-3.722715,-2.200378,27.624751,93.334993,-179.785104,-3.740056,-6.179219,-3.941103,18.999043,140.902012,-151.575943,-3.565879,-9.168225,-5.508017,48.207148,104.848796,97.789812,-2.355067,-9.599621,-0.731645,26.148818,-80.253344,-94.230205,-1.707315,-12.042834,-3.559347,-43.159875,-74.910266,-97.466335,-2.076646,-9.892703,-4.630418,63.218527,100.727417,89.470532,-0.172591,-9.564658,-0.254315,21.636414,-77.137102,-89.665740,0.187443,-11.465096,-4.086541,-48.464312,-64.787204,-106.190550,-0.382650,-8.968511,-5.102336,70.249435,88.915201,75.070539,1.746524,-8.869377,-0.652931,14.840155,-70.250433,-84.786666,1.721576,-10.186919,-4.323134,-56.168668,-70.947597,-88.849915,0.853588,-7.769314,-5.003739,5.368741,105.384587,66.581593,2.299857,-3.407354,-0.941983,68.954035,53.863481,40.271597,3.505404,-7.789581,-1.369117,18.044870,-66.240422,-78.960701,2.854823,-8.680558,-4.236227,-55.668105,-79.238702,-73.319896,2.076730,-6.913009,-4.865395,18.999044,140.902010,-151.575943,-1.835969,-10.731479,-6.299051,-43.159875,-74.910266,-97.466335,-2.477576,-8.241972,-3.172020,-48.464312,-64.787204,-106.190550,-1.064389,-7.376555,-3.300323,-56.168668,-70.947597,-88.849915,0.389064,-6.355134,-3.072822,-55.668105,-79.238705,-73.319893,1.771516,-5.620525,-3.116792,5
-18.701544,168.521140,48.934308,-24.536318,-0.896708,11.816717,24.829965,49.504237,133.712506,-1.049700,-2.006900,-1.155400,32.348496,63.400227,174.570117,-2.514359,-3.722137,-2.199030,27.623789,93.711575,-179.613320,-3.744218,-6.178134,-3.938690,18.581714,141.823425,-151.332002,-3.550398,-9.165957,-5.505553,48.393566,104.929156,97.827227,-2.355067,-9.599621,-0.731645,25.962592,-80.205030,-94.239333,-1.706263,-12.033021,-3.567556,-43.411898,-74.821679,-97.508369,-2.077996,-9.879782,-4.631531,63.488075,100.748315,89.469499,-0.172591,-9.564658,-0.254315,21.508045,-77.118209,-89.675441,0.184770,-11.447232,-4.095598,-48.574181,-64.729643,-106.239515,-0.386652,-8.948622,-5.105653,70.475326,88.731976,74.902287,1.746524,-8.869377,-0.652931,14.791505,-70.265346,-84.806970,1.717683,-10.172356,-4.328300,-56.196028,-70.928108,-88.883147,0.850129,-7.753982,-5.006725,5.368744,105.384583,66.581607,2.299857,-3.407354,-0.941983,69.029523,53.551088,40.015208,3.505404,-7.789581,-1.369118,18.049725,-66.294750,-78.967805,2.852219,-8.673958,-4.237679,-55.758367,-79.329316,-73.296893,2.075824,-6.905721,-4.867010,18.581714,141.823425,-151.332002,-1.791248,-10.704644,-6.280101,-43.411898,-74.821679,-97.508369,-2.479720,-8.235882,-3.165654,-48.574181,-64.729643,-106.239515,-1.068419,-7.360478,-3.300290,-56.196028,-70.928108,-88.883147,0.385518,-6.340812,-3.075090,-55.758367,-79.329316,-73.296893,1.773125,-5.615492,-3.116306,5
-18.908210,168.335286,48.398193,-24.450653,-0.961638,11.683123,24.794123,49.461100,133.694559,-1.049700,-2.006900,-1.155400,32.329003,63.345543,174.520177,-2.516074,-3.721530,-2.197619,27.625215,94.097576,-179.435830,-3.748542,-6.176880,-3.936344,18.145018,142.775701,-151.083197,-3.534600,-9.163291,-5.503282,48.596914,105.013765,97.868176,-2.355067,-9.599621,-0.731645,25.754947,-80.155116,-94.248977,-1.705281,-12.022323,-3.576476,-43.693144,-74.727020,-97.555150,-2.079548,-9.865625,-4.632525,63.762966,100.769371,89.468402,-0.172591,-9.564658,-0.254315,21.374104,-77.099145,-89.685296,0.182014,-11.428974,-4.104748,-48.687627,-64.670914,-106.289964,-0.390765,-8.928259,-5.108808,70.713425,88.535684,74.720654,1.746524,-8.869377,-0.652931,14.726947,-70.281260,-84.829059,1.713610,-10.156970,-4.333685,-56.240352,-70.906832,-88.919265,0.846471,-7.737637,-5.009214,5.368750,105.384594,66.581601,2.299857,-3.407354,-0.941983,69.116260,53.201484,39.720484,3.505405,-7.789581,-1.369118,18.032291,-66.352645,-78.979385,2.849438,-8.666478,-4.239340,-55.866256,-79.420902,-73.274102,2.074753,-6.897282,-4.868083,18.145018,142.775701,-151.083197,-1.745630,-10.675991,-6.260523,-43.693144,-74.727020,-97.555150,-2.482003,-8.229354,-3.158337,-48.687627,-64.670914,-106.289964,-1.072531,-7.344048,-3.299992,-56.240352,-70.906835,-88.919262,0.381923,-6.326030,-3.076421,-55.866256,-79.420902,-73.274102,1.774683,-5.609840,-3.114876,5
-19.422185,167.551406,48.447169,-24.323682,-1.005427,11.604361,24.740210,49.397067,133.667920,-1.049700,-2.006900,-1.155400,32.339763,63.259427,174.446771,-2.518627,-3.720634,-2.195495,27.660436,94.589877,-179.193674,-3.754637,-6.173837,-3.934737,17.636374,143.908529,-150.756413,-3.515120,-9.157339,-5.503515,48.907342,105.087094,97.927626,-2.355067,-9.599621,-0.731645,25.408666,-80.128967,-94.259855,-1.706203,-12.006572,-3.590024,-44.149894,-74.634131,-97.626536,-2.082540,-9.843796,-4.632825,64.006485,100.772499,89.465886,-0.172591,-9.564658,-0.254315,21.223219,-77.096315,-89.693442,0.179054,-11.412861,-4.112779,-48.842393,-64.615522,-106.354537,-0.394438,-8.909606,-5.110079,70.965128,88.311448,74.521422,1.746524,-8.869377,-0.652931,14.587603,-70.314158,-84.855025,1.709048,-10.140656,-4.339307,-56.393736,-70.898136,-88.962575,0.842747,-7.719286,-5.008584,5.368745,105.384599,66.581600,2.299857,-3.407354,-0.941983,69.249815,52.696185,39.270103,3.505405,-7.789581,-1.369118,17.923315,-66.429653,-79.008858,2.845787,-8.655334,-4.241885,-56.050869,-79.523639,-73.250176,2.073003,-6.884006,-4.866953,17.636374,143.908529,-150.756413,-1.691436,-10.638196,-6.240621,-44.149894,-74.634131,-97.626536,-2.484392,-8.219567,-3.145217,-48.842393,-64.615522,-106.354537,-1.075513,-7.330473,-3.296569,-56.393736,-70.898136,-88.962575,0.379800,-6.312617,-3.071811,-56.050869,-79.523636,-73.250179,1.776230,-5.601618,-3.109487,5
-20.012236,166.611374,48.738921,-24.159174,-1.063769,11.574362,24.663935,49.306067,133.630200,-1.049700,-2.006900,-1.155400,32.384943,63.133714,174.343470,-2.522249,-3.719347,-2.192490,27.734390,95.188824,-178.885159,-3.763018,-6.168608,-3.933897,17.132051,145.076427,-150.379554,-3.492510,-9.147424,-5.506537,49.338881,105.175988,98.010801,-2.355068,-9.599621,-0.731645,24.900550,-80.103829,-94.273415,-1.708124,-11.984717,-3.608719,-44.793545,-74.516788,-97.727852,-2.086985,-9.813081,-4.632010,64.348363,100.767297,89.461341,-0.172591,-9.564658,-0.254315,20.900960,-77.101480,-89.704876,0.174578,-11.390242,-4.123936,-49.162329,-64.520689,-106.480357,-0.399931,-8.881508,-5.106776,71.333667,87.975569,74.219912,1.746523,-8.869377,-0.652931,14.324181,-70.365507,-84.895772,1.702434,-10.116692,-4.347412,-56.687134,-70.884398,-89.031022,0.837279,-7.691673,-5.004858,5.368741,105.384588,66.581607,2.299857,-3.407354,-0.941983,69.465615,51.883976,38.528207,3.505404,-7.789581,-1.369117,17.656263,-66.554447,-79.068101,2.840263,-8.637379,-4.245963,-56.363843,-79.660392,-73.224000,2.070189,-6.861718,-4.862018,17.132050,145.076428,-150.379553,-1.634000,-10.594372,-6.223734,-44.793545,-74.516788,-97.727852,-2.487493,-8.205890,-3.125652,-49.162329,-64.520689,-106.480357,-1.079008,-7.312668,-3.283609,-56.687134,-70.884398,-89.031022,0.377438,-6.294464,-3.060513,-56.363843,-79.660392,-73.224000,1.778159,-5.588119,-3.097379,5
-20.442942,165.990681,48.711760,-24.033521,-1.132750,11.526433,24.578652,49.204650,133.588278,-1.049700,-2.006900,-1.155400,32.465140,62.989428,174.228713,-2.526284,-3.717905,-2.189127,27.839969,95.796274,-178.554714,-3.772110,-6.161860,-3.934375,16.641889,146.219058,-149.978660,-3.470329,-9.134752,-5.512524,49.805015,105.270025,98.102433,-2.355067,-9.599621,-0.731645,24.324752,-80.078125,-94.287146,-1.710396,-11.960993,-3.628729,-45.517004,-74.386587,-97.843328,-2.091984,-9.779507,-4.629815,64.709099,100.758865,89.456102,-0.172591,-9.564658,-0.254315,20.545128,-77.109367,-89.716796,0.169755,-11.366322,-4.135559,-49.513702,-64.418102,-106.619449,-0.405759,-8.851607,-5.102397,71.729153,87.600263,73.881841,1.746524,-8.869377,-0.652931,14.028638,-70.421939,-84.939835,1.695334,-10.090867,-4.355939,-57.020524,-70.869548,-89.106533,0.831443,-7.661835,-5.000095,5.368742,105.384592,66.581607,2.299857,-3.407354,-0.941983,69.706661,50.949308,37.667711,3.505405,-7.789581,-1.369117,17.335407,-66.693669,-79.137112,2.834154,-8.617009,-4.250471,-56.723039,-79.809385,-73.195252,2.067043,-6.836342,-4.855678,16.641890,146.219056,-149.978660,-1.578538,-10.547619,-6.210394,-45.517004,-74.386587,-97.843328,-2.490782,-8.191682,-3.102610,-49.513702,-64.418102,-106.619449,-1.082533,-7.294098,-3.268690,-57.020524,-70.869544,-89.106536,0.375166,-6.275412,-3.047208,-56.723039,-79.809385,-73.195252,1.780238,-5.572936,-3.082875,5
-20.383112,165.502749,48.550705,-23.899138,-1.220645,11.451430,24.504140,49.116509,133.551939,-1.049700,-2.006900,-1.155400,32.665555,62.847523,174.131522,-2.529793,-3.716646,-2.186187,28.031066,96.552525,-178.072114,-3.778874,-6.152061,-3.941020,16.142327,147.391830,-149.444457,-3.438484,-9.115466,-5.529126,50.357365,105.400974,98.215038,-2.355067,-9.599621,-0.731645,23.597823,-80.028470,-94.303085,-1.712448,-11.932478,-3.652191,-46.427455,-74.202248,-97.992229,-2.098095,-9.738990,-4.625100,65.152951,100.746943,89.449251,-0.172591,-9.564658,-0.254315,20.062212,-77.120335,-89.731466,0.163763,-11.336800,-4.149649,-49.987431,-64.279360,-106.808029,-0.413065,-8.814120,-5.094710,72.244599,87.085131,73.416798,1.746524,-8.869377,-0.652931,13.627445,-70.498159,-84.997526,1.686051,-10.057039,-4.366787,-57.474490,-70.850702,-89.207679,0.823907,-7.622668,-4.992876,5.368747,105.384598,66.581597,2.299857,-3.407354,-0.941983,70.042300,49.567495,36.400163,3.505405,-7.789581,-1.369118,16.859146,-66.903273,-79.235484,2.825355,-8.587720,-4.256664,-57.232176,-80.028820,-73.154910,2.062817,-6.799692,-4.845733,16.142327,147.391830,-149.444457,-1.513420,-10.492425,-6.207508,-46.427455,-74.202248,-97.992229,-2.495070,-8.176016,-3.072006,-49.987431,-64.279360,-106.808029,-1.086639,-7.271964,-3.246902,-57.474490,-70.850702,-89.207679,0.372544,-6.250994,-3.028465,-57.232176,-80.028819,-73.154911,1.783519,-5.550810,-3.061477,5
-20.479460,165.109935,48.295260,-23.771245,-1.308335,11.366293,24.438006,49.038512,133.519865,-1.049700,-2.006900,-1.155400,32.889221,62.714864,174.045571,-2.532898,-3.715527,-2.183576,28.234041,97.189238,-177.632012,-3.784465,-6.141937,-3.949080,15.737020,148.339629,-148.953352,-3.411871,-9.095776,-5.547744,50.838146,105.519700,98.315857,-2.355067,-9.599621,-0.731645,22.930529,-79.980376,-94.316321,-1.714195,-11.907447,-3.672393,-47.267935,-74.026132,-98.133123,-2.103628,-9.703274,-4.619298,65.544529,100.735386,89.442914,-0.172590,-9.564658,-0.254315,19.630479,-77.130635,-89.744296,0.158440,-11.310671,-4.161886,-50.410725,-64.152958,-106.979504,-0.419505,-8.781017,-5.087420,72.700864,86.601213,72.979929,1.746524,-8.869377,-0.652931,13.272990,-70.567921,-85.048051,1.677778,-10.026926,-4.376139,-57.885117,-70.835424,-89.299114,0.817327,-7.587901,-4.986240,5.368743,105.384594,66.581601,2.299857,-3.407354,-0.941983,70.339446,48.262657,35.204425,3.505405,-7.789581,-1.369118,16.422317,-67.098701,-79.323685,2.817335,-8.560842,-4.262063,-57.695687,-80.236219,-73.115321,2.059174,-6.766139,-4.836295,15.737020,148.339629,-148.953352,-1.460524,-10.443077,-6.210399,-47.267935,-74.026132,-98.133123,-2.498837,-8.163606,-3.042652,-50.410725,-64.152958,-106.979504,-1.090176,-7.252677,-3.227120,-57.885117,-70.835424,-89.299114,0.370486,-6.229627,-3.011512,-57.695688,-80.236218,-73.115323,1.786785,-5.530566,-3.041734,5
-20.623756,164.740134,48.020473,-23.634500,-1.394234,11.276543,24.374525,48.963625,133.489153,-1.049700,-2.006900,-1.155400,33.153696,62.580757,173.963824,-2.535877,-3.714445,-2.181069,28.462663,97.839319,-177.155807,-3.789353,-6.130659,-3.959156,15.329550,149.267282,-148.430062,-3.384143,-9.073738,-5.569687,51.321533,105.644204,98.419974,-2.355067,-9.599621,-0.731645,22.233989,-79.927444,-94.329308,-1.715895,-11.882076,-3.692495,-48.144134,-73.835125,-98.284840,-2.109349,-9.667093,-4.612120,65.945566,100.722151,89.435988,-0.172591,-9.564658,-0.254315,19.182931,-77.142006,-89.757274,0.152939,-11.283832,-4.174228,-50.848535,-64.020113,-107.159804,-0.426095,-8.747092,-5.079467,73.168840,86.076568,72.505128,1.746524,-8.869377,-0.652931,12.906961,-70.640933,-85.099539,1.669265,-9.995871,-4.385486,-58.315423,-70.819863,-89.395053,0.810648,-7.552124,-4.979052,5.368746,105.384599,66.581596,2.299857,-3.407354,-0.941983,70.638944,46.861490,33.920350,3.505405,-7.789581,-1.369118,15.963751,-67.305321,-79.414140,2.809031,-8.532741,-4.267426,-58.177158,-80.457744,-73.071580,2.055598,-6.731133,-4.826047,15.329549,149.267283,-148.430062,-1.407513,-10.391528,-6.216564,-48.144134,-73.835125,-98.284840,-2.502653,-8.152097,-3.011282,-50.848535,-64.020113,-107.159804,-1.093710,-7.233134,-3.206351,-58.315423,-70.819863,-89.395053,0.368589,-6.207960,-2.993621,-58.177158,-80.457745,-73.071578,1.790420,-5.509484,-3.020905,5
