WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-11.088458,161.430521,28.427820,18.599538,-1.615120,-6.410598,39.846462,-43.483596,-59.080598,1.070375,-2.167914,0.786709,27.401520,6.518067,-25.137335,0.691080,-2.151818,1.033691,-14.280110,23.011697,-10.484929,1.138579,-3.013594,0.439069,-8.196840,32.475264,-40.873513,2.268035,-2.468858,-0.424822,-0.000001,0.000001,-0.000001,1.891019,-0.277783,-1.552087,-35.829577,-35.231079,-16.860262,7.259718,-5.331759,4.135603,-55.546588,-104.143544,24.934596,1.468164,-3.158795,-1.500426,-37.174405,-52.817716,-3.860376,-2.299384,0.047023,-0.785676,0.000000,0.000000,-0.000000,-1.273967,1.729581,0.630981,-42.312196,-51.893725,-7.654466,8.270479,-4.039685,2.618640,-46.641764,-91.763254,13.439988,0.665177,-3.817923,-1.846145,-42.304857,-53.741035,-10.438210,-2.653240,0.206431,-0.712383,-0.000000,-0.000000,-0.000000,-1.135492,1.938613,1.094889,-44.670559,-65.588468,2.117006,8.407259,-3.317763,0.673022,-39.190547,-88.032802,14.962716,-0.025899,-3.551917,-1.609392,-33.097066,-62.390971,5.137822,-2.629973,0.193038,-0.327753,0.000000,-0.000000,0.000001,-1.024530,1.982087,0.982748,-23.385655,-3.409456,17.737504,3.791362,-1.185031,-1.417043,-13.680612,-79.783536,-6.028091,4.280427,-1.586709,0.001558,-31.453872,-77.078889,2.053986,-0.546959,-2.918293,-0.788554,-27.531810,-67.959594,10.329958,-2.019497,0.093673,-0.195871,0.000000,-0.000000,0.000001,-0.819767,1.869380,0.809126,5
-10.714778,161.635583,29.686924,18.563415,-1.732683,-6.399702,38.349342,-44.042969,-59.304811,1.085782,-2.176829,0.739567,27.448501,5.932854,-25.432825,0.711769,-2.172335,0.975078,-13.825108,23.118641,-10.012622,1.174185,-3.009758,0.365423,-7.866230,32.805068,-40.526699,2.291995,-2.437939,-0.472150,0.000001,-0.000001,0.000001,1.897852,-0.227389,-1.551947,-36.603051,-34.399979,-16.642275,7.295347,-5.368127,4.024362,-56.652330,-104.789533,27.241594,1.501178,-3.112155,-1.563882,-38.141463,-52.134151,-3.363901,-2.297776,0.041476,-0.790677,0.000000,0.000000,-0.000000,-1.296686,1.701325,0.660818,-43.324762,-51.167109,-7.176659,8.297894,-4.035169,2.537622,-47.910111,-92.090871,15.197138,0.700849,-3.771148,-1.927303,-43.421153,-53.108461,-9.921660,-2.653947,0.204928,-0.710180,0.000000,0.000000,-0.000000,-1.149081,1.906214,1.136795,-45.843947,-65.190729,2.990926,8.431158,-3.269189,0.608678,-40.430565,-88.234969,16.523868,0.001100,-3.515311,-1.688051,-34.195256,-61.983053,5.880675,-2.630949,0.186361,-0.323758,-0.000000,0.000000,-0.000001,-1.037650,1.953030,1.026197,-23.322411,-2.895040,17.806080,3.801479,-1.124976,-1.438722,-15.043778,-79.829974,-4.929191,4.292159,-1.554426,-0.028840,-32.742613,-76.978798,3.167779,-0.530718,-2.902666,-0.854565,-28.679410,-67.607453,11.151069,-2.019810,0.088387,-0.195096,-0.000000,0.000000,-0.000000,-0.832766,1.845393,0.849889,5
-10.555884,161.793855,30.479583,18.517131,-1.802054,-6.382952,37.371607,-44.279637,-59.480979,1.094125,-2.181429,0.713249,27.509410,5.683838,-25.542442,0.725026,-2.184739,0.936849,-13.550403,23.056868,-9.533403,1.201047,-3.004151,0.321634,-7.711494,33.054842,-40.214548,2.309567,-2.417230,-0.492560,-0.000001,0.000001,-0.000001,1.906204,-0.197697,-1.545765,-36.970254,-33.685209,-16.609620,7.310596,-5.387391,3.970587,-57.398597,-105.112147,28.534909,1.526532,-3.082878,-1.596976,-38.734525,-51.624068,-3.184622,-2.294886,0.036023,-0.799290,0.000000,0.000000,-0.000000,-1.315130,1.682245,0.673104,-43.937738,-50.583524,-7.027261,8.310483,-4.030170,2.504147,-48.763145,-92.241023,16.158927,0.729167,-3.742200,-1.972689,-44.112567,-52.594009,-9.746747,-2.653003,0.203631,-0.714070,0.000000,0.000000,-0.000000,-1.159634,1.886293,1.159089,-46.606961,-64.869853,3.400035,8.444795,-3.238008,0.585880,-41.257637,-88.336110,17.386313,0.020858,-3.492507,-1.734615,-34.875344,-61.616160,6.206037,-2.630952,0.184271,-0.324929,-0.000000,0.000000,-0.000001,-1.046118,1.935515,1.050498,-23.271194,-2.620646,17.859365,3.810101,-1.088178,-1.444209,-15.948664,-79.845086,-4.361433,4.299400,-1.534061,-0.038957,-33.589066,-76.866208,3.730526,-0.520998,-2.892197,-0.895083,-29.417589,-67.319305,11.532739,-2.019628,0.087033,-0.197579,0.000000,0.000000,-0.000000,-0.841664,1.830597,0.872810,5
-10.019225,161.738037,30.782983,18.539031,-1.831256,-6.350586,36.776091,-44.729551,-59.433427,1.097222,-2.187715,0.688819,27.621072,5.328114,-25.637855,0.734781,-2.195129,0.904399,-13.316082,22.875363,-9.329137,1.214816,-3.002299,0.285151,-7.573932,32.872216,-40.212013,2.308405,-2.413301,-0.516681,0.000001,-0.000001,0.000001,1.899988,-0.190915,-1.554247,-36.993894,-33.506311,-16.312312,7.333196,-5.423497,3.878697,-57.381255,-105.434888,29.484904,1.526719,-3.068966,-1.623375,-38.861945,-51.551966,-2.769099,-2.298319,0.034240,-0.789443,0.000000,0.000000,-0.000000,-1.320549,1.672617,0.686355,-44.072129,-50.545080,-6.589977,8.324145,-4.055673,2.416046,-48.851325,-92.606512,17.081285,0.719551,-3.727473,-2.003856,-44.294438,-52.668473,-9.249296,-2.657442,0.210554,-0.695309,-0.000000,0.000000,-0.000000,-1.151767,1.877943,1.180298,-46.795984,-65.002628,4.022453,8.446010,-3.248739,0.503112,-41.366975,-88.613972,18.256277,0.005352,-3.478821,-1.762018,-35.032145,-61.535615,6.708315,-2.632937,0.192951,-0.303073,0.000000,0.000000,-0.000000,-1.037115,1.928103,1.072818,-23.322179,-2.304777,17.769049,3.799301,-1.079763,-1.478568,-16.083056,-80.047420,-3.581125,4.297811,-1.536909,-0.080189,-33.736560,-77.044301,4.463150,-0.534157,-2.883693,-0.914550,-29.607359,-67.210696,12.069806,-2.020778,0.094235,-0.181894,-0.000000,0.000000,-0.000001,-0.833485,1.824523,0.893142,5
-9.706956,161.701671,30.986801,18.546059,-1.849738,-6.316360,36.377653,-44.995902,-59.410028,1.098599,-2.191843,0.673329,27.696393,5.048397,-25.740659,0.741882,-2.202693,0.879877,-13.126569,22.709886,-9.121924,1.228350,-2.999017,0.260660,-7.420674,32.756130,-40.166295,2.309342,-2.410335,-0.526249,0.000000,-0.000000,-0.000000,1.899153,-0.189039,-1.555497,-36.898105,-33.206744,-16.172409,7.344389,-5.447394,3.823640,-57.430317,-105.599034,30.041011,1.533342,-3.058489,-1.636852,-38.959894,-51.442858,-2.570921,-2.299056,0.029393,-0.787490,0.000000,0.000000,-0.000000,-1.328828,1.664157,0.690926,-44.164490,-50.429737,-6.375486,8.330753,-4.072358,2.364656,-48.978619,-92.859462,17.661351,0.717768,-3.717365,-2.023179,-44.434212,-52.648059,-8.994036,-2.659583,0.214270,-0.685923,0.000000,0.000000,0.000000,-1.148938,1.871876,1.192628,-46.973514,-65.072997,4.391798,8.446138,-3.255413,0.455574,-41.498035,-88.826530,18.822525,-0.003437,-3.469363,-1.780572,-35.154043,-61.407161,6.978498,-2.633888,0.199757,-0.290129,-0.000000,0.000000,-0.000001,-1.032282,1.922832,1.086846,-23.352033,-2.108554,17.712365,3.793415,-1.073786,-1.497907,-16.252347,-80.239671,-3.072304,4.296725,-1.538535,-0.103760,-33.870129,-77.100713,4.901133,-0.543391,-2.877533,-0.928409,-29.765873,-67.043657,12.367039,-2.021293,0.100219,-0.172735,-0.000000,0.000000,-0.000001,-0.828646,1.820256,0.906254,5
-9.505125,161.637355,31.159168,18.547195,-1.856875,-6.279941,36.053213,-45.167079,-59.413137,1.099090,-2.194927,0.662391,27.765008,4.843897,-25.817298,0.746206,-2.208143,0.862387,-12.969163,22.540017,-8.889905,1.235302,-2.997853,0.240406,-7.290772,32.678872,-40.083070,2.306876,-2.411439,-0.531980,-0.000001,0.000001,-0.000001,1.899835,-0.190667,-1.554465,-36.763464,-32.867294,-16.113862,7.349670,-5.465352,3.787696,-57.520572,-105.677190,30.395622,1.548341,-3.048930,-1.640561,-39.043627,-51.307622,-2.486118,-2.297693,0.020423,-0.791740,0.000000,0.000000,-0.000000,-1.340225,1.655600,0.689470,-44.237714,-50.269848,-6.278787,8.333762,-4.084779,2.332411,-49.129884,-93.043157,18.060183,0.719913,-3.709565,-2.036688,-44.554714,-52.571033,-8.866568,-2.660610,0.217243,-0.680988,0.000000,0.000000,-0.000000,-1.147888,1.867209,1.200927,-47.145989,-65.098224,4.624791,8.445824,-3.260171,0.426428,-41.644483,-88.999906,19.230286,-0.010184,-3.461801,-1.795205,-35.262054,-61.255403,7.129307,-2.634334,0.206913,-0.280913,0.000000,0.000000,-0.000000,-1.028694,1.918855,1.097230,-23.371474,-1.973675,17.673520,3.790190,-1.069051,-1.509413,-16.436839,-80.407619,-2.713890,4.295972,-1.539602,-0.118109,-34.006990,-77.109038,5.186401,-0.553247,-2.871843,-0.940132,-29.913425,-66.857478,12.537923,-2.021538,0.105733,-0.166474,0.000000,0.000000,0.000000,-0.826501,1.816329,0.916040,5
-9.167931,161.074543,30.611416,18.579458,-1.797750,-6.278678,36.669636,-45.448116,-59.158171,1.078943,-2.202998,0.668691,28.023477,4.777461,-25.632073,0.730716,-2.212312,0.864964,-12.926149,22.221630,-8.969781,1.208844,-3.008233,0.245189,-7.101237,32.164667,-40.320395,2.272883,-2.444809,-0.525952,0.000001,-0.000001,0.000001,1.888076,-0.231520,-1.563220,-36.052413,-33.056838,-16.166550,7.316736,-5.524596,3.765446,-56.916446,-105.309624,29.295885,1.519311,-3.074530,-1.619794,-38.472774,-51.558134,-2.671667,-2.300912,0.028232,-0.782095,0.000000,0.000000,-0.000000,-1.328762,1.669535,0.677957,-43.624641,-50.576172,-6.445423,8.304731,-4.165684,2.292525,-48.483650,-93.144533,17.498216,0.667263,-3.731876,-2.013729,-43.932989,-52.978837,-8.999626,-2.663276,0.242741,-0.661683,0.000000,-0.000000,0.000001,-1.118242,1.888438,1.195692,-46.590495,-65.423419,4.382398,8.410591,-3.355606,0.379968,-41.033083,-89.178038,18.868893,-0.067614,-3.473329,-1.771538,-34.710074,-61.345903,6.931027,-2.633872,0.240885,-0.257171,0.000000,0.000000,-0.000000,-0.996312,1.938286,1.092947,-23.580577,-1.971984,17.388569,3.764880,-1.123644,-1.532919,-15.669213,-80.706378,-2.679792,4.276658,-1.590466,-0.142551,-33.303980,-77.275757,4.987597,-0.601738,-2.869689,-0.916634,-29.408991,-66.825906,12.345055,-2.021376,0.132269,-0.148508,0.000000,-0.000000,0.000001,-0.798175,1.831466,0.911006,5
-9.007476,160.797167,30.366897,18.594494,-1.763426,-6.277572,36.890374,-45.571869,-59.074346,1.067854,-2.207287,0.672338,28.201967,4.782462,-25.502046,0.723275,-2.215314,0.863533,-12.904954,22.099502,-8.999356,1.197069,-3.012962,0.244901,-7.037802,31.980899,-40.434009,2.253937,-2.463955,-0.518080,-0.000001,0.000001,-0.000001,1.884141,-0.257064,-1.563975,-35.642128,-33.086418,-16.227949,7.296626,-5.556578,3.757401,-56.648162,-105.043725,28.644102,1.515075,-3.085829,-1.602179,-38.144175,-51.573156,-2.850435,-2.300629,0.025732,-0.783013,0.000000,0.000000,-0.000000,-1.329709,1.673605,0.665961,-43.286268,-50.664843,-6.594329,8.287448,-4.208891,2.276090,-48.218164,-93.276074,17.201820,0.644212,-3.743081,-2.000394,-43.616701,-53.134223,-9.149852,-2.664025,0.255927,-0.653650,0.000000,0.000000,-0.000000,-1.104402,1.899097,1.191666,-46.323115,-65.582641,4.210906,8.391134,-3.406103,0.360342,-40.765697,-89.258607,18.632631,-0.098132,-3.478476,-1.759973,-34.434492,-61.315766,6.756065,-2.633120,0.261477,-0.244440,-0.000000,0.000000,0.000000,-0.979329,1.948154,1.090751,-23.688391,-1.977837,17.239296,3.752125,-1.152149,-1.542999,-15.314064,-80.934392,-2.679980,4.266220,-1.617307,-0.152930,-32.976474,-77.318112,4.813212,-0.630514,-2.867012,-0.905599,-29.183907,-66.735515,12.168826,-2.020923,0.148319,-0.139212,0.000000,0.000000,0.000000,-0.784080,1.838737,0.908598,5
-8.850382,160.700216,30.199336,18.629409,-1.748053,-6.315711,36.921922,-45.635823,-59.064808,1.063292,-2.208779,0.674664,28.310749,4.776973,-25.452991,0.722853,-2.217208,0.859012,-12.894484,21.997643,-8.975733,1.197615,-3.012888,0.243140,-7.059463,31.878209,-40.507572,2.249720,-2.467801,-0.518105,0.000000,-0.000000,0.000000,1.880610,-0.262972,-1.567240,-35.320772,-33.088370,-16.202466,7.291244,-5.568922,3.749565,-56.396604,-104.879648,28.270342,1.514997,-3.092089,-1.590137,-37.882710,-51.574483,-2.922984,-2.300536,0.020555,-0.783438,0.000000,0.000000,-0.000000,-1.334654,1.673642,0.655899,-43.026525,-50.750399,-6.615580,8.281652,-4.227872,2.261966,-48.000803,-93.468420,17.111415,0.633516,-3.750402,-1.990073,-43.389822,-53.279839,-9.177451,-2.664946,0.264100,-0.646608,0.000000,-0.000000,0.000001,-1.094748,1.905982,1.189580,-46.117010,-65.763800,4.198356,8.382020,-3.430155,0.343925,-40.536659,-89.358103,18.549656,-0.116505,-3.482234,-1.751400,-34.209551,-61.283713,6.685044,-2.632776,0.273051,-0.235320,0.000000,0.000000,-0.000000,-0.970390,1.953779,1.088676,-23.741351,-1.980607,17.165187,3.744081,-1.167138,-1.551252,-15.058657,-81.156835,-2.628478,4.260926,-1.630371,-0.161559,-32.721297,-77.356114,4.745623,-0.650040,-2.865176,-0.897567,-28.998308,-66.643015,12.081217,-2.020601,0.158732,-0.132231,0.000000,-0.000000,0.000001,-0.775505,1.843220,0.906870,5
-8.753876,160.645303,30.064340,18.675531,-1.736812,-6.362563,36.898743,-45.677104,-59.081941,1.059431,-2.210044,0.676589,28.413780,4.755880,-25.427461,0.722939,-2.219228,0.853709,-12.866734,21.898129,-8.910000,1.199778,-3.012236,0.240530,-7.059530,31.856833,-40.576105,2.247747,-2.469629,-0.517959,-0.000000,-0.000000,0.000000,1.878652,-0.265971,-1.569081,-34.978491,-32.964871,-16.203631,7.285581,-5.579246,3.745224,-56.217893,-104.645420,27.888733,1.517994,-3.096466,-1.578722,-37.656085,-51.498071,-3.034368,-2.299681,0.014641,-0.786076,0.000000,0.000000,-0.000000,-1.341255,1.672389,0.645550,-42.808194,-50.752719,-6.669827,8.276171,-4.243257,2.253200,-47.864361,-93.634460,17.031497,0.626893,-3.756029,-1.981538,-43.219942,-53.356716,-9.232821,-2.665337,0.271526,-0.641904,0.000000,0.000000,-0.000000,-1.087020,1.911534,1.187756,-45.968579,-65.874042,4.161271,8.374587,-3.449285,0.333504,-40.382385,-89.435749,18.474124,-0.131181,-3.484844,-1.745160,-34.036387,-61.209437,6.598402,-2.632287,0.283139,-0.228776,0.000000,-0.000000,0.000001,-0.963790,1.958074,1.086822,-23.782525,-1.985721,17.107500,3.738216,-1.178800,-1.556569,-14.885277,-81.340663,-2.596945,4.256743,-1.640711,-0.167063,-32.537740,-77.348719,4.666775,-0.667169,-2.862977,-0.892002,-28.864563,-66.523642,11.984792,-2.020170,0.168021,-0.127240,0.000000,0.000000,0.000000,-0.768943,1.846630,0.905520,5
