WristRoot_Pitch,WristRoot_Yaw,WristRoot_Roll,WristRoot_X,WristRoot_Y,WristRoot_Z,Thumb0_Rotation_Pitch,Thumb0_Rotation_Yaw,Thumb0_Rotation_Roll,Thumb0_Location_X,Thumb0_Location_Y,Thumb0_Location_Z,Thumb1_Rotation_Pitch,Thumb1_Rotation_Yaw,Thumb1_Rotation_Roll,Thumb1_Location_X,Thumb1_Location_Y,Thumb1_Location_Z,Thumb2_Rotation_Pitch,Thumb2_Rotation_Yaw,Thumb2_Rotation_Roll,Thumb2_Location_X,Thumb2_Location_Y,Thumb2_Location_Z,Thumb3_Rotation_Pitch,Thumb3_Rotation_Yaw,Thumb3_Rotation_Roll,Thumb3_Location_X,Thumb3_Location_Y,Thumb3_Location_Z,Index1_Rotation_Pitch,Index1_Rotation_Yaw,Index1_Rotation_Roll,Index1_Location_X,Index1_Location_Y,Index1_Location_Z,Index2_Rotation_Pitch,Index2_Rotation_Yaw,Index2_Rotation_Roll,Index2_Location_X,Index2_Location_Y,Index2_Location_Z,Index3_Rotation_Pitch,Index3_Rotation_Yaw,Index3_Rotation_Roll,Index3_Location_X,Index3_Location_Y,Index3_Location_Z,Middle1_Rotation_Pitch,Middle1_Rotation_Yaw,Middle1_Rotation_Roll,Middle1_Location_X,Middle1_Location_Y,Middle1_Location_Z,Middle2_Rotation_Pitch,Middle2_Rotation_Yaw,Middle2_Rotation_Roll,Middle2_Location_X,Middle2_Location_Y,Middle2_Location_Z,Middle3_Rotation_Pitch,Middle3_Rotation_Yaw,Middle3_Rotation_Roll,Middle3_Location_X,Middle3_Location_Y,Middle3_Location_Z,Ring1_Rotation_Pitch,Ring1_Rotation_Yaw,Ring1_Rotation_Roll,Ring1_Location_X,Ring1_Location_Y,Ring1_Location_Z,Ring2_Rotation_Pitch,Ring2_Rotation_Yaw,Ring2_Rotation_Roll,Ring2_Location_X,Ring2_Location_Y,Ring2_Location_Z,Ring3_Rotation_Pitch,Ring3_Rotation_Yaw,Ring3_Rotation_Roll,Ring3_Location_X,Ring3_Location_Y,Ring3_Location_Z,Pinky0_Rotation_Pitch,Pinky0_Rotation_Yaw,Pinky0_Rotation_Roll,Pinky0_Location_X,Pinky0_Location_Y,Pinky0_Location_Z,Pinky1_Rotation_Pitch,Pinky1_Rotation_Yaw,Pinky1_Rotation_Roll,Pinky1_Location_X,Pinky1_Location_Y,Pinky1_Location_Z,Pinky2_Rotation_Pitch,Pinky2_Rotation_Yaw,Pinky2_Rotation_Roll,Pinky2_Location_X,Pinky2_Location_Y,Pinky2_Location_Z,Pinky3_Rotation_Pitch,Pinky3_Rotation_Yaw,Pinky3_Rotation_Roll,Pinky3_Location_X,Pinky3_Location_Y,Pinky3_Location_Z,Thumb_Tip_Rotation_Pitch,Thumb_Tip_Rotation_Yaw,Thumb_Tip_Rotation_Roll,Thumb_Tip_Location_X,Thumb_Tip_Location_Y,Thumb_Tip_Location_Z,Index_Tip_Rotation_Pitch,Index_Tip_Rotation_Yaw,Index_Tip_Rotation_Roll,Index_Tip_Location_X,Index_Tip_Location_Y,Index_Tip_Location_Z,Middle_Tip_Rotation_Pitch,Middle_Tip_Rotation_Yaw,Middle_Tip_Rotation_Roll,Middle_Tip_Location_X,Middle_Tip_Location_Y,Middle_Tip_Location_Z,Ring_Tip_Rotation_Pitch,Ring_Tip_Rotation_Yaw,Ring_Tip_Rotation_Roll,Ring_Tip_Location_X,Ring_Tip_Location_Y,Ring_Tip_Location_Z,Pinky_Tip_Rotation_Pitch,Pinky_Tip_Rotation_Yaw,Pinky_Tip_Rotation_Roll,Pinky_Tip_Location_X,Pinky_Tip_Location_Y,Pinky_Tip_Location_Z,Label
-26.693069,162.113492,79.881940,-26.414555,6.356671,10.878919,21.020986,45.287564,132.075076,-1.049700,-2.006900,-1.155400,38.664365,56.049930,169.327614,-2.681784,-3.655527,-2.046893,34.969959,81.503287,175.147402,-4.099555,-5.761416,-4.078160,42.074797,77.006656,-178.121402,-4.508709,-8.500204,-6.014999,3.374616,94.566405,93.691919,-2.355067,-9.599621,-0.731645,20.163120,95.637935,90.864130,-2.053634,-13.373752,-0.954901,26.513900,98.833172,90.214982,-1.829503,-15.644134,-1.792632,12.850300,100.552741,89.508168,-0.172591,-9.564658,-0.254315,34.062563,100.327342,87.990580,0.593886,-13.679057,-1.209031,41.192390,99.189720,81.588594,1.003034,-15.924362,-2.752076,14.539155,103.466777,84.585542,1.746524,-8.869377,-0.652931,33.897902,100.034832,78.818150,2.625588,-12.540317,-1.631894,44.277960,92.140128,72.737933,3.009921,-14.712252,-3.113930,5.368745,105.384584,66.581614,2.299857,-3.407354,-0.941983,19.986726,104.421636,76.000627,3.505404,-7.789581,-1.369118,41.822821,100.989736,67.829798,4.224431,-10.585624,-2.419147,45.797977,89.625123,60.052423,4.512977,-12.071489,-3.773568,42.074798,77.006656,-178.121402,-5.030849,-10.296746,-7.615592,26.513900,98.833172,90.214982,-1.486348,-17.662319,-2.699142,41.192390,99.189720,81.588595,1.360980,-17.841540,-4.314973,44.277960,92.140128,72.737933,3.151064,-16.551793,-4.707760,45.797977,89.625123,60.052423,4.541775,-13.684477,-5.263106,3
-26.600387,162.070875,79.710570,-26.373783,6.364098,10.839106,21.133479,45.403203,132.116578,-1.049700,-2.006900,-1.155400,38.710323,56.231276,169.475687,-2.677221,-3.657568,-2.051446,34.973853,81.860183,175.412958,-4.087414,-5.766579,-4.084748,42.092889,77.504136,-177.770401,-4.479481,-8.507732,-6.021776,3.521627,94.546642,93.695541,-2.355067,-9.599621,-0.731645,20.358772,95.621112,90.871299,-2.054982,-13.373273,-0.964615,26.701377,98.822653,90.234537,-1.831799,-15.640860,-1.810132,13.089957,100.514137,89.507305,-0.172591,-9.564658,-0.254315,34.284732,100.288461,87.988874,0.590379,-13.675610,-1.226528,41.382407,99.153006,81.588170,0.996931,-15.915288,-2.778411,15.008878,103.423439,84.578069,1.746524,-8.869377,-0.652931,34.419188,99.956665,78.766963,2.620919,-12.533052,-1.662807,44.806154,91.970773,72.571174,2.999940,-14.692138,-3.164849,5.368748,105.384599,66.581607,2.299857,-3.407354,-0.941983,20.550300,104.265508,75.919968,3.505405,-7.789581,-1.369118,42.650509,100.611854,67.567109,4.214231,-10.577427,-2.447494,46.650760,88.984975,59.485324,4.489339,-12.045777,-3.823638,42.092888,77.504136,-177.770401,-4.986179,-10.307741,-7.623436,26.701377,98.822653,90.234537,-1.489506,-17.656176,-2.723325,41.382407,99.153006,81.588170,1.352822,-17.827567,-4.347766,44.806154,91.970773,72.571173,3.135557,-16.517162,-4.775756,46.650760,88.984975,59.485324,4.501677,-13.636375,-5.337286,3
-26.818504,162.010794,79.528135,-26.311506,6.387338,10.776349,21.299438,45.574599,132.178461,-1.049700,-2.006900,-1.155400,38.783810,56.498491,169.695055,-2.670452,-3.660569,-2.058156,34.975892,82.278472,175.739563,-4.069353,-5.773957,-4.094711,42.111935,78.070391,-177.353637,-4.441389,-8.517832,-6.031838,3.863883,94.567503,93.707621,-2.355067,-9.599621,-0.731645,20.853242,95.650645,90.892245,-2.053725,-13.371708,-0.987223,27.229504,98.869040,90.288398,-1.830100,-15.631835,-1.852373,13.530893,100.487710,89.507764,-0.172591,-9.564658,-0.254315,34.804434,100.257664,87.985203,0.587098,-13.668483,-1.258676,41.922452,99.108311,81.565542,0.989923,-15.894436,-2.831142,15.785658,103.357169,84.565198,1.746524,-8.869377,-0.652931,35.340697,99.816373,78.670238,2.613438,-12.520403,-1.713777,45.773301,91.645885,72.249030,2.983005,-14.656328,-3.250880,5.368743,105.384589,66.581605,2.299857,-3.407354,-0.941983,21.543057,103.961400,75.769782,3.505404,-7.789581,-1.369117,43.865711,100.034481,67.181819,4.194811,-10.562599,-2.497170,47.893842,88.006409,58.635393,4.449965,-12.004578,-3.904687,42.111937,78.070391,-177.353637,-4.930502,-10.321642,-7.634687,27.229504,98.869040,90.288398,-1.487579,-17.638497,-2.784343,41.922452,99.108312,81.565542,1.342008,-17.792282,-4.418769,45.773301,91.645885,72.249030,3.108291,-16.454334,-4.892710,47.893842,88.006408,58.635392,4.438042,-13.561568,-5.452887,3
-27.250978,162.100171,79.253225,-26.255858,6.421422,10.699725,21.502210,45.785118,132.255091,-1.049700,-2.006900,-1.155400,38.865100,56.827836,169.964996,-2.662127,-3.664213,-2.066345,34.969215,82.801650,176.143358,-4.047275,-5.783186,-4.106494,42.121463,78.854330,-176.790402,-4.394269,-8.530567,-6.043298,4.319040,94.626427,93.725543,-2.355067,-9.599621,-0.731645,21.637353,95.724220,90.923411,-2.050019,-13.369254,-1.017276,28.122151,98.970445,90.373756,-1.824694,-15.617099,-1.913425,14.035337,100.468067,89.508735,-0.172591,-9.564658,-0.254315,35.508655,100.228392,87.978465,0.584055,-13.659889,-1.295382,42.682608,99.053631,81.525645,0.982281,-15.866860,-2.895532,16.534769,103.286826,84.551318,1.746524,-8.869377,-0.652931,36.318043,99.649149,78.557206,2.605693,-12.507654,-1.762747,46.825414,91.256645,71.872895,2.964578,-14.618491,-3.336601,5.368740,105.384591,66.581597,2.299857,-3.407354,-0.941983,22.442815,103.643132,75.623143,3.505405,-7.789581,-1.369117,44.918126,99.478499,66.826789,4.175136,-10.548830,-2.541902,48.975625,87.068250,57.845580,4.411988,-11.967474,-3.976077,42.121463,78.854330,-176.790402,-4.859065,-10.339836,-7.647230,28.122151,98.970445,90.373756,-1.481073,-17.608611,-2.876955,42.682608,99.053632,81.525646,1.329283,-17.744039,-4.508644,46.825414,91.256644,71.872894,3.077923,-16.386488,-5.011553,48.975625,87.068250,57.845580,4.377708,-13.494227,-5.553776,3
-27.615814,162.113688,79.031695,-26.201719,6.453166,10.617122,21.716204,46.009390,132.337462,-1.049700,-2.006900,-1.155400,38.944637,57.178847,170.252684,-2.653254,-3.668052,-2.074975,34.953562,83.353641,176.567663,-4.023857,-5.793090,-4.118636,42.118622,79.703445,-176.183984,-4.344428,-8.544212,-6.054683,4.812637,94.699555,93.745721,-2.355067,-9.599621,-0.731645,22.526372,95.814772,90.958831,-2.045421,-13.366269,-1.049846,29.155882,99.094455,90.472479,-1.817980,-15.599652,-1.980939,14.562394,100.449444,89.509784,-0.172591,-9.564658,-0.254315,36.303255,100.196911,87.969516,0.580955,-13.650544,-1.333646,43.555786,98.988993,81.474275,0.974002,-15.835680,-2.964743,17.263855,103.216046,84.536645,1.746524,-8.869377,-0.652931,37.311394,99.469206,78.434368,2.597900,-12.494670,-1.810227,47.908716,90.828393,71.461267,2.945612,-14.579393,-3.420963,5.368738,105.384591,66.581590,2.299857,-3.407354,-0.941983,23.291692,103.310382,75.476096,3.505405,-7.789581,-1.369117,45.906370,98.908093,66.470012,4.155028,-10.535461,-2.583838,49.994129,86.106669,57.050247,4.373882,-11.931744,-4.042607,42.118620,79.703445,-176.183984,-4.782871,-10.359389,-7.659360,29.155882,99.094456,90.472480,-1.473020,-17.572978,-2.980725,43.555786,98.988993,81.474275,1.315102,-17.688706,-4.606781,47.908717,90.828394,71.461267,3.046310,-16.315793,-5.129442,49.994129,86.106669,57.050247,4.317541,-13.429122,-5.647589,3
-27.936443,162.118930,78.858660,-26.152189,6.482245,10.537791,21.935777,46.241234,132.423402,-1.049700,-2.006900,-1.155400,39.019485,57.542078,170.550421,-2.644070,-3.671970,-2.083816,34.928533,83.921745,177.002117,-3.999740,-5.803399,-4.130778,42.101855,80.596408,-175.550074,-4.293107,-8.558405,-6.065616,5.320925,94.785050,93.767342,-2.355067,-9.599621,-0.731645,23.475372,95.919915,90.997150,-2.040049,-13.362842,-1.083361,30.281715,99.237817,90.580674,-1.810132,-15.580159,-2.051508,15.093020,100.431827,89.510871,-0.172591,-9.564658,-0.254315,37.155914,100.163731,87.958595,0.577857,-13.640769,-1.372077,44.508749,98.915122,81.412116,0.965311,-15.802000,-3.036033,17.966510,103.145780,84.521418,1.746524,-8.869377,-0.652931,38.303662,99.280012,78.303699,2.590162,-12.481619,-1.855807,49.003182,90.366901,71.019001,2.926439,-14.539636,-3.502903,5.368744,105.384588,66.581595,2.299857,-3.407354,-0.941983,24.092177,102.964667,75.329113,3.505404,-7.789581,-1.369118,46.836458,98.323648,66.111311,4.134579,-10.522525,-2.623141,50.953935,85.123046,56.249463,4.335724,-11.897353,-4.104659,42.101855,80.596408,-175.550074,-4.703804,-10.379765,-7.670627,30.281715,99.237817,90.580673,-1.463638,-17.532902,-3.090410,44.508749,98.915123,81.412117,1.299859,-17.628173,-4.709207,49.003183,90.366902,71.019002,3.014045,-16.243390,-5.244647,50.953935,85.123047,56.249464,4.257635,-13.366183,-5.734912,3
-28.175891,162.110207,78.698475,-26.108034,6.502853,10.474618,22.156796,46.476771,132.511517,-1.049700,-2.006900,-1.155400,39.088173,57.910670,170.852654,-2.634733,-3.675901,-2.092702,34.894460,84.496658,177.439412,-3.975359,-5.813927,-4.142691,42.070843,81.515522,-174.901328,-4.241178,-8.572882,-6.075880,5.828853,94.881132,93.789820,-2.355067,-9.599621,-0.731645,24.449842,96.037354,91.037369,-2.034016,-13.359054,-1.116824,31.458808,99.397444,90.695275,-1.801321,-15.559200,-2.122743,15.616817,100.415151,89.511934,-0.172591,-9.564658,-0.254315,38.039544,100.129359,87.946029,0.574792,-13.630767,-1.409920,45.511925,98.833112,81.340255,0.956391,-15.766712,-3.107539,18.643994,103.076132,84.505709,1.746524,-8.869377,-0.652931,39.286405,99.083761,78.166496,2.582494,-12.468535,-1.899584,50.097066,89.875875,70.549033,2.907211,-14.499494,-3.582203,5.368745,105.384601,66.581603,2.299857,-3.407354,-0.941983,24.853285,102.607092,75.181730,3.505405,-7.789581,-1.369118,47.719928,97.724323,65.748582,4.113822,-10.509900,-2.660283,51.865045,84.115253,55.438842,4.297483,-11.863958,-4.163049,42.070843,81.515522,-174.901328,-4.623266,-10.400548,-7.680790,31.458808,99.397444,90.695276,-1.453139,-17.489565,-3.202115,45.511925,98.833111,81.340255,1.283910,-17.564072,-4.812992,50.097066,89.875875,70.549033,2.981463,-16.169891,-5.356572,51.865045,84.115253,55.438842,4.197915,-13.304852,-5.816892,3
-28.641326,162.085257,78.638423,-26.101646,6.554018,10.440627,22.246635,46.573497,132.547924,-1.049700,-2.006900,-1.155400,39.086662,58.067490,170.977777,-2.630901,-3.677505,-2.096310,34.857207,84.855317,177.682940,-3.965699,-5.819238,-4.146232,42.009835,82.392653,-174.341083,-4.214355,-8.581055,-6.077619,6.193968,95.051484,93.811493,-2.355067,-9.599621,-0.731645,25.407858,96.230980,91.075630,-2.023063,-13.355561,-1.140860,32.716861,99.636834,90.811814,-1.784793,-15.537882,-2.183629,16.055395,100.437808,89.514502,-0.172591,-9.564658,-0.254315,39.061911,100.124579,87.928301,0.574775,-13.621653,-1.441532,46.786051,98.744212,81.220610,0.950810,-15.727471,-3.177595,19.093346,103.040170,84.495514,1.746524,-8.869377,-0.652931,40.080761,98.921795,78.044185,2.578003,-12.459423,-1.928524,51.055152,89.415177,70.101572,2.893329,-14.468052,-3.639495,5.368740,105.384592,66.581597,2.299857,-3.407354,-0.941983,25.134527,102.393637,75.115372,3.505405,-7.789581,-1.369117,48.080123,97.388293,65.576203,4.102315,-10.505925,-2.673950,52.280708,83.548173,55.028957,4.276813,-11.851641,-4.185276,42.009833,82.392652,-174.341083,-4.569105,-10.415270,-7.681331,32.716861,99.636834,90.811814,-1.432796,-17.443011,-3.305754,46.786051,98.744212,81.220610,1.269918,-17.487303,-4.923305,51.055151,89.415176,70.101571,2.955572,-16.108626,-5.441930,52.280708,83.548174,55.028958,4.165183,-13.279335,-5.849762,3
-29.022762,162.096871,78.568317,-26.097428,6.631884,10.383952,22.270184,46.598442,132.557349,-1.049700,-2.006900,-1.155400,39.054116,58.115022,171.011824,-2.629908,-3.677912,-2.097255,34.825386,85.175576,177.874409,-3.963543,-5.821740,-4.145744,41.941036,83.301411,-173.791455,-4.196849,-8.585972,-6.075590,6.561011,95.236583,93.834157,-2.355067,-9.599621,-0.731645,26.346058,96.440341,91.115605,-2.011177,-13.351782,-1.165007,33.981347,99.895339,90.932276,-1.766882,-15.515958,-2.243581,16.273664,100.460506,89.516310,-0.172591,-9.564658,-0.254315,39.739008,100.125634,87.914323,0.575556,-13.616880,-1.457239,47.690275,98.672270,81.119355,0.947997,-15.702347,-3.218459,19.266386,103.032933,84.491933,1.746524,-8.869377,-0.652931,40.519755,98.827950,77.969174,2.576677,-12.455759,-1.939647,51.633515,89.117163,69.810639,2.886692,-14.451888,-3.666147,5.368748,105.384594,66.581608,2.299857,-3.407354,-0.941983,25.250044,102.273985,75.083685,3.505405,-7.789581,-1.369118,48.245939,97.202548,65.488450,4.096081,-10.504590,-2.679555,52.474268,83.248747,54.825535,4.265666,-11.846519,-4.194802,41.941036,83.301411,-173.791455,-4.523140,-10.426737,-7.677840,33.981347,99.895340,90.932276,-1.410838,-17.394691,-3.408133,47.690275,98.672270,81.119356,1.260885,-17.435034,-4.992223,51.633515,89.117163,69.810639,2.941410,-16.074183,-5.485292,52.474268,83.248747,54.825535,4.147656,-13.267926,-5.864221,3
-29.349888,162.099029,78.468646,-26.092792,6.707466,10.321827,22.287251,46.617234,132.564434,-1.049700,-2.006900,-1.155400,39.020420,58.151489,171.036885,-2.629167,-3.678226,-2.097940,34.795606,85.510714,178.073077,-3.962073,-5.823926,-4.144944,41.864898,84.269468,-173.208631,-4.179284,-8.590474,-6.073348,6.940303,95.443368,93.858537,-2.355067,-9.599621,-0.731645,27.312211,96.673639,91.158830,-1.997918,-13.347578,-1.189940,35.299041,100.183811,91.062203,-1.746962,-15.492371,-2.305085,16.478243,100.489054,89.518347,-0.172591,-9.564658,-0.254315,40.399203,100.132447,87.900294,0.576788,-13.612257,-1.471944,48.590502,98.600283,81.011581,0.945882,-15.677565,-3.257457,19.442102,103.026034,84.488262,1.746524,-8.869377,-0.652931,40.958181,98.733758,77.892926,2.575352,-12.451997,-1.950931,52.211368,88.811058,69.510779,2.880070,-14.435517,-3.692837,5.368739,105.384587,66.581595,2.299857,-3.407354,-0.941983,25.396015,102.149987,75.047157,3.505404,-7.789581,-1.369117,48.436578,97.009501,65.392293,4.089499,-10.502589,-2.686629,52.682070,82.941564,54.609957,4.253945,-11.840071,-4.206368,41.864900,84.269468,-173.208631,-4.475124,-10.437810,-7.673947,35.299041,100.183812,91.062204,-1.386511,-17.342508,-3.513245,48.590502,98.600282,81.011580,1.252584,-17.382777,-5.058715,52.211368,88.811056,69.510778,2.927251,-16.039341,-5.528498,52.682069,82.941563,54.609956,4.129503,-13.254711,-5.881060,3
