R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-93.282560,-12.796747,115.828284,-92.358231,-17.933045,113.550403,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-29.181717,-34.409748,65.074904,-40.550738,-28.732067,61.841465,4.368750,-13.239877,36.539884,1.783919,-14.480856,32.063380,4.096178,-22.740721,-10.432609,1.784578,-35.402436,-10.202837,0.394691,-45.103982,8.180518,0.177343,-43.604587,8.314899,4.918295,-44.172505,1.832236,7.808333,-63.081174,-3.534067,-2.918607,-108.237723,0.252567,-2.920273,-107.842082,0.231617,0.088340,-68.947754,-2.331545,0.095303,-68.776837,-2.334874,3.215466,-62.082235,-6.905373,2.156417,-77.212362,-10.456636,-1.524420,-105.176982,-0.259684,-1.472068,-96.855624,-0.460285,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.671088,-69.831886,-12.985966,-3.464154,-82.938130,-13.323623,-5.318665,-98.862164,-1.008143,-5.169623,-91.991159,-1.484190,-4.514963,-69.629098,-1.132390,-4.533864,-70.589358,-1.129728,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.089260,-75.940157,4.105437,7.312336,-83.407204,4.477346,-6.638262,-86.727331,-7.691641,-5.828339,-80.844391,-8.064503,-3.660336,-68.338554,2.836469,-3.685968,-67.819084,2.826925,0
-0.040393,-0.062740,0.057244,-0.011068,0.033949,0.010317,-0.134883,0.023624,-0.777359,0.086062,-0.088025,-0.274476,-29.202596,-34.401715,65.071166,-40.563112,-28.723893,61.836157,4.431847,-13.192158,36.528274,1.818349,-14.458690,32.055403,4.083682,-22.808856,-10.432736,1.774934,-35.456018,-10.200793,0.350490,-44.797059,8.208474,0.176207,-43.596856,8.315575,4.908618,-44.043432,1.844123,7.814280,-63.114850,-3.551365,-2.918607,-108.237723,0.252567,-2.920225,-107.858246,0.232460,0.090348,-68.898709,-2.332492,0.095005,-68.784369,-2.334744,3.220840,-62.009110,-6.895863,2.152674,-77.241153,-10.463124,-1.524975,-105.301407,-0.256619,-1.472172,-96.869086,-0.459976,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.637337,-69.681687,-12.986970,-3.475164,-82.982042,-13.316926,-5.320845,-98.988957,-0.999189,-5.169402,-91.982107,-1.484793,-4.515358,-69.648889,-1.132338,-4.533447,-70.568281,-1.129794,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.075624,-75.727705,4.136043,7.314989,-83.467052,4.481843,-6.667703,-86.946982,-7.676112,-5.830180,-80.857522,-8.063752,-3.661962,-68.305485,2.835865,-3.688543,-67.766868,2.825969,0
-0.041849,-0.048105,0.054705,-0.011849,0.030673,0.008280,-0.101935,0.052172,-0.594338,0.069014,-0.070192,-0.235120,-29.225117,-34.393154,65.067191,-40.571678,-28.718454,61.832629,4.491867,-13.146655,36.516184,1.851953,-14.437178,32.049039,4.067148,-22.898786,-10.432900,1.765714,-35.507374,-10.198811,0.308209,-44.504470,8.234912,0.173843,-43.580642,8.316992,4.896399,-43.926325,1.857782,7.820443,-63.157866,-3.571033,-2.918607,-108.237723,0.252567,-2.920156,-107.873528,0.233281,0.092816,-68.837822,-2.333691,0.094621,-68.793341,-2.334560,3.223611,-61.942885,-6.883818,2.148342,-77.276409,-10.471943,-1.525544,-105.427167,-0.253551,-1.472270,-96.880953,-0.459693,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.604774,-69.533898,-12.986473,-3.487838,-83.035120,-13.312455,-5.323016,-99.113715,-0.990392,-5.168999,-91.966561,-1.485848,-4.515704,-69.666622,-1.132291,-4.532946,-70.542853,-1.129867,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.061298,-75.508823,4.168116,7.318999,-83.539547,4.481410,-6.698428,-87.176714,-7.659762,-5.831350,-80.865789,-8.063286,-3.664127,-68.261846,2.835077,-3.691477,-67.707219,2.824857,0
-0.038107,-0.018804,0.034965,0.000122,0.007487,0.001328,-0.047821,-0.028369,-0.423204,-0.127591,-0.195679,-0.234951,-29.252386,-34.382883,65.062435,-40.577174,-28.714728,61.830203,4.549182,-13.103122,36.502320,1.884547,-14.416448,32.044079,4.047084,-23.008082,-10.433058,1.756853,-35.556700,-10.196902,0.267325,-44.222378,8.260187,0.170273,-43.556278,8.319131,4.882008,-43.817837,1.873023,7.826748,-63.209471,-3.592820,-2.918607,-108.237723,0.252567,-2.920096,-107.888025,0.234053,0.095732,-68.766323,-2.335089,0.094213,-68.803558,-2.334358,3.224162,-61.881875,-6.869422,2.143493,-77.317506,-10.483019,-1.526097,-105.553410,-0.250443,-1.472344,-96.891432,-0.459450,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.573201,-69.388251,-12.984775,-3.502031,-83.096375,-13.309776,-5.325126,-99.236638,-0.981720,-5.168467,-91.946200,-1.487233,-4.516012,-69.682556,-1.132253,-4.532374,-70.513524,-1.129950,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.046482,-75.285809,4.201170,7.324184,-83.623304,4.476730,-6.729910,-87.412823,-7.642814,-5.831934,-80.869930,-8.063064,-3.666771,-68.208288,2.834099,-3.694733,-67.641259,2.823627,0
-0.036222,-0.017974,0.034017,0.000082,0.007231,0.001659,-0.050024,0.014391,-0.387100,-0.097914,-0.153690,-0.200947,-29.272059,-34.375314,65.058909,-40.551936,-28.731258,61.840937,4.609466,-13.057689,36.491500,1.912705,-14.400077,32.052342,4.027844,-23.112819,-10.433174,1.746241,-35.615675,-10.194606,0.240514,-44.037866,8.276640,0.168126,-43.541555,8.320415,4.883792,-43.757420,1.873053,7.827909,-63.227498,-3.598663,-2.918607,-108.237723,0.252567,-2.920030,-107.905189,0.234956,0.097938,-68.712270,-2.336151,0.094098,-68.806579,-2.334305,3.232659,-61.794893,-6.861742,2.140698,-77.346428,-10.493012,-1.526577,-105.662062,-0.247771,-1.472578,-96.919505,-0.458786,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.539272,-69.227802,-12.980929,-3.512813,-83.146046,-13.311806,-5.326840,-99.337947,-0.974551,-5.168337,-91.941495,-1.487560,-4.516118,-69.687426,-1.132242,-4.531952,-70.491783,-1.130015,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.029311,-75.058941,4.241746,7.328850,-83.706154,4.475844,-6.758733,-87.629215,-7.627193,-5.831664,-80.868063,-8.063165,-3.668563,-68.172138,2.833451,-3.697248,-67.590101,2.822671,0
-0.033566,0.029734,0.032614,0.008621,0.008823,0.007589,-0.035000,-0.131112,-0.023692,0.073012,-0.113456,-0.180119,-29.292208,-34.367554,65.055286,-40.522103,-28.750556,61.853459,4.669124,-13.012632,36.480532,1.939395,-14.384942,32.062713,4.007282,-23.224698,-10.433249,1.735523,-35.675330,-10.192262,0.215101,-43.863350,8.292079,0.165537,-43.524016,8.321945,4.887151,-43.704865,1.871545,7.828293,-63.242629,-3.602548,-2.918607,-108.237723,0.252567,-2.919954,-107.922439,0.235866,0.100219,-68.656670,-2.337236,0.094001,-68.808913,-2.334260,3.241287,-61.706161,-6.853868,2.138104,-77.375857,-10.504121,-1.527022,-105.767985,-0.245174,-1.472824,-96.950511,-0.458057,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.505656,-69.066126,-12.975806,-3.523662,-83.197443,-13.315618,-5.328489,-99.435552,-0.967659,-5.168217,-91.936201,-1.487914,-4.516161,-69.689459,-1.132212,-4.531498,-70.469530,-1.130087,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.011436,-74.830176,4.283920,7.334048,-83.794563,4.473394,-6.787376,-87.844836,-7.611506,-5.830949,-80.862999,-8.063441,-3.670399,-68.134824,2.832758,-3.699768,-67.538878,2.821711,0
-0.033203,0.018796,0.033145,0.006313,0.008079,0.006589,-0.039439,-0.062130,-0.124480,0.052291,-0.094228,-0.160349,-29.292841,-34.367455,65.055257,-40.494414,-28.768537,61.865111,4.784278,-12.927285,36.474911,1.985492,-14.357415,32.070584,3.997560,-23.277707,-10.433268,1.727227,-35.721415,-10.190485,0.179389,-43.618678,8.313640,0.163193,-43.507855,8.323353,4.883293,-43.565754,1.878491,7.830732,-63.251067,-3.608553,-2.918607,-108.237723,0.252567,-2.919904,-107.936156,0.236595,0.101896,-68.615628,-2.338021,0.093879,-68.811762,-2.334214,3.257404,-61.588251,-6.851075,2.136566,-77.386421,-10.505958,-1.527252,-105.821042,-0.243879,-1.473099,-96.982866,-0.457290,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.481990,-68.964263,-12.978004,-3.529572,-83.223903,-13.315794,-5.330233,-99.539337,-0.960328,-5.168816,-91.959403,-1.486343,-4.516225,-69.693743,-1.132240,-4.531208,-70.454263,-1.130128,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.004797,-74.720174,4.297271,7.336783,-83.854385,4.477726,-6.804520,-87.974102,-7.602042,-5.831703,-80.868341,-8.063157,-3.672161,-68.099183,2.832104,-3.701570,-67.502009,2.821007,0
-0.032290,0.011822,0.032900,0.004705,0.007476,0.005833,-0.042468,-0.026637,-0.180607,0.038285,-0.080837,-0.146084,-29.289282,-34.368665,65.055795,-40.462401,-28.789371,61.878615,4.911400,-12.832997,36.470633,2.035649,-14.327734,32.080001,3.989724,-23.320382,-10.433298,1.719471,-35.764655,-10.188771,0.142889,-43.369159,8.335466,0.160657,-43.490553,8.324879,4.878653,-43.413507,1.886389,7.833197,-63.256562,-3.613977,-2.918607,-108.237723,0.252567,-2.919854,-107.949054,0.237279,0.103448,-68.577422,-2.338769,0.093791,-68.814300,-2.334160,3.275239,-61.463569,-6.849368,2.135345,-77.393109,-10.506238,-1.527430,-105.864141,-0.242809,-1.473353,-97.016909,-0.456488,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.459995,-68.872119,-12.981276,-3.534378,-83.245638,-13.316176,-5.331949,-99.642217,-0.953062,-5.169611,-91.990718,-1.484219,-4.516305,-69.697029,-1.132211,-4.530937,-70.440448,-1.130160,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,6.999677,-74.626084,4.306662,7.339231,-83.909893,4.482889,-6.819852,-88.089913,-7.593537,-5.832546,-80.874252,-8.062815,-3.673904,-68.063651,2.831458,-3.703224,-67.468460,2.820374,0
-0.042899,0.080513,-0.001016,-0.003323,-0.008416,-0.008575,-0.044227,-0.043978,0.394439,0.065183,-0.012728,-0.014377,-29.282367,-34.371416,65.057096,-40.426090,-28.812840,61.893812,5.049291,-12.730968,36.467465,2.089490,-14.295713,32.090891,3.983382,-23.354879,-10.433303,1.712090,-35.805717,-10.187149,0.105404,-43.113725,8.357635,0.157972,-43.472142,8.326487,4.873295,-43.249304,1.895208,7.835698,-63.259542,-3.618932,-2.918607,-108.237723,0.252567,-2.919787,-107.961252,0.237927,0.104908,-68.541528,-2.339448,0.093683,-68.816634,-2.334100,3.294685,-61.332791,-6.848729,2.134376,-77.396532,-10.505127,-1.527589,-105.899817,-0.241943,-1.473655,-97.052545,-0.455641,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.438963,-68.786753,-12.985590,-3.538304,-83.263563,-13.316745,-5.333638,-99.745080,-0.945764,-5.170635,-92.029986,-1.481558,-4.516354,-69.699446,-1.132210,-4.530688,-70.427902,-1.130197,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,6.995695,-74.542751,4.313098,7.341405,-83.961954,4.488779,-6.833983,-88.196733,-7.585676,-5.833456,-80.880716,-8.062451,-3.675658,-68.028199,2.830808,-3.704749,-67.437610,2.819801,0
-0.044127,0.061564,0.001275,-0.006741,-0.009582,-0.010759,-0.035286,-0.021133,0.192748,0.049180,-0.019829,-0.034627,-29.271053,-34.375651,65.059060,-40.409205,-28.823823,61.900918,5.153397,-12.654000,36.467737,2.108700,-14.284541,32.096466,3.978239,-23.382922,-10.433306,1.694068,-35.906099,-10.183175,0.092440,-43.025595,8.365257,0.163870,-43.512489,8.322951,4.885842,-43.020896,1.890654,7.842177,-63.288165,-3.636247,-2.918607,-108.237723,0.252567,-2.919856,-107.950259,0.237346,0.104281,-68.557104,-2.339146,0.093808,-68.813654,-2.334175,3.333411,-61.164048,-6.869806,2.133506,-77.408416,-10.510297,-1.527877,-105.967539,-0.240274,-1.473808,-97.075359,-0.455110,-8.474451,-70.795422,-6.992003,-8.474442,-70.795450,-6.992022,-0.414274,-68.718487,-13.006075,-3.540170,-83.271344,-13.315960,-5.335626,-99.865782,-0.937242,-5.171038,-92.045551,-1.480489,-4.516811,-69.723109,-1.132150,-4.530732,-70.430334,-1.130199,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,6.999404,-74.509953,4.297725,7.338875,-83.987257,4.520572,-6.840595,-88.246727,-7.581978,-5.835228,-80.893335,-8.061727,-3.676124,-68.018894,2.830632,-3.703414,-67.464838,2.820315,0
