R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-93.320162,14.289302,56.266847,-84.084920,-3.197874,61.827420,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-34.626614,-32.066115,63.867826,-48.598485,-22.116589,57.178491,-2.122925,-17.523131,34.927904,15.257367,-6.723650,28.330592,0.214767,-44.314848,-9.739069,2.522383,-31.328355,-10.332535,-1.230347,-34.386113,9.012620,-4.145589,-16.799444,9.684372,4.479438,-16.756025,2.883838,9.843275,-27.351204,0.130921,-1.907849,-55.103758,-2.275444,-1.507834,-45.677618,-2.576091,1.761629,-30.974103,-2.529249,2.131053,-22.436885,-2.419646,5.152487,-61.587791,-9.934305,7.213310,-40.364246,-6.597215,-1.527186,-105.806185,-0.244234,-0.520893,-41.967687,-1.371376,-8.474426,-70.795399,-6.992026,-1.693948,-17.372021,-6.465772,-1.741578,-76.667195,-14.400477,6.324019,-38.350867,-11.622819,-5.261518,-95.906101,-1.215109,-2.400541,-38.458572,-4.012932,-4.560850,-71.964701,-1.125364,-3.643418,-22.758957,-0.883143,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.252265,-79.704713,3.874463,-0.657002,-28.794286,10.822314,-6.656976,-86.866888,-7.681796,1.828267,-28.651476,-7.469058,-3.720913,-67.108440,2.813537,-5.428933,-19.893097,1.105340,2
-0.014952,0.006768,0.005985,0.038289,0.010221,0.025440,0.025570,0.061996,-0.059503,0.029009,0.330398,-0.119342,-34.629564,-32.064718,63.867046,-48.630168,-22.083601,57.153759,-2.125175,-17.524421,34.927000,15.284845,-6.711256,28.316982,0.206390,-44.363692,-9.735872,2.516179,-31.362446,-10.331668,-1.221945,-34.439056,9.009270,-4.074467,-17.217480,9.678908,4.495650,-16.715500,2.881315,9.834675,-27.407676,0.126964,-1.908518,-55.120278,-2.274860,-1.508431,-45.691161,-2.575695,1.760872,-30.991291,-2.529406,2.132107,-22.411543,-2.419245,5.172637,-61.446653,-9.915248,7.194269,-40.477530,-6.606213,-1.527044,-105.772763,-0.245056,-0.521846,-42.007432,-1.371100,-8.474426,-70.795399,-6.992026,-1.694077,-17.373163,-6.465840,-1.711635,-76.546739,-14.402001,6.312332,-38.397274,-11.626016,-5.261776,-95.918522,-1.214246,-2.400343,-38.455700,-4.012991,-4.560273,-71.934873,-1.125469,-3.643280,-22.749924,-0.883020,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.250189,-79.595359,3.867177,-0.648631,-28.863669,10.822244,-6.656890,-86.866173,-7.681845,1.830392,-28.635342,-7.467826,-3.721922,-67.087739,2.813134,-5.428877,-19.895774,1.105486,2
-0.004437,-0.010491,0.000155,0.031124,0.015687,0.007112,-0.087150,0.092750,-0.154179,-0.168245,0.189466,-0.362940,-34.633267,-32.062842,63.865986,-48.654864,-22.057909,57.134492,-2.130693,-17.527875,34.926212,15.315964,-6.696261,28.306856,0.197004,-44.418419,-9.732267,2.508977,-31.402029,-10.330649,-1.213340,-34.493442,9.005812,-4.003105,-17.637111,9.672908,4.513519,-16.681946,2.878159,9.824521,-27.469583,0.122982,-1.909390,-55.142373,-2.274077,-1.509148,-45.707081,-2.575254,1.760030,-31.010620,-2.529607,2.133470,-22.379298,-2.418730,5.192142,-61.312180,-9.897632,7.168967,-40.622821,-6.617028,-1.526905,-105.739406,-0.245884,-0.522966,-42.054297,-1.370766,-8.474426,-70.795399,-6.992026,-1.694301,-17.375205,-6.465990,-1.682418,-76.430273,-14.404269,6.296595,-38.447455,-11.627369,-5.262059,-95.931297,-1.213372,-2.401015,-38.465324,-4.012810,-4.559599,-71.901532,-1.125578,-3.643275,-22.750470,-0.883029,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.248739,-79.491068,3.857927,-0.644302,-28.935266,10.824400,-6.656672,-86.864576,-7.681956,1.831486,-28.626933,-7.467165,-3.723098,-67.063720,2.812682,-5.428607,-19.909900,1.106181,2
-0.004962,-0.018842,0.000223,0.062763,0.021455,0.034754,-0.151050,0.140728,-0.266714,-0.061575,0.434401,-0.254129,-34.631100,-32.063963,63.866621,-48.599065,-22.116034,57.178071,-2.128931,-17.526948,34.926871,15.339491,-6.677800,28.334348,0.186756,-44.478123,-9.728327,2.485747,-31.529591,-10.327352,-1.207438,-34.530625,9.003461,-3.922980,-18.108460,9.665530,4.533039,-16.632040,2.875214,9.817187,-27.574735,0.111737,-1.909355,-55.141472,-2.274105,-1.509680,-45.719142,-2.574911,1.759855,-31.014392,-2.529636,2.135676,-22.327021,-2.417875,5.206006,-61.214289,-9.884312,7.137015,-40.799497,-6.629145,-1.526807,-105.713501,-0.246508,-0.525546,-42.161881,-1.369997,-8.474426,-70.795399,-6.992026,-1.698498,-17.412186,-6.468510,-1.663470,-76.357457,-14.407850,6.263001,-38.532124,-11.624763,-5.262228,-95.939905,-1.212763,-2.408055,-38.565718,-4.010831,-4.558902,-71.865272,-1.125696,-3.644097,-22.803601,-0.883700,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.248708,-79.412962,3.846079,-0.637251,-29.075576,10.829400,-6.655863,-86.858636,-7.682370,1.820337,-28.712045,-7.473739,-3.724497,-67.035461,2.812146,-5.426446,-20.022287,1.111680,2
0.000022,-0.000015,0.000023,0.000002,0.000101,-0.000022,-0.000427,0.000175,-0.000169,-0.001255,0.000447,-0.001636,-34.623628,-32.067796,63.868782,-48.471788,-22.247667,57.276630,-2.126798,-17.526239,34.929635,15.393660,-6.635252,28.397086,0.165124,-44.604311,-9.719962,2.412305,-31.933146,-10.316601,-1.197434,-34.593808,8.999420,-3.769330,-19.013297,9.649543,4.575320,-16.536885,2.868489,9.800367,-27.891942,0.075457,-1.908990,-55.131990,-2.274435,-1.510860,-45.745253,-2.574175,1.759856,-31.014567,-2.529654,2.141227,-22.195460,-2.415749,5.230478,-61.046172,-9.862585,7.061566,-41.187632,-6.651242,-1.526599,-105.667885,-0.247639,-0.531975,-42.431096,-1.368066,-8.474426,-70.795399,-6.992026,-1.710689,-17.519652,-6.475861,-1.631378,-76.239106,-14.417818,6.165165,-38.791482,-11.619771,-5.262540,-95.954315,-1.211769,-2.425167,-38.809972,-4.005993,-4.557374,-71.787208,-1.125964,-3.646203,-22.941003,-0.885438,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.249992,-79.278407,3.819705,-0.624431,-29.432111,10.845028,-6.653527,-86.841171,-7.683601,1.796678,-28.892300,-7.487627,-3.727636,-66.971283,2.810900,-5.422039,-20.248790,1.122772,2
0.008402,-0.006495,0.008613,0.008884,0.033844,0.006586,-0.160250,0.059173,-0.071809,-0.328889,0.216875,-0.443261,-34.623580,-32.067695,63.868716,-48.471410,-22.247927,57.276826,-2.126798,-17.526239,34.929635,15.393663,-6.635075,28.397214,0.165067,-44.604419,-9.719883,2.412172,-31.933941,-10.316567,-1.197434,-34.593808,8.999420,-3.769135,-19.014574,9.649512,4.575320,-16.536885,2.868489,9.800411,-27.892345,0.075383,-1.908990,-55.131990,-2.274435,-1.510860,-45.745253,-2.574175,1.759856,-31.014567,-2.529654,2.141245,-22.195143,-2.415752,5.230515,-61.045985,-9.862547,7.061502,-41.188091,-6.651285,-1.526599,-105.667885,-0.247639,-0.531980,-42.431636,-1.368079,-8.474426,-70.795399,-6.992026,-1.710714,-17.519838,-6.475850,-1.631317,-76.238930,-14.417817,6.165036,-38.791847,-11.619761,-5.262540,-95.954315,-1.211769,-2.425202,-38.810651,-4.005974,-4.557374,-71.787208,-1.125964,-3.646217,-22.941360,-0.885444,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.249996,-79.278203,3.819660,-0.624401,-29.432986,10.845075,-6.653527,-86.841171,-7.683601,1.796647,-28.892560,-7.487652,-3.727636,-66.971283,2.810900,-5.422030,-20.249409,1.122811,2
0.008305,-0.006541,0.008098,0.014440,0.029907,0.016806,-0.154288,0.052869,-0.072573,-0.215044,0.243805,-0.305551,-34.622193,-32.068333,63.869072,-48.327739,-22.395505,57.387095,-2.129438,-17.528300,34.930613,15.426480,-6.603042,28.466555,0.155212,-44.662271,-9.716112,2.346796,-32.293605,-10.306537,-1.190859,-34.635238,8.996781,-3.686592,-19.501294,9.639891,4.590627,-16.539538,2.864731,9.821705,-28.065440,0.041355,-1.909867,-55.154536,-2.273644,-1.509611,-45.717505,-2.574943,1.759442,-31.023754,-2.529716,2.146472,-22.071052,-2.413737,5.237441,-60.977151,-9.848813,7.037203,-41.365192,-6.669099,-1.526471,-105.640255,-0.248313,-0.537688,-42.670626,-1.366342,-8.474426,-70.795399,-6.992026,-1.720362,-17.604859,-6.481654,-1.614161,-76.170344,-14.418899,6.104839,-38.951526,-11.616320,-5.262618,-95.958148,-1.211497,-2.450115,-39.166902,-3.998772,-4.556811,-71.758076,-1.126064,-3.648969,-23.118655,-0.887680,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.251086,-79.197481,3.802690,-0.618878,-29.860364,10.869637,-6.654013,-86.844810,-7.683353,1.776327,-29.047011,-7.499480,-3.728436,-66.954840,2.810584,-5.415552,-20.578976,1.138904,2
0.007814,0.000053,0.011755,-0.003457,0.030994,-0.030720,-0.066474,0.033106,0.004791,-0.453858,0.118531,-0.499598,-34.620436,-32.069161,63.869535,-48.142223,-22.583630,57.527311,-2.132685,-17.530582,34.931729,15.462147,-6.565051,28.555494,0.145415,-44.719489,-9.712303,2.276424,-32.681066,-10.295287,-1.184410,-34.676056,8.994166,-3.606100,-19.976390,9.629846,4.605203,-16.546969,2.860958,9.848526,-28.248476,0.003147,-1.910914,-55.180747,-2.272715,-1.507994,-45.681524,-2.575972,1.759039,-31.033217,-2.529822,2.152239,-21.934105,-2.411495,5.243450,-60.912632,-9.835207,7.013802,-41.538985,-6.686880,-1.526354,-105.613003,-0.248983,-0.543776,-42.926451,-1.364458,-8.474426,-70.795399,-6.992026,-1.731231,-17.700580,-6.488156,-1.597701,-76.104486,-14.419803,6.038479,-39.122582,-11.611004,-5.262699,-95.961058,-1.211285,-2.479210,-39.583917,-3.990146,-4.556254,-71.729906,-1.126165,-3.652263,-23.331924,-0.890347,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.252493,-79.118490,3.784827,-0.617431,-30.339828,10.900730,-6.654658,-86.849616,-7.683011,1.750268,-29.244946,-7.514576,-3.729175,-66.939876,2.810289,-5.407755,-20.970202,1.157992,2
0.007637,-0.000355,0.012356,0.003071,0.028451,-0.016952,-0.060866,0.026449,-0.001055,-0.307657,0.169191,-0.351308,-34.630195,-32.064343,63.866829,-47.976335,-22.750153,57.651102,-2.129688,-17.527521,34.927346,15.526760,-6.512512,28.636615,0.137972,-44.763027,-9.709376,2.207516,-33.060872,-10.283787,-1.177893,-34.717324,8.991517,-3.509153,-20.549279,9.616819,4.599066,-16.571295,2.861533,9.918376,-28.395521,-0.050695,-1.913598,-55.248071,-2.270338,-1.502052,-45.549390,-2.579716,1.757042,-31.078135,-2.530252,2.159316,-21.765861,-2.408722,5.249886,-60.848260,-9.822356,7.026036,-41.591445,-6.707548,-1.526197,-105.576222,-0.249882,-0.547908,-43.099284,-1.363170,-8.474426,-70.795399,-6.992026,-1.737047,-17.751773,-6.491620,-1.579638,-76.034017,-14.422242,6.009086,-39.180939,-11.604377,-5.262733,-95.962866,-1.211164,-2.498013,-39.853982,-3.984441,-4.555654,-71.700109,-1.126274,-3.654856,-23.498736,-0.892422,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.253983,-79.056909,3.769234,-0.667189,-30.596566,10.945799,-6.654042,-86.845021,-7.683344,1.742225,-29.305836,-7.519185,-3.730538,-66.911904,2.809757,-5.401297,-21.288432,1.173435,2
-0.002994,0.003594,0.011410,-0.011262,0.020169,-0.026904,0.036413,0.011161,0.079125,-0.332938,0.086903,-0.311909,-34.642470,-32.058448,63.863533,-47.801366,-22.923636,57.779726,-2.125832,-17.523608,34.921799,15.599512,-6.454227,28.722293,0.130983,-44.803816,-9.706643,2.138760,-33.440344,-10.271848,-1.171388,-34.758423,8.988865,-3.412680,-21.120041,9.602884,4.589463,-16.599045,2.862818,10.004749,-28.538775,-0.112360,-1.916814,-55.329318,-2.267452,-1.494348,-45.378682,-2.584519,1.754650,-31.132397,-2.530773,2.166850,-21.586314,-2.405740,5.256001,-60.785633,-9.809662,7.045827,-41.630212,-6.731403,-1.526021,-105.537701,-0.250831,-0.551817,-43.264321,-1.361935,-8.474426,-70.795399,-6.992026,-1.742474,-17.799347,-6.494844,-1.561597,-75.963932,-14.424866,5.983358,-39.226190,-11.597132,-5.262742,-95.963957,-1.211084,-2.516064,-40.113621,-3.978888,-4.555093,-71.670545,-1.126349,-3.657487,-23.668180,-0.894518,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.255576,-78.998344,3.753819,-0.729280,-30.832760,10.997156,-6.653249,-86.839178,-7.683742,1.735790,-29.354573,-7.522895,-3.732005,-66.882118,2.809181,-5.394777,-21.605457,1.188819,2
