R_WristRoot_Loc_Acc_X,R_WristRoot_Loc_Acc_Y,R_WristRoot_Loc_Acc_Z,L_WristRoot_Loc_Acc_X,L_WristRoot_Loc_Acc_Y,L_WristRoot_Loc_Acc_Z,R_WristRoot_Rot_Acc_X,R_WristRoot_Rot_Acc_Y,R_WristRoot_Rot_Acc_Z,L_WristRoot_Rot_Acc_X,L_WristRoot_Rot_Acc_Y,L_WristRoot_Rot_Acc_Z,R_Thumb0_Relative_Loc_X,R_Thumb0_Relative_Loc_Y,R_Thumb0_Relative_Loc_Z,L_Thumb0_Relative_Loc_X,L_Thumb0_Relative_Loc_Y,L_Thumb0_Relative_Loc_Z,R_Thumb1_Relative_Loc_X,R_Thumb1_Relative_Loc_Y,R_Thumb1_Relative_Loc_Z,L_Thumb1_Relative_Loc_X,L_Thumb1_Relative_Loc_Y,L_Thumb1_Relative_Loc_Z,R_Thumb2_Relative_Loc_X,R_Thumb2_Relative_Loc_Y,R_Thumb2_Relative_Loc_Z,L_Thumb2_Relative_Loc_X,L_Thumb2_Relative_Loc_Y,L_Thumb2_Relative_Loc_Z,R_Thumb3_Relative_Loc_X,R_Thumb3_Relative_Loc_Y,R_Thumb3_Relative_Loc_Z,L_Thumb3_Relative_Loc_X,L_Thumb3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Index1_Relative_Loc_X,R_Index1_Relative_Loc_Y,R_Index1_Relative_Loc_Z,L_Index1_Relative_Loc_X,L_Index1_Relative_Loc_Y,L_Index1_Relative_Loc_Z,R_Index2_Relative_Loc_X,R_Index2_Relative_Loc_Y,R_Index2_Relative_Loc_Z,L_Index2_Relative_Loc_X,L_Index2_Relative_Loc_Y,L_Index2_Relative_Loc_Z,R_Index3_Relative_Loc_X,R_Index3_Relative_Loc_Y,R_Index3_Relative_Loc_Z,L_Index3_Relative_Loc_X,L_Index3_Relative_Loc_Y,L_Thumb3_Relative_Loc_Z,R_Middle1_Relative_Loc_X,R_Middle1_Relative_Loc_Y,R_Middle1_Relative_Loc_Z,L_Middle1_Relative_Loc_X,L_Middle1_Relative_Loc_Y,L_Middle1_Relative_Loc_Z,R_Middle2_Relative_Loc_X,R_Middle2_Relative_Loc_Y,R_Middle2_Relative_Loc_Z,L_Middle2_Relative_Loc_X,L_Middle2_Relative_Loc_Y,L_Middle2_Relative_Loc_Z,R_Middle3_Relative_Loc_X,R_Middle3_Relative_Loc_Y,R_Middle3_Relative_Loc_Z,L_Middle3_Relative_Loc_X,L_Middle3_Relative_Loc_Y,L_Middle3_Relative_Loc_Z,R_Ring1_Relative_Loc_X,R_Ring1_Relative_Loc_Y,R_Ring1_Relative_Loc_Z,L_Ring1_Relative_Loc_X,L_Ring1_Relative_Loc_Y,L_Ring1_Relative_Loc_Z,R_Ring2_Relative_Loc_X,R_Ring2_Relative_Loc_Y,R_Ring2_Relative_Loc_Z,L_Ring2_Relative_Loc_X,L_Ring2_Relative_Loc_Y,L_Ring2_Relative_Loc_Z,R_Ring3_Relative_Loc_X,R_Ring3_Relative_Loc_Y,R_Ring3_Relative_Loc_Z,L_Ring3_Relative_Loc_X,L_Ring3_Relative_Loc_Y,L_Ring3_Relative_Loc_Z,R_Pinky0_Relative_Loc_X,R_Pinky0_Relative_Loc_Y,R_Pinky0_Relative_Loc_Z,L_Pinky0_Relative_Loc_X,L_Pinky0_Relative_Loc_Y,L_Pinky0_Relative_Loc_Z,R_Pinky1_Relative_Loc_X,R_Pinky1_Relative_Loc_Y,R_Pinky1_Relative_Loc_Z,L_Pinky1_Relative_Loc_X,L_Pinky1_Relative_Loc_Y,L_Pinky1_Relative_Loc_Z,R_Pinky2_Relative_Loc_X,R_Pinky2_Relative_Loc_Y,R_Pinky2_Relative_Loc_Z,L_Pinky2_Relative_Loc_X,L_Pinky2_Relative_Loc_Y,L_Pinky2_Relative_Loc_Z,R_Pinky3_Relative_Loc_X,R_Pinky3_Relative_Loc_Y,R_Pinky3_Relative_Loc_Z,L_Pinky3_Relative_Loc_X,L_Pinky3_Relative_Loc_Y,L_Pinky3_Relative_Loc_Z,Label
-98.810364,-14.354117,99.590058,-96.074074,-22.717478,94.781939,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-38.178115,-30.185167,62.760539,-27.454753,-35.042064,65.357526,3.348401,-13.594303,32.935188,7.164947,-11.177171,37.147337,0.890272,-40.427664,-9.971285,2.989246,-28.772036,-10.386998,-0.744325,-37.486593,8.803203,1.326941,-51.864112,7.506710,7.638426,-54.399860,-1.803068,6.227937,-48.271520,0.408847,-2.928925,-102.881441,-0.031643,-2.920497,-107.789847,0.228846,-0.043796,-72.240530,-2.263137,-0.104212,-73.781102,-2.228557,2.617383,-71.934036,-8.944406,3.516490,-68.184908,-9.452542,-1.374683,-87.110744,-0.682617,-1.508796,-102.155855,-0.333372,-8.050978,-67.347438,-7.152565,-8.474438,-70.795405,-6.992018,-3.011842,-80.303177,-12.719323,-1.845041,-77.062191,-14.377316,-4.873140,-82.512792,-2.104664,-5.246606,-95.213477,-1.263166,-4.515378,-69.649776,-1.132343,-4.583597,-73.128387,-1.121167,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.469885,-83.412835,3.301350,7.368931,-79.815575,3.300221,-4.958711,-74.797335,-8.358868,-6.408012,-85.024515,-7.808101,-3.620566,-69.140804,2.850712,-3.392793,-73.665409,2.920519,4
1.555464,-1.666561,0.680901,0.997118,-0.961215,0.389330,1.206865,-1.276156,-4.003957,2.309601,-0.940324,1.155076,-38.010590,-30.281347,62.819566,-27.409027,-35.058174,65.364442,3.226777,-13.680049,33.012404,6.830673,-11.432883,37.171021,0.925678,-40.226416,-9.982041,2.981543,-28.814111,-10.386285,-0.800824,-37.122313,8.829170,1.315177,-51.774891,7.516318,7.692942,-53.941186,-1.805739,6.267625,-47.128059,0.450190,-2.928611,-102.458148,-0.054119,-2.921746,-107.464158,0.211600,-0.035543,-72.031740,-2.267698,-0.104851,-73.797316,-2.228183,2.639354,-71.914220,-8.992501,3.538527,-67.832130,-9.355566,-1.371326,-86.832000,-0.688719,-1.508276,-102.067029,-0.335533,-8.027266,-67.156717,-7.160681,-8.474438,-70.795405,-6.992018,-2.981516,-80.237160,-12.791404,-1.848254,-77.028846,-14.338611,-4.863525,-82.250856,-2.121071,-5.237953,-94.823579,-1.290130,-4.513805,-69.570481,-1.132551,-4.585384,-73.220214,-1.120817,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.495118,-83.369547,3.101655,7.343876,-79.754120,3.419950,-4.918692,-74.524022,-8.369994,-6.376022,-84.790005,-7.823608,-3.615493,-69.242612,2.852477,-3.372816,-74.057432,2.925727,4
1.227136,-1.228046,0.387991,0.967637,-0.788917,0.351200,0.816095,-0.997833,-3.244684,1.049150,-0.731307,1.180021,-37.878277,-30.356854,62.865747,-27.337389,-35.083346,65.375210,3.223500,-13.687778,33.067290,6.602051,-11.608683,37.204423,1.001777,-39.794528,-10.004738,2.969542,-28.879623,-10.385134,-0.875886,-36.640007,8.862993,1.302650,-51.680083,7.526497,7.821617,-53.017240,-1.829671,6.291522,-45.749065,0.524599,-2.927744,-101.774240,-0.090437,-2.923874,-106.837553,0.178382,-0.020337,-71.648779,-2.275974,-0.105363,-73.810372,-2.227874,2.679504,-71.907906,-9.093536,3.587145,-67.300303,-9.245468,-1.367964,-86.552496,-0.694807,-1.508180,-102.051965,-0.335886,-8.009415,-67.013233,-7.166738,-8.474438,-70.795405,-6.992018,-2.959863,-80.220652,-12.871190,-1.836847,-76.909996,-14.279388,-4.852801,-81.961621,-2.139159,-5.231461,-94.536556,-1.309939,-4.512323,-69.495021,-1.132746,-4.588126,-73.360534,-1.120266,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.521949,-83.310725,2.889215,7.323057,-79.647797,3.511278,-4.902537,-74.413891,-8.374406,-6.345040,-84.563377,-7.838448,-3.613169,-69.289353,2.853294,-3.355358,-74.399306,2.930146,4
0.848547,-1.528521,0.595333,1.331718,-0.661991,0.234312,2.990938,-4.487630,-6.673483,2.169973,-1.834199,-1.231198,-37.745205,-30.432160,62.911649,-27.263455,-35.109218,65.386245,3.229009,-13.689661,33.121853,6.370627,-11.786988,37.239473,1.091054,-39.288929,-10.030606,2.952732,-28.971570,-10.383510,-0.951829,-36.153780,8.896439,1.290155,-51.585484,7.536640,7.963939,-52.051310,-1.856934,6.310617,-44.390786,0.602347,-2.926422,-101.080024,-0.127296,-2.925926,-106.093511,0.138930,-0.003290,-71.220369,-2.285136,-0.105762,-73.821024,-2.227638,2.725590,-71.902416,-9.210211,3.634892,-66.747128,-9.129024,-1.364575,-86.274974,-0.700857,-1.508160,-102.047488,-0.336004,-7.992080,-66.874134,-7.172566,-8.474438,-70.795405,-6.992018,-2.938495,-80.210473,-12.955308,-1.820676,-76.761438,-14.213045,-4.841798,-81.667075,-2.157486,-5.225015,-94.255765,-1.329302,-4.510780,-69.417132,-1.132944,-4.591148,-73.516644,-1.119662,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.549463,-83.253573,2.674740,7.299989,-79.511168,3.607899,-4.888048,-74.315092,-8.378360,-6.314623,-84.341288,-7.852906,-3.611106,-69.330946,2.854001,-3.337962,-74.739548,2.934439,4
0.930564,-1.120525,0.418311,1.159701,-0.647268,0.275490,1.548206,-2.307815,-3.675218,1.083509,-1.206976,-0.246347,-37.720594,-30.446006,62.920072,-27.088144,-35.170292,65.412132,3.184166,-13.719983,33.134979,6.216090,-11.908826,37.314153,1.177794,-38.799184,-10.054878,2.931653,-29.086780,-10.381419,-1.027124,-35.673674,8.928837,1.258872,-51.349383,7.561823,8.062524,-51.389721,-1.872690,6.299398,-43.768496,0.655203,-2.924800,-100.434585,-0.161539,-2.927593,-105.278271,0.095648,0.020169,-70.634335,-2.297453,-0.106109,-73.829770,-2.227428,2.777811,-71.902294,-9.345070,3.682264,-66.251833,-9.037091,-1.362335,-86.091682,-0.704822,-1.508158,-102.047142,-0.336000,-7.980480,-66.781068,-7.176454,-8.474438,-70.795405,-6.992018,-2.921364,-80.224936,-13.044271,-1.787532,-76.541075,-14.147094,-4.830591,-81.370208,-2.175921,-5.221420,-94.100387,-1.339995,-4.509798,-69.367027,-1.133059,-4.594576,-73.691405,-1.118962,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.575279,-83.160036,2.470706,7.273401,-79.370192,3.719166,-4.873191,-74.213992,-8.382374,-6.295676,-84.203243,-7.861799,-3.606654,-69.420700,2.855565,-3.323140,-75.029081,2.938031,4
0.698854,-0.474739,0.558277,0.607571,-0.176276,0.143025,1.691079,-1.936649,-2.723542,-0.112853,-1.461536,-1.259328,-37.705507,-30.454619,62.925315,-26.888273,-35.239334,65.441130,3.135844,-13.752271,33.144461,6.076636,-12.020267,37.398659,1.265946,-38.302473,-10.078763,2.907208,-29.220380,-10.378961,-1.102482,-35.194740,8.960535,1.222950,-51.079305,7.590485,8.158439,-50.758574,-1.886662,6.280361,-43.145172,0.714033,-2.922846,-99.804963,-0.194926,-2.928657,-104.457027,0.052041,0.044851,-70.020610,-2.310088,-0.106383,-73.837053,-2.227273,2.833916,-71.903712,-9.490613,3.726931,-65.775344,-8.949284,-1.360235,-85.921490,-0.708513,-1.508178,-102.051555,-0.335905,-7.969931,-66.696391,-7.179967,-8.474438,-70.795405,-6.992018,-2.904890,-80.245257,-13.136115,-1.748519,-76.290795,-14.078784,-4.819268,-81.072158,-2.194371,-5.218112,-93.959706,-1.349663,-4.508907,-69.321372,-1.133168,-4.598114,-73.873797,-1.118233,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.601337,-83.059324,2.268956,7.245133,-79.217909,3.834241,-4.858919,-74.116741,-8.386209,-6.278670,-84.079384,-7.869767,-3.601802,-69.517753,2.857221,-3.308862,-75.307554,2.941378,4
0.693722,-0.557124,0.367657,0.744570,-0.340561,0.209604,1.281281,-1.519005,-2.273713,-0.092718,-1.164053,-0.566915,-37.711589,-30.451171,62.923219,-26.725239,-35.295260,65.464412,3.134397,-13.752907,33.142025,6.041689,-12.051033,37.465512,1.337654,-37.899369,-10.097564,2.870531,-29.420902,-10.375145,-1.192671,-34.623871,8.997499,1.199054,-50.900006,7.609417,8.230048,-50.377262,-1.908384,6.270977,-42.371004,0.774098,-2.920793,-99.238180,-0.224944,-2.929087,-103.648584,0.009100,0.079845,-69.156486,-2.327442,-0.104742,-73.794635,-2.228245,2.883676,-71.953980,-9.643163,3.771280,-65.280571,-8.856626,-1.358221,-85.759222,-0.712020,-1.508602,-102.122762,-0.334184,-7.947477,-66.516607,-7.187370,-8.474438,-70.795405,-6.992018,-2.902164,-80.323018,-13.223568,-1.698600,-76.003288,-14.019161,-4.811623,-80.872760,-2.206672,-5.215863,-93.863700,-1.356266,-4.507420,-69.245904,-1.133358,-4.600422,-73.992336,-1.117748,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.627944,-83.054850,2.075840,7.214903,-79.051720,3.953814,-4.850081,-74.056581,-8.388569,-6.264038,-83.972803,-7.876591,-3.598110,-69.591924,2.858486,-3.301918,-75.442631,2.942978,4
0.802408,-0.675662,0.326816,0.836823,-0.429483,0.247432,1.163638,-1.443480,-2.303734,-0.099360,-1.154779,-0.236854,-37.723705,-30.444233,62.918992,-26.565605,-35.349671,65.486894,3.140675,-13.748292,33.136641,6.026950,-12.066099,37.530375,1.405881,-37.516527,-10.114973,2.829106,-29.647545,-10.370699,-1.284755,-34.043413,9.034163,1.177189,-50.736629,7.626602,8.296337,-50.024570,-1.927259,6.260314,-41.597867,0.834365,-2.918481,-98.687866,-0.254103,-2.928925,-102.872825,-0.032101,0.116228,-68.264751,-2.344772,-0.100385,-73.682672,-2.230811,2.931220,-72.024828,-9.800839,3.812536,-64.800640,-8.765766,-1.356272,-85.602962,-0.715410,-1.509177,-102.223559,-0.331728,-7.922559,-66.317192,-7.195494,-8.474438,-70.795405,-6.992018,-2.908773,-80.439847,-13.309424,-1.645603,-75.702654,-13.961431,-4.804546,-80.688765,-2.218006,-5.213863,-93.779437,-1.362055,-4.505812,-69.164721,-1.133572,-4.602451,-74.096535,-1.117309,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.654237,-83.065117,1.885697,7.183668,-78.881097,4.074420,-4.842290,-74.003484,-8.390648,-6.250596,-83.875184,-7.882808,-3.594537,-69.663735,2.859707,-3.296250,-75.553310,2.944296,4
0.136612,0.125668,-0.075350,0.262621,0.068601,0.306942,0.966871,-0.281558,-0.277061,-0.038682,0.511174,-0.198993,-37.739814,-30.435162,62.913477,-26.408038,-35.402883,65.508675,3.152697,-13.739766,33.129167,6.026036,-12.070583,37.594089,1.471362,-37.149577,-10.131219,2.783750,-29.895677,-10.365656,-1.377782,-33.459323,9.070105,1.156911,-50.585119,7.642490,8.358721,-49.688703,-1.943277,6.248077,-40.803949,0.896439,-2.915963,-98.149402,-0.282595,-2.928235,-102.110397,-0.072586,0.152836,-67.374224,-2.361530,-0.091958,-73.466978,-2.235744,2.975638,-72.116214,-9.961665,3.852088,-64.324231,-8.675318,-1.354378,-85.450863,-0.718683,-1.510010,-102.366958,-0.328250,-7.895700,-66.102454,-7.204152,-8.474438,-70.795405,-6.992018,-2.924770,-80.594897,-13.393255,-1.590544,-75.392029,-13.904795,-4.797832,-80.515577,-2.228648,-5.212045,-93.702205,-1.367359,-4.504124,-69.078800,-1.133759,-4.604279,-74.190202,-1.116927,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.680134,-83.085349,1.698034,7.151242,-78.706531,4.196659,-4.835214,-73.955399,-8.392521,-6.237885,-83.782828,-7.888679,-3.591055,-69.733508,2.860886,-3.291358,-75.648695,2.945412,4
0.426028,-0.205978,0.078325,0.479865,-0.140397,0.292806,0.974452,-0.508243,-0.800076,-0.055297,0.083012,0.020703,-37.788122,-30.407951,62.896910,-26.407005,-35.403257,65.508835,3.185290,-13.716458,33.107030,6.055400,-12.048028,37.593739,1.512674,-36.918394,-10.141235,2.706774,-30.317223,-10.356576,-1.454481,-32.979479,9.098928,1.099424,-50.158041,7.686989,8.377036,-49.644112,-1.955876,6.207294,-36.107241,1.227637,-2.914224,-97.805910,-0.300744,-2.918048,-98.589512,-0.259302,0.187050,-66.547058,-2.376588,-0.028915,-71.864708,-2.271334,2.982090,-72.334438,-10.089453,4.024090,-63.176473,-8.599350,-1.351893,-85.252820,-0.722950,-1.512155,-102.747534,-0.319008,-7.874245,-65.931257,-7.210999,-8.474438,-70.795405,-6.992018,-2.978926,-80.898875,-13.458694,-1.495524,-74.982266,-13.900137,-4.790579,-80.328369,-2.240146,-5.211961,-93.698725,-1.367595,-4.502916,-69.018331,-1.133935,-4.605015,-74.228396,-1.116765,15.315444,-5.567042,-24.893158,15.315444,-5.567042,-24.893156,7.706886,-83.172170,1.503556,7.112109,-78.515790,4.343417,-4.828333,-73.908619,-8.394334,-6.219934,-83.652656,-7.896909,-3.594729,-69.659725,2.859630,-3.290854,-75.658318,2.945527,4
